Path,Name
"OU=IT Systems Development,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Middle Tier
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",MQ Servers
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",MQ
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",MT
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",nCACHE
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",NET
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",NETVR
"OU=MIS Security Groups,OU=Security_Groups,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",New Service Account Model
"OU=IT Infrastructure,OU=Computers,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Night Shift
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Other Production Servers
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",P360
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",PEGA
"OU=IT Systems Development,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Presentation
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Print Servers
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Print
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",PROCESS
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",PROCOFAC
"OU=IT Shared Services,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Project Management
"OU=Collections,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",QA.TR
"OU=IT Shared Services,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Quality Assurance
"OU=Users,OU=Human_Resources,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Reception
"OU=Users,OU=Risk,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Risk Contractors
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",RISK
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SAS
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SDS
"OU=IT Shared Services,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Security & Compliance
"OU=DEVTEST-WDS,OU=Test_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Servers
"OU=TEST,OU=IT Infrastructure,OU=Computers,OU=IT,OU=Las_Vegas,DC=fnbm,DC=corp",SfB Test
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SFTP
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SharePoint
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SKYPE
"OU=IT Systems Development,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Specialty_Apps_PL_SQL
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SQL Servers
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",SQL
"OU=IT Infrastructure,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Support Services
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TABLEU
"OU=IT Systems Development,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Task Force
"OU=IT Infrastructure,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Technical Services
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TelCom Servers
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TelCom
"OU=Computers,OU=Administration,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TEST
"OU=IT Infrastructure,OU=Computers,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TEST
"OU=Technical Services,OU=IT Infrastructure,OU=Users,OU=IT,OU=Las_Vegas,DC=fnbm,DC=corp",TEST
"OU=TEST,OU=IT Infrastructure,OU=Computers,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TEST-Allow Audio_Video Playback Redirection
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TFS
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TrackIT
"OU=IT_DLs,OU=Distribution_Lists,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",TXT_DL
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",vCenter
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",WEB Servers - 2012
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Web Servers
"OU=IT Systems Development,OU=Users,OU=IT,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Web
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",WEB
"OU=PROD_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Websense
"OU=TEST,OU=IT Infrastructure,OU=Computers,OU=IT,OU=Las_Vegas,DC=fnbm,DC=corp",Windows 10 PC's
"OU=Production_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",WorkForce Management Servers
"OU=DEVTEST-WDS,OU=Test_Servers,OU=Servers,OU=Las_Vegas - Testing,DC=fnbm,DC=corp",Workstations
