#TYPE System.Management.Automation.PSCustomObject
"Subnet","SiteName"
"10.10.11.0/24","Default-First-Site-Name"
"10.10.12.0/24","Default-First-Site-Name"
"192.168.3.0/24","Default-First-Site-Name"
"10.10.14.0/24","Default-First-Site-Name"
"10.10.15.0/24","Default-First-Site-Name"
"10.10.16.0/24","Default-First-Site-Name"
"10.10.17.0/24","Default-First-Site-Name"
"10.10.18.0/24","Default-First-Site-Name"
"10.10.19.0/24","Default-First-Site-Name"
"10.10.31.0/24","Default-First-Site-Name"
"10.10.32.0/24","Default-First-Site-Name"
"10.10.33.0/24","Default-First-Site-Name"
"10.10.34.0/24","Default-First-Site-Name"
"10.10.35.0/24","Default-First-Site-Name"
"10.10.36.0/24","Default-First-Site-Name"
"10.10.39.0/24","Default-First-Site-Name"
"10.10.37.0/24","Default-First-Site-Name"
"10.10.38.0/24","Default-First-Site-Name"
"10.10.53.0/24","Default-First-Site-Name"
"10.10.56.0/24","Default-First-Site-Name"
"10.201.2.0/24","Default-First-Site-Name"
"192.168.200.0/24","Default-First-Site-Name"
"10.10.55.0/24","Default-First-Site-Name"
"10.10.54.0/24","Default-First-Site-Name"
"10.10.52.0/24","Default-First-Site-Name"
"10.10.51.0/24","Default-First-Site-Name"
"172.20.0.0/24","MTS-FARM"
"192.168.1.0/24","ServerFarm"
"10.10.13.0/24","ServerFarm"
"192.168.2.0/24","ServerFarm"
