MachineName,DisplayName,Status,StartType
DCTEST01GUI,Application Experience,Stopped,Manual
DCTEST01GUI,Application Layer Gateway Service,Stopped,Manual
DCTEST01GUI,Windows All-User Install Agent,Stopped,Manual
DCTEST01GUI,Application Host Helper Service,Running,Automatic
DCTEST01GUI,Application Identity,Stopped,Manual
DCTEST01GUI,Application Information,Stopped,Manual
DCTEST01GUI,Application Management,Stopped,Manual
DCTEST01GUI,ASP.NET State Service,Stopped,Manual
DCTEST01GUI,Windows Audio Endpoint Builder,Stopped,Manual
DCTEST01GUI,Windows Audio,Stopped,Manual
DCTEST01GUI,Base Filtering Engine,Running,Automatic
DCTEST01GUI,Background Intelligent Transfer Service,Stopped,Manual
DCTEST01GUI,Background Tasks Infrastructure Service,Running,Automatic
DCTEST01GUI,Computer Browser,Stopped,Disabled
DCTEST01GUI,Certificate Propagation,Running,Manual
DCTEST01GUI,COM+ System Application,Running,Manual
DCTEST01GUI,Cryptographic Services,Running,Automatic
DCTEST01GUI,DCOM Server Process Launcher,Running,Automatic
DCTEST01GUI,Optimize drives,Stopped,Manual
DCTEST01GUI,Device Association Service,Stopped,Manual
DCTEST01GUI,Device Install Service,Stopped,Manual
DCTEST01GUI,DHCP Client,Running,Automatic
DCTEST01GUI,DNS Client,Running,Automatic
DCTEST01GUI,Wired AutoConfig,Stopped,Manual
DCTEST01GUI,Diagnostic Policy Service,Running,Automatic
DCTEST01GUI,Device Setup Manager,Stopped,Manual
DCTEST01GUI,Extensible Authentication Protocol,Stopped,Manual
DCTEST01GUI,Encrypting File System (EFS),Stopped,Manual
DCTEST01GUI,Windows Event Log,Running,Automatic
DCTEST01GUI,COM+ Event System,Running,Automatic
DCTEST01GUI,Function Discovery Provider Host,Stopped,Manual
DCTEST01GUI,Function Discovery Resource Publication,Stopped,Manual
DCTEST01GUI,Windows Font Cache Service,Running,Automatic
DCTEST01GUI,Windows Presentation Foundation Font Cache 3.0.0.0,Stopped,Manual
DCTEST01GUI,Group Policy Client,Running,Automatic
DCTEST01GUI,Human Interface Device Access,Stopped,Manual
DCTEST01GUI,Health Key and Certificate Management,Stopped,Manual
DCTEST01GUI,IKE and AuthIP IPsec Keying Modules,Running,Automatic
DCTEST01GUI,IP Helper,Running,Automatic
DCTEST01GUI,CNG Key Isolation,Stopped,Manual
DCTEST01GUI,KDC Proxy Server service (KPS),Stopped,Manual
DCTEST01GUI,KtmRm for Distributed Transaction Coordinator,Stopped,Manual
DCTEST01GUI,Server,Running,Automatic
DCTEST01GUI,Workstation,Running,Automatic
DCTEST01GUI,Link-Layer Topology Discovery Mapper,Stopped,Manual
DCTEST01GUI,TCP/IP NetBIOS Helper,Running,Automatic
DCTEST01GUI,Local Session Manager,Running,Automatic
DCTEST01GUI,Multimedia Class Scheduler,Stopped,Manual
DCTEST01GUI,Windows Firewall,Running,Automatic
DCTEST01GUI,Web Deployment Agent Service,Running,Automatic
DCTEST01GUI,Distributed Transaction Coordinator,Running,Automatic
DCTEST01GUI,Microsoft iSCSI Initiator Service,Stopped,Manual
DCTEST01GUI,Windows Installer,Stopped,Manual
DCTEST01GUI,Message Queuing,Running,Automatic
DCTEST01GUI,Network Access Protection Agent,Stopped,Manual
DCTEST01GUI,Network Connectivity Assistant,Stopped,Manual
DCTEST01GUI,Netlogon,Running,Automatic
DCTEST01GUI,Network Connections,Stopped,Manual
DCTEST01GUI,Network List Service,Running,Manual
DCTEST01GUI,Net.Tcp Port Sharing Service,Stopped,Disabled
DCTEST01GUI,Network Location Awareness,Running,Automatic
DCTEST01GUI,Network Store Interface Service,Running,Automatic
DCTEST01GUI,OracleRemExecServiceV2,Stopped,Manual
DCTEST01GUI,Office 64 Source Engine,Stopped,Manual
DCTEST01GUI,Performance Counter DLL Host,Stopped,Manual
DCTEST01GUI,Performance Logs & Alerts,Stopped,Manual
DCTEST01GUI,Plug and Play,Running,Manual
DCTEST01GUI,IPsec Policy Agent,Running,Manual
DCTEST01GUI,Power,Running,Automatic
DCTEST01GUI,Printer Extensions and Notifications,Stopped,Manual
DCTEST01GUI,User Profile Service,Running,Automatic
DCTEST01GUI,Remote Access Auto Connection Manager,Stopped,Manual
DCTEST01GUI,Remote Access Connection Manager,Stopped,Manual
DCTEST01GUI,Routing and Remote Access,Stopped,Disabled
DCTEST01GUI,Remote Registry,Stopped,Manual
DCTEST01GUI,RPC Endpoint Mapper,Running,Automatic
DCTEST01GUI,Remote Procedure Call (RPC) Locator,Stopped,Manual
DCTEST01GUI,Remote Procedure Call (RPC),Running,Automatic
DCTEST01GUI,Resultant Set of Policy Provider,Stopped,Manual
DCTEST01GUI,Special Administration Console Helper,Stopped,Manual
DCTEST01GUI,Security Accounts Manager,Running,Automatic
DCTEST01GUI,Smart Card,Stopped,Disabled
DCTEST01GUI,Task Scheduler,Running,Automatic
DCTEST01GUI,Smart Card Removal Policy,Stopped,Manual
DCTEST01GUI,Secondary Logon,Stopped,Manual
DCTEST01GUI,System Event Notification Service,Running,Automatic
DCTEST01GUI,Symantec Endpoint Protection,Running,Automatic
