"MachineName","DisplayName","Status","StartType"
"LASCAPS04","Application Experience","Stopped","Manual"
"LASCAPS04","Application Layer Gateway Service","Stopped","Manual"
"LASCAPS04","Windows All-User Install Agent","Stopped","Manual"
"LASCAPS04","Application Host Helper Service","Running","Automatic"
"LASCAPS04","Application Identity","Stopped","Manual"
"LASCAPS04","Application Information","Running","Manual"
"LASCAPS04","Application Management","Stopped","Manual"
"LASCAPS04","ASP.NET State Service","Stopped","Manual"
"LASCAPS04","Windows Audio Endpoint Builder","Stopped","Manual"
"LASCAPS04","Windows Audio","Stopped","Manual"
"LASCAPS04","Base Filtering Engine","Running","Automatic"
"LASCAPS04","Background Intelligent Transfer Service","Stopped","Manual"
"LASCAPS04","Background Tasks Infrastructure Service","Running","Automatic"
"LASCAPS04","Computer Browser","Stopped","Disabled"
"LASCAPS04","Certificate Propagation","Running","Manual"
"LASCAPS04","COM+ System Application","Running","Manual"
"LASCAPS04","Cryptographic Services","Running","Automatic"
"LASCAPS04","DCOM Server Process Launcher","Running","Automatic"
"LASCAPS04","Optimize drives","Stopped","Manual"
"LASCAPS04","Device Association Service","Stopped","Manual"
"LASCAPS04","Device Install Service","Stopped","Manual"
"LASCAPS04","DHCP Client","Running","Automatic"
"LASCAPS04","DNS Client","Running","Automatic"
"LASCAPS04","Wired AutoConfig","Stopped","Manual"
"LASCAPS04","Diagnostic Policy Service","Running","Automatic"
"LASCAPS04","Device Setup Manager","Stopped","Manual"
"LASCAPS04","Extensible Authentication Protocol","Stopped","Manual"
"LASCAPS04","Encrypting File System (EFS)","Stopped","Manual"
"LASCAPS04","Windows Event Log","Running","Automatic"
"LASCAPS04","COM+ Event System","Running","Automatic"
"LASCAPS04","Function Discovery Provider Host","Stopped","Manual"
"LASCAPS04","Function Discovery Resource Publication","Stopped","Manual"
"LASCAPS04","Windows Font Cache Service","Running","Automatic"
"LASCAPS04","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASCAPS04","Group Policy Client","Running","Automatic"
"LASCAPS04","Human Interface Device Access","Stopped","Manual"
"LASCAPS04","Health Key and Certificate Management","Stopped","Manual"
"LASCAPS04","IIS Admin Service","Running","Automatic"
"LASCAPS04","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASCAPS04","IP Helper","Running","Automatic"
"LASCAPS04","CNG Key Isolation","Stopped","Manual"
"LASCAPS04","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASCAPS04","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASCAPS04","Server","Running","Automatic"
"LASCAPS04","Workstation","Running","Automatic"
"LASCAPS04","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASCAPS04","TCP/IP NetBIOS Helper","Running","Automatic"
"LASCAPS04","Local Session Manager","Running","Automatic"
"LASCAPS04","Multimedia Class Scheduler","Stopped","Manual"
"LASCAPS04","Windows Firewall","Running","Automatic"
"LASCAPS04","Distributed Transaction Coordinator","Running","Automatic"
"LASCAPS04","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASCAPS04","Windows Installer","Stopped","Manual"
"LASCAPS04","Message Queuing","Running","Automatic"
"LASCAPS04","Network Access Protection Agent","Stopped","Manual"
"LASCAPS04","Network Connectivity Assistant","Stopped","Manual"
"LASCAPS04","Netlogon","Running","Automatic"
"LASCAPS04","Network Connections","Stopped","Manual"
"LASCAPS04","Network List Service","Running","Manual"
"LASCAPS04","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASCAPS04","Network Location Awareness","Running","Automatic"
"LASCAPS04","Network Store Interface Service","Running","Automatic"
"LASCAPS04","OracleRemExecServiceV2","Stopped","Manual"
"LASCAPS04","Office 64 Source Engine","Stopped","Manual"
"LASCAPS04","Performance Counter DLL Host","Stopped","Manual"
"LASCAPS04","Performance Logs & Alerts","Stopped","Manual"
"LASCAPS04","Plug and Play","Running","Manual"
"LASCAPS04","IPsec Policy Agent","Running","Manual"
"LASCAPS04","Power","Running","Automatic"
"LASCAPS04","Printer Extensions and Notifications","Stopped","Manual"
"LASCAPS04","User Profile Service","Running","Automatic"
"LASCAPS04","Remote Access Auto Connection Manager","Stopped","Manual"
"LASCAPS04","Remote Access Connection Manager","Stopped","Manual"
"LASCAPS04","Routing and Remote Access","Stopped","Disabled"
"LASCAPS04","Remote Registry","Stopped","Manual"
"LASCAPS04","RPC Endpoint Mapper","Running","Automatic"
"LASCAPS04","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASCAPS04","Remote Procedure Call (RPC)","Running","Automatic"
"LASCAPS04","Resultant Set of Policy Provider","Stopped","Manual"
"LASCAPS04","Special Administration Console Helper","Stopped","Manual"
"LASCAPS04","Security Accounts Manager","Running","Automatic"
"LASCAPS04","Smart Card","Stopped","Disabled"
"LASCAPS04","Task Scheduler","Running","Automatic"
"LASCAPS04","Smart Card Removal Policy","Stopped","Manual"
"LASCAPS04","Secondary Logon","Stopped","Manual"
"LASCAPS04","System Event Notification Service","Running","Automatic"
"LASCAPS04","Symantec Endpoint Protection","Running","Automatic"
"LASCAPS04","Remote Desktop Configuration","Running","Manual"
"LASCAPS04","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASCAPS04","Shell Hardware Detection","Running","Automatic"
"LASCAPS04","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASCAPS04","Symantec Network Access Control","Stopped","Manual"
"LASCAPS04","SNMP Service","Running","Automatic"
"LASCAPS04","SNMP Trap","Stopped","Manual"
"LASCAPS04","Print Spooler","Running","Automatic"
"LASCAPS04","Software Protection","Stopped","Automatic"
"LASCAPS04","SSDP Discovery","Stopped","Disabled"
"LASCAPS04","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASCAPS04","Spot Verifier","Stopped","Manual"
"LASCAPS04","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASCAPS04","Superfetch","Stopped","Manual"
"LASCAPS04","Telephony","Stopped","Manual"
"LASCAPS04","Remote Desktop Services","Running","Manual"
"LASCAPS04","Themes","Running","Automatic"
"LASCAPS04","Thread Ordering Server","Stopped","Manual"
"LASCAPS04","Track-It! Workstation Manager","Running","Automatic"
"LASCAPS04","TP AutoConnect Service","Stopped","Manual"
"LASCAPS04","TP VC Gateway Service","Stopped","Manual"
"LASCAPS04","Distributed Link Tracking Client","Running","Automatic"
"LASCAPS04","Windows Modules Installer","Stopped","Manual"
"LASCAPS04","User Access Logging Service","Running","Automatic"
"LASCAPS04","Interactive Services Detection","Stopped","Manual"
"LASCAPS04","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASCAPS04","UPnP Device Host","Stopped","Disabled"
"LASCAPS04","Credential Manager","Stopped","Manual"
"LASCAPS04","Virtual Disk","Stopped","Manual"
"LASCAPS04","Hyper-V Heartbeat Service","Stopped","Manual"
"LASCAPS04","Hyper-V Data Exchange Service","Stopped","Manual"
"LASCAPS04","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"LASCAPS04","Hyper-V Guest Shutdown Service","Stopped","Manual"
"LASCAPS04","Hyper-V Time Synchronization Service","Stopped","Manual"
"LASCAPS04","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"LASCAPS04","VMTools","Running","Automatic"
"LASCAPS04","VMware Snapshot Provider","Stopped","Manual"
"LASCAPS04","Volume Shadow Copy","Stopped","Manual"
"LASCAPS04","Windows Time","Running","Manual"
"LASCAPS04","World Wide Web Publishing Service","Stopped","Manual"
"LASCAPS04","Windows Process Activation Service","Stopped","Manual"
"LASCAPS04","Windows Color System","Stopped","Manual"
"LASCAPS04","Diagnostic Service Host","Stopped","Manual"
"LASCAPS04","Diagnostic System Host","Stopped","Manual"
"LASCAPS04","Windows Event Collector","Stopped","Manual"
"LASCAPS04","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"LASCAPS04","Windows Error Reporting Service","Stopped","Manual"
"LASCAPS04","WinHTTP Web Proxy Auto-Discovery Service","Stopped","Manual"
"LASCAPS04","Windows Management Instrumentation","Running","Automatic"
"LASCAPS04","Windows Remote Management (WS-Management)","Running","Automatic"
"LASCAPS04","WMI Performance Adapter","Running","Manual"
"LASCAPS04","Portable Device Enumerator Service","Stopped","Manual"
"LASCAPS04","Windows Store Service (WSService)","Stopped","Manual"
"LASCAPS04","Windows Update","Stopped","Manual"
"LASCAPS04","Windows Driver Foundation - User-mode Driver Framework","Stopped","Manual"
