"MachineName","DisplayName","Status","StartType"
"LASCHATTST01","Application Experience","Running","Automatic"
"LASCHATTST01","Application Layer Gateway Service","Stopped","Manual"
"LASCHATTST01","Application Host Helper Service","Running","Automatic"
"LASCHATTST01","Application Information","Stopped","Manual"
"LASCHATTST01","Application Management","Stopped","Manual"
"LASCHATTST01","ASP.NET State Service","Stopped","Manual"
"LASCHATTST01","Windows Audio Endpoint Builder","Stopped","Manual"
"LASCHATTST01","Windows Audio","Stopped","Manual"
"LASCHATTST01","Base Filtering Engine","Running","Automatic"
"LASCHATTST01","Background Intelligent Transfer Service","Stopped","Manual"
"LASCHATTST01","Computer Browser","Stopped","Disabled"
"LASCHATTST01","Certificate Propagation","Running","Manual"
"LASCHATTST01","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","Disabled"
"LASCHATTST01","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","Automatic"
"LASCHATTST01","COM+ System Application","Stopped","Manual"
"LASCHATTST01","Cryptographic Services","Running","Automatic"
"LASCHATTST01","Offline Files","Stopped","Disabled"
"LASCHATTST01","DCOM Server Process Launcher","Running","Automatic"
"LASCHATTST01","DHCP Client","Running","Automatic"
"LASCHATTST01","DNS Client","Running","Automatic"
"LASCHATTST01","Wired AutoConfig","Stopped","Manual"
"LASCHATTST01","Diagnostic Policy Service","Running","Automatic"
"LASCHATTST01","Extensible Authentication Protocol","Stopped","Manual"
"LASCHATTST01","Windows Event Log","Running","Automatic"
"LASCHATTST01","COM+ Event System","Running","Automatic"
"LASCHATTST01","Microsoft Fibre Channel Platform Registration Service","Stopped","Manual"
"LASCHATTST01","Function Discovery Provider Host","Stopped","Manual"
"LASCHATTST01","Function Discovery Resource Publication","Running","Automatic"
"LASCHATTST01","Windows Font Cache Service","Running","Automatic"
"LASCHATTST01","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASCHATTST01","Group Policy Client","Running","Automatic"
"LASCHATTST01","Commvault Client Manager Service (Instance001)","Running","Automatic"
"LASCHATTST01","Commvault Communications Service (Instance001)","Running","Automatic"
"LASCHATTST01","Human Interface Device Access","Stopped","Manual"
"LASCHATTST01","Health Key and Certificate Management","Stopped","Manual"
"LASCHATTST01","Windows CardSpace","Stopped","Manual"
"LASCHATTST01","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASCHATTST01","PnP-X IP Bus Enumerator","Stopped","Disabled"
"LASCHATTST01","IP Helper","Running","Automatic"
"LASCHATTST01","CNG Key Isolation","Stopped","Manual"
"LASCHATTST01","KtmRm for Distributed Transaction Coordinator","Running","Automatic"
"LASCHATTST01","Server","Running","Automatic"
"LASCHATTST01","Workstation","Running","Automatic"
"LASCHATTST01","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASCHATTST01","TCP/IP NetBIOS Helper","Running","Automatic"
"LASCHATTST01","Multimedia Class Scheduler","Stopped","Manual"
"LASCHATTST01","Windows Firewall","Running","Automatic"
"LASCHATTST01","Distributed Transaction Coordinator","Running","Automatic"
"LASCHATTST01","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASCHATTST01","Windows Installer","Stopped","Manual"
"LASCHATTST01","Network Access Protection Agent","Stopped","Manual"
"LASCHATTST01","Netlogon","Running","Automatic"
"LASCHATTST01","Network Connections","Running","Manual"
"LASCHATTST01","Net.Msmq Listener Adapter","Stopped","Disabled"
"LASCHATTST01","Net.Pipe Listener Adapter","Stopped","Disabled"
"LASCHATTST01","Network List Service","Running","Automatic"
"LASCHATTST01","Net.Tcp Listener Adapter","Stopped","Disabled"
"LASCHATTST01","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASCHATTST01","Network Location Awareness","Running","Automatic"
"LASCHATTST01","Network Store Interface Service","Running","Automatic"
"LASCHATTST01","BranchCache","Stopped","Manual"
"LASCHATTST01","Performance Logs & Alerts","Stopped","Manual"
"LASCHATTST01","Plug and Play","Running","Automatic"
"LASCHATTST01","IPsec Policy Agent","Running","Automatic"
"LASCHATTST01","User Profile Service","Running","Automatic"
"LASCHATTST01","Protected Storage","Stopped","Manual"
"LASCHATTST01","Remote Access Auto Connection Manager","Stopped","Manual"
"LASCHATTST01","Remote Access Connection Manager","Running","Manual"
"LASCHATTST01","Routing and Remote Access","Stopped","Disabled"
"LASCHATTST01","Remote Registry","Stopped","Manual"
"LASCHATTST01","Remote Packet Capture Protocol v.0 (experimental)","Stopped","Manual"
"LASCHATTST01","Remote Procedure Call (RPC) Locator","Stopped","Manual"
