"MachineName","DisplayName","Status","StartType"
"LASCOLL01","Application Experience","Stopped","Manual"
"LASCOLL01","Application Layer Gateway Service","Stopped","Manual"
"LASCOLL01","Windows All-User Install Agent","Stopped","Manual"
"LASCOLL01","Application Host Helper Service","Running","Automatic"
"LASCOLL01","Application Identity","Stopped","Manual"
"LASCOLL01","Application Information","Stopped","Manual"
"LASCOLL01","Application Management","Stopped","Manual"
"LASCOLL01","ASP.NET State Service","Stopped","Manual"
"LASCOLL01","Windows Audio Endpoint Builder","Stopped","Manual"
"LASCOLL01","Windows Audio","Stopped","Manual"
"LASCOLL01","Base Filtering Engine","Running","Automatic"
"LASCOLL01","Background Intelligent Transfer Service","Stopped","Manual"
"LASCOLL01","Background Tasks Infrastructure Service","Running","Automatic"
"LASCOLL01","Computer Browser","Stopped","Disabled"
"LASCOLL01","Certificate Propagation","Running","Manual"
"LASCOLL01","COM+ System Application","Running","Manual"
"LASCOLL01","Cryptographic Services","Running","Automatic"
"LASCOLL01","DCOM Server Process Launcher","Running","Automatic"
"LASCOLL01","Optimize drives","Stopped","Manual"
"LASCOLL01","Device Association Service","Stopped","Manual"
"LASCOLL01","Device Install Service","Stopped","Manual"
"LASCOLL01","DHCP Client","Running","Automatic"
"LASCOLL01","DNS Client","Running","Automatic"
"LASCOLL01","Wired AutoConfig","Stopped","Manual"
"LASCOLL01","Diagnostic Policy Service","Running","Automatic"
"LASCOLL01","Device Setup Manager","Stopped","Manual"
"LASCOLL01","Extensible Authentication Protocol","Stopped","Manual"
"LASCOLL01","Encrypting File System (EFS)","Stopped","Manual"
"LASCOLL01","Windows Event Log","Running","Automatic"
"LASCOLL01","COM+ Event System","Running","Automatic"
"LASCOLL01","Function Discovery Provider Host","Stopped","Manual"
"LASCOLL01","Function Discovery Resource Publication","Stopped","Manual"
"LASCOLL01","FNBM Data Layer Service","Running","Manual"
"LASCOLL01","Windows Font Cache Service","Running","Automatic"
"LASCOLL01","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASCOLL01","Group Policy Client","Running","Automatic"
"LASCOLL01","Commvault Client Manager Service (Instance001)","Running","Automatic"
"LASCOLL01","Commvault Communications Service (Instance001)","Running","Automatic"
"LASCOLL01","Human Interface Device Access","Stopped","Manual"
"LASCOLL01","Health Key and Certificate Management","Stopped","Manual"
"LASCOLL01","IIS Admin Service","Running","Automatic"
"LASCOLL01","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASCOLL01","IP Helper","Running","Automatic"
"LASCOLL01","CNG Key Isolation","Stopped","Manual"
"LASCOLL01","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASCOLL01","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASCOLL01","Server","Running","Automatic"
"LASCOLL01","Workstation","Running","Automatic"
"LASCOLL01","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASCOLL01","TCP/IP NetBIOS Helper","Running","Automatic"
"LASCOLL01","Local Session Manager","Running","Automatic"
"LASCOLL01","Multimedia Class Scheduler","Stopped","Manual"
"LASCOLL01","Windows Firewall","Running","Automatic"
"LASCOLL01","Distributed Transaction Coordinator","Running","Automatic"
"LASCOLL01","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASCOLL01","Windows Installer","Stopped","Manual"
"LASCOLL01","Message Queuing","Running","Automatic"
"LASCOLL01","Network Access Protection Agent","Stopped","Manual"
"LASCOLL01","Network Connectivity Assistant","Stopped","Manual"
"LASCOLL01","Netlogon","Running","Automatic"
"LASCOLL01","Network Connections","Stopped","Manual"
"LASCOLL01","Network List Service","Running","Manual"
"LASCOLL01","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASCOLL01","Network Location Awareness","Running","Automatic"
"LASCOLL01","Network Store Interface Service","Running","Automatic"
"LASCOLL01","OracleMTSRecoveryService","Running","Automatic"
"LASCOLL01","OracleRemExecServiceV2","Stopped","Manual"
"LASCOLL01","Performance Counter DLL Host","Stopped","Manual"
"LASCOLL01","Performance Logs & Alerts","Stopped","Manual"
"LASCOLL01","Plug and Play","Running","Manual"
"LASCOLL01","IPsec Policy Agent","Running","Manual"
"LASCOLL01","Power","Running","Automatic"
"LASCOLL01","Printer Extensions and Notifications","Stopped","Manual"
"LASCOLL01","User Profile Service","Running","Automatic"
"LASCOLL01","Remote Access Auto Connection Manager","Stopped","Manual"
"LASCOLL01","Remote Access Connection Manager","Stopped","Manual"
"LASCOLL01","Routing and Remote Access","Stopped","Disabled"
"LASCOLL01","Remote Registry","Running","Manual"
"LASCOLL01","RPC Endpoint Mapper","Running","Automatic"
"LASCOLL01","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASCOLL01","Remote Procedure Call (RPC)","Running","Automatic"
"LASCOLL01","Resultant Set of Policy Provider","Stopped","Manual"
"LASCOLL01","Special Administration Console Helper","Stopped","Manual"
"LASCOLL01","Security Accounts Manager","Running","Automatic"
"LASCOLL01","Smart Card","Stopped","Disabled"
"LASCOLL01","Task Scheduler","Running","Automatic"
"LASCOLL01","Smart Card Removal Policy","Stopped","Manual"
"LASCOLL01","Secondary Logon","Stopped","Manual"
"LASCOLL01","System Event Notification Service","Running","Automatic"
"LASCOLL01","Symantec Endpoint Protection","Running","Automatic"
"LASCOLL01","Remote Desktop Configuration","Running","Manual"
"LASCOLL01","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASCOLL01","Shell Hardware Detection","Running","Automatic"
"LASCOLL01","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASCOLL01","Symantec Network Access Control","Stopped","Manual"
"LASCOLL01","SNMP Service","Running","Automatic"
"LASCOLL01","SNMP Trap","Stopped","Manual"
"LASCOLL01","Print Spooler","Running","Automatic"
"LASCOLL01","Software Protection","Stopped","Automatic"
"LASCOLL01","SSDP Discovery","Stopped","Disabled"
"LASCOLL01","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASCOLL01","Spot Verifier","Stopped","Manual"
"LASCOLL01","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASCOLL01","Superfetch","Stopped","Manual"
"LASCOLL01","Telephony","Stopped","Manual"
"LASCOLL01","Remote Desktop Services","Running","Manual"
"LASCOLL01","Themes","Running","Automatic"
"LASCOLL01","Thread Ordering Server","Stopped","Manual"
"LASCOLL01","Track-It! Workstation Manager","Running","Automatic"
"LASCOLL01","Distributed Link Tracking Client","Running","Automatic"
"LASCOLL01","Windows Modules Installer","Stopped","Manual"
"LASCOLL01","User Access Logging Service","Running","Automatic"
"LASCOLL01","Interactive Services Detection","Stopped","Manual"
"LASCOLL01","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASCOLL01","UPnP Device Host","Stopped","Disabled"
"LASCOLL01","Credential Manager","Stopped","Manual"
"LASCOLL01","Virtual Disk","Stopped","Manual"
"LASCOLL01","Hyper-V Heartbeat Service","Stopped","Manual"
"LASCOLL01","Hyper-V Data Exchange Service","Stopped","Manual"
"LASCOLL01","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"LASCOLL01","Hyper-V Guest Shutdown Service","Stopped","Manual"
"LASCOLL01","Hyper-V Time Synchronization Service","Stopped","Manual"
"LASCOLL01","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"LASCOLL01","VMTools","Running","Automatic"
"LASCOLL01","VMware Snapshot Provider","Stopped","Manual"
"LASCOLL01","Volume Shadow Copy","Stopped","Manual"
