"MachineName","DisplayName","Status","StartType"
"LASDC02","Netwrix Auditor for Active Directory Compression Service","Stopped","Manual"
"LASDC02","Active Directory Web Services","Running","Automatic"
"LASDC02","Application Experience","Running","Manual"
"LASDC02","Application Layer Gateway Service","Stopped","Manual"
"LASDC02","Application Identity","Stopped","Manual"
"LASDC02","Application Information","Stopped","Manual"
"LASDC02","Application Management","Stopped","Manual"
"LASDC02","ASP.NET State Service","Stopped","Manual"
"LASDC02","Windows Audio Endpoint Builder","Stopped","Manual"
"LASDC02","Windows Audio","Stopped","Manual"
"LASDC02","Base Filtering Engine","Running","Automatic"
"LASDC02","Background Intelligent Transfer Service","Stopped","Manual"
"LASDC02","Computer Browser","Stopped","Disabled"
"LASDC02","Certificate Propagation","Running","Manual"
"LASDC02","HP Insight Event Notifier","Stopped","Disabled"
"LASDC02","HP Smart Array SAS/SATA Event Notification Service","Running","Automatic"
"LASDC02","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","Disabled"
"LASDC02","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","Disabled"
"LASDC02","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","Automatic"
"LASDC02","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","Automatic"
"LASDC02","COM+ System Application","Stopped","Manual"
"LASDC02","HP Insight NIC Agents","Running","Automatic"
"LASDC02","HP Version Control Agent","Running","Automatic"
"LASDC02","HP Insight Foundation Agents","Running","Automatic"
"LASDC02","HP Insight Server Agents","Running","Automatic"
"LASDC02","HP Insight Storage Agents","Running","Automatic"
"LASDC02","Cryptographic Services","Running","Automatic"
"LASDC02","DCOM Server Process Launcher","Running","Automatic"
"LASDC02","Disk Defragmenter","Stopped","Manual"
"LASDC02","DFS Namespace","Running","Automatic"
"LASDC02","DFS Replication","Running","Automatic"
"LASDC02","DHCP Client","Running","Automatic"
"LASDC02","DHCP Server","Running","Automatic"
"LASDC02","Diagnostics Tracking Service","Running","Automatic"
"LASDC02","DNS Server","Running","Automatic"
"LASDC02","DNS Client","Running","Automatic"
"LASDC02","Wired AutoConfig","Stopped","Manual"
"LASDC02","Diagnostic Policy Service","Running","Automatic"
"LASDC02","Extensible Authentication Protocol","Stopped","Manual"
"LASDC02","Encrypting File System (EFS)","Stopped","Manual"
"LASDC02","Windows Event Log","Running","Automatic"
"LASDC02","COM+ Event System","Running","Automatic"
"LASDC02","Microsoft Fibre Channel Platform Registration Service","Stopped","Manual"
"LASDC02","Function Discovery Provider Host","Stopped","Manual"
"LASDC02","Function Discovery Resource Publication","Stopped","Manual"
"LASDC02","Windows Font Cache Service","Running","Automatic"
"LASDC02","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASDC02","Group Policy Client","Running","Automatic"
"LASDC02","Human Interface Device Access","Stopped","Manual"
"LASDC02","Health Key and Certificate Management","Stopped","Manual"
"LASDC02","HP WMI Storage Providers","Running","Automatic"
"LASDC02","Windows CardSpace","Stopped","Manual"
"LASDC02","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASDC02","PnP-X IP Bus Enumerator","Stopped","Disabled"
"LASDC02","IP Helper","Running","Automatic"
"LASDC02","Intersite Messaging","Running","Automatic"
