"MachineName","DisplayName","Status","StartType"
"LASHF01GUI","Application Experience","Stopped","Manual"
"LASHF01GUI","Application Layer Gateway Service","Stopped","Manual"
"LASHF01GUI","Windows All-User Install Agent","Stopped","Manual"
"LASHF01GUI","Application Host Helper Service","Running","Automatic"
"LASHF01GUI","Application Identity","Stopped","Manual"
"LASHF01GUI","Application Information","Stopped","Manual"
"LASHF01GUI","Application Management","Stopped","Manual"
"LASHF01GUI","ASP.NET State Service","Stopped","Manual"
"LASHF01GUI","Windows Audio Endpoint Builder","Stopped","Manual"
"LASHF01GUI","Windows Audio","Stopped","Manual"
"LASHF01GUI","Base Filtering Engine","Running","Automatic"
"LASHF01GUI","Background Intelligent Transfer Service","Stopped","Manual"
"LASHF01GUI","Background Tasks Infrastructure Service","Running","Automatic"
"LASHF01GUI","Computer Browser","Stopped","Disabled"
"LASHF01GUI","Certificate Propagation","Running","Manual"
"LASHF01GUI","COM+ System Application","Running","Manual"
"LASHF01GUI","Cryptographic Services","Running","Automatic"
"LASHF01GUI","DCOM Server Process Launcher","Running","Automatic"
"LASHF01GUI","Optimize drives","Stopped","Manual"
"LASHF01GUI","Device Association Service","Stopped","Manual"
"LASHF01GUI","Device Install Service","Stopped","Manual"
"LASHF01GUI","DHCP Client","Running","Automatic"
"LASHF01GUI","DNS Client","Running","Automatic"
"LASHF01GUI","Wired AutoConfig","Stopped","Manual"
"LASHF01GUI","Diagnostic Policy Service","Running","Automatic"
"LASHF01GUI","Device Setup Manager","Stopped","Manual"
"LASHF01GUI","Extensible Authentication Protocol","Stopped","Manual"
"LASHF01GUI","Encrypting File System (EFS)","Stopped","Manual"
"LASHF01GUI","Windows Event Log","Running","Automatic"
"LASHF01GUI","COM+ Event System","Running","Automatic"
"LASHF01GUI","Function Discovery Provider Host","Stopped","Manual"
"LASHF01GUI","Function Discovery Resource Publication","Stopped","Manual"
"LASHF01GUI","Windows Font Cache Service","Running","Automatic"
"LASHF01GUI","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASHF01GUI","Group Policy Client","Running","Automatic"
"LASHF01GUI","Human Interface Device Access","Stopped","Manual"
"LASHF01GUI","Health Key and Certificate Management","Stopped","Manual"
"LASHF01GUI","IIS Admin Service","Running","Automatic"
"LASHF01GUI","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASHF01GUI","IP Helper","Running","Automatic"
"LASHF01GUI","CNG Key Isolation","Stopped","Manual"
"LASHF01GUI","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASHF01GUI","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASHF01GUI","Server","Running","Automatic"
"LASHF01GUI","Workstation","Running","Automatic"
"LASHF01GUI","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASHF01GUI","TCP/IP NetBIOS Helper","Running","Automatic"
"LASHF01GUI","Local Session Manager","Running","Automatic"
"LASHF01GUI","Multimedia Class Scheduler","Stopped","Manual"
"LASHF01GUI","Windows Firewall","Running","Automatic"
"LASHF01GUI","Web Deployment Agent Service","Running","Automatic"
"LASHF01GUI","Distributed Transaction Coordinator","Running","Automatic"
"LASHF01GUI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASHF01GUI","Windows Installer","Stopped","Manual"
"LASHF01GUI","Message Queuing","Running","Automatic"
"LASHF01GUI","Network Access Protection Agent","Stopped","Manual"
"LASHF01GUI","Network Connectivity Assistant","Stopped","Manual"
"LASHF01GUI","Netlogon","Running","Automatic"
"LASHF01GUI","Network Connections","Stopped","Manual"
"LASHF01GUI","Network List Service","Running","Manual"
"LASHF01GUI","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASHF01GUI","Network Location Awareness","Running","Automatic"
"LASHF01GUI","Network Store Interface Service","Running","Automatic"
"LASHF01GUI","OracleRemExecServiceV2","Stopped","Manual"
"LASHF01GUI","Office Source Engine","Stopped","Manual"
"LASHF01GUI","Office 64 Source Engine","Stopped","Manual"
"LASHF01GUI","Performance Counter DLL Host","Stopped","Manual"
"LASHF01GUI","Performance Logs & Alerts","Stopped","Manual"
"LASHF01GUI","Plug and Play","Running","Manual"
"LASHF01GUI","IPsec Policy Agent","Running","Manual"
"LASHF01GUI","Power","Running","Automatic"
