"MachineName","DisplayName","Status","StartType"
"LASHF01WEB","Application Experience","Stopped","Manual"
"LASHF01WEB","Application Layer Gateway Service","Stopped","Manual"
"LASHF01WEB","Windows All-User Install Agent","Stopped","Manual"
"LASHF01WEB","Application Host Helper Service","Running","Automatic"
"LASHF01WEB","Application Identity","Stopped","Manual"
"LASHF01WEB","Application Information","Stopped","Manual"
"LASHF01WEB","Application Management","Stopped","Manual"
"LASHF01WEB","ASP.NET State Service","Stopped","Manual"
"LASHF01WEB","Windows Audio Endpoint Builder","Stopped","Manual"
"LASHF01WEB","Windows Audio","Stopped","Manual"
"LASHF01WEB","Base Filtering Engine","Running","Automatic"
"LASHF01WEB","Background Intelligent Transfer Service","Stopped","Manual"
"LASHF01WEB","Background Tasks Infrastructure Service","Running","Automatic"
"LASHF01WEB","Computer Browser","Stopped","Disabled"
"LASHF01WEB","Certificate Propagation","Running","Manual"
"LASHF01WEB","COM+ System Application","Running","Manual"
"LASHF01WEB","Cryptographic Services","Running","Automatic"
"LASHF01WEB","DCOM Server Process Launcher","Running","Automatic"
"LASHF01WEB","Optimize drives","Stopped","Manual"
"LASHF01WEB","Device Association Service","Stopped","Manual"
"LASHF01WEB","Device Install Service","Stopped","Manual"
"LASHF01WEB","DHCP Client","Running","Automatic"
"LASHF01WEB","DNS Client","Running","Automatic"
"LASHF01WEB","Wired AutoConfig","Stopped","Manual"
"LASHF01WEB","Diagnostic Policy Service","Running","Automatic"
"LASHF01WEB","Device Setup Manager","Stopped","Manual"
"LASHF01WEB","Extensible Authentication Protocol","Stopped","Manual"
"LASHF01WEB","Encrypting File System (EFS)","Stopped","Manual"
"LASHF01WEB","Windows Event Log","Running","Automatic"
"LASHF01WEB","COM+ Event System","Running","Automatic"
"LASHF01WEB","Function Discovery Provider Host","Stopped","Manual"
"LASHF01WEB","Function Discovery Resource Publication","Stopped","Manual"
"LASHF01WEB","Windows Font Cache Service","Running","Automatic"
"LASHF01WEB","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASHF01WEB","Group Policy Client","Running","Automatic"
"LASHF01WEB","Human Interface Device Access","Stopped","Manual"
"LASHF01WEB","Health Key and Certificate Management","Stopped","Manual"
"LASHF01WEB","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASHF01WEB","IP Helper","Running","Automatic"
"LASHF01WEB","CNG Key Isolation","Stopped","Manual"
"LASHF01WEB","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASHF01WEB","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASHF01WEB","Server","Running","Automatic"
"LASHF01WEB","Workstation","Running","Automatic"
"LASHF01WEB","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASHF01WEB","TCP/IP NetBIOS Helper","Running","Automatic"
"LASHF01WEB","Local Session Manager","Running","Automatic"
"LASHF01WEB","Multimedia Class Scheduler","Stopped","Manual"
"LASHF01WEB","Windows Firewall","Running","Automatic"
"LASHF01WEB","Web Deployment Agent Service","Running","Automatic"
"LASHF01WEB","Distributed Transaction Coordinator","Running","Automatic"
"LASHF01WEB","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASHF01WEB","Windows Installer","Stopped","Manual"
"LASHF01WEB","Network Access Protection Agent","Stopped","Manual"
"LASHF01WEB","Network Connectivity Assistant","Stopped","Manual"
"LASHF01WEB","Netlogon","Running","Automatic"
"LASHF01WEB","Network Connections","Stopped","Manual"
"LASHF01WEB","Network List Service","Running","Manual"
"LASHF01WEB","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASHF01WEB","Network Location Awareness","Running","Automatic"
"LASHF01WEB","Network Store Interface Service","Running","Automatic"
"LASHF01WEB","Performance Counter DLL Host","Stopped","Manual"
"LASHF01WEB","Performance Logs & Alerts","Stopped","Manual"
"LASHF01WEB","Plug and Play","Running","Manual"
"LASHF01WEB","IPsec Policy Agent","Running","Manual"
"LASHF01WEB","Power","Running","Automatic"
"LASHF01WEB","Printer Extensions and Notifications","Stopped","Manual"
"LASHF01WEB","User Profile Service","Running","Automatic"
"LASHF01WEB","Remote Access Auto Connection Manager","Stopped","Manual"
"LASHF01WEB","Remote Access Connection Manager","Stopped","Manual"
"LASHF01WEB","Routing and Remote Access","Stopped","Disabled"
"LASHF01WEB","Remote Registry","Stopped","Manual"
"LASHF01WEB","RPC Endpoint Mapper","Running","Automatic"
"LASHF01WEB","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASHF01WEB","Remote Procedure Call (RPC)","Running","Automatic"
"LASHF01WEB","Resultant Set of Policy Provider","Stopped","Manual"
"LASHF01WEB","SA SFTP Agent","Running","Automatic"
"LASHF01WEB","Special Administration Console Helper","Stopped","Manual"
"LASHF01WEB","Security Accounts Manager","Running","Automatic"
"LASHF01WEB","Smart Card","Stopped","Disabled"
"LASHF01WEB","Task Scheduler","Running","Automatic"
"LASHF01WEB","Smart Card Removal Policy","Stopped","Manual"
"LASHF01WEB","Secondary Logon","Stopped","Manual"
"LASHF01WEB","System Event Notification Service","Running","Automatic"
"LASHF01WEB","Remote Desktop Configuration","Running","Manual"
"LASHF01WEB","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASHF01WEB","Shell Hardware Detection","Stopped","Automatic"
"LASHF01WEB","SNMP Service","Running","Automatic"
"LASHF01WEB","SNMP Trap","Stopped","Manual"
"LASHF01WEB","Print Spooler","Running","Automatic"
"LASHF01WEB","Software Protection","Stopped","Automatic"
"LASHF01WEB","SSDP Discovery","Stopped","Disabled"
"LASHF01WEB","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASHF01WEB","Spot Verifier","Stopped","Manual"
"LASHF01WEB","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASHF01WEB","Superfetch","Stopped","Manual"
"LASHF01WEB","Telephony","Stopped","Manual"
"LASHF01WEB","Remote Desktop Services","Running","Manual"
"LASHF01WEB","Themes","Running","Automatic"
"LASHF01WEB","Thread Ordering Server","Stopped","Manual"
"LASHF01WEB","Track-It! Workstation Manager","Running","Automatic"
"LASHF01WEB","Distributed Link Tracking Client","Running","Automatic"
"LASHF01WEB","Windows Modules Installer","Stopped","Manual"
"LASHF01WEB","User Access Logging Service","Running","Automatic"
"LASHF01WEB","Interactive Services Detection","Stopped","Manual"
"LASHF01WEB","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASHF01WEB","UPnP Device Host","Stopped","Disabled"
"LASHF01WEB","Credential Manager","Stopped","Manual"
"LASHF01WEB","Virtual Disk","Stopped","Manual"
"LASHF01WEB","VMware Alias Manager and Ticket Service","Running","Automatic"
"LASHF01WEB","Hyper-V Heartbeat Service","Stopped","Manual"
"LASHF01WEB","Hyper-V Data Exchange Service","Stopped","Manual"
"LASHF01WEB","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"LASHF01WEB","Hyper-V Guest Shutdown Service","Stopped","Manual"
"LASHF01WEB","Hyper-V Time Synchronization Service","Stopped","Manual"
"LASHF01WEB","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"LASHF01WEB","VMware Tools","Running","Automatic"
"LASHF01WEB","VMware Snapshot Provider","Stopped","Manual"
"LASHF01WEB","VMware Physical Disk Helper Service","Running","Automatic"
"LASHF01WEB","VMware CAF AMQP Communication Service","Stopped","Manual"
"LASHF01WEB","VMware CAF Management Agent Service","Running","Automatic"
"LASHF01WEB","Volume Shadow Copy","Stopped","Manual"
"LASHF01WEB","Windows Time","Running","Manual"
"LASHF01WEB","World Wide Web Publishing Service","Running","Automatic"
"LASHF01WEB","Windows Process Activation Service","Running","Manual"
"LASHF01WEB","Windows Color System","Stopped","Manual"
"LASHF01WEB","Diagnostic Service Host","Stopped","Manual"
"LASHF01WEB","Diagnostic System Host","Stopped","Manual"
"LASHF01WEB","Windows Event Collector","Stopped","Manual"
"LASHF01WEB","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"LASHF01WEB","Windows Error Reporting Service","Stopped","Manual"
"LASHF01WEB","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"LASHF01WEB","Windows Management Instrumentation","Running","Automatic"
"LASHF01WEB","Windows Remote Management (WS-Management)","Running","Automatic"
"LASHF01WEB","WMI Performance Adapter","Running","Manual"
"LASHF01WEB","Portable Device Enumerator Service","Stopped","Manual"
"LASHF01WEB","Windows Store Service (WSService)","Stopped","Manual"
"LASHF01WEB","Windows Update","Stopped","Manual"
"LASHF01WEB","Windows Driver Foundation - User-mode Driver Framework","Stopped","Manual"
