"MachineName","DisplayName","Status","StartType"
"LASMT03","Application Experience","Stopped","Manual"
"LASMT03","Application Layer Gateway Service","Stopped","Manual"
"LASMT03","Windows All-User Install Agent","Stopped","Manual"
"LASMT03","Application Host Helper Service","Running","Automatic"
"LASMT03","Application Identity","Stopped","Manual"
"LASMT03","Application Information","Running","Manual"
"LASMT03","Application Management","Stopped","Manual"
"LASMT03","ASP.NET State Service","Stopped","Manual"
"LASMT03","Windows Audio Endpoint Builder","Stopped","Manual"
"LASMT03","Windows Audio","Stopped","Manual"
"LASMT03","Base Filtering Engine","Running","Automatic"
"LASMT03","Background Intelligent Transfer Service","Stopped","Manual"
"LASMT03","Background Tasks Infrastructure Service","Running","Automatic"
"LASMT03","Computer Browser","Stopped","Disabled"
"LASMT03","Certificate Propagation","Running","Manual"
"LASMT03","COM+ System Application","Running","Manual"
"LASMT03","Cryptographic Services","Running","Automatic"
"LASMT03","DCOM Server Process Launcher","Running","Automatic"
"LASMT03","Optimize drives","Stopped","Manual"
"LASMT03","Device Association Service","Stopped","Manual"
"LASMT03","Device Install Service","Stopped","Manual"
"LASMT03","DHCP Client","Running","Automatic"
"LASMT03","DNS Client","Running","Automatic"
"LASMT03","Wired AutoConfig","Stopped","Manual"
"LASMT03","Diagnostic Policy Service","Running","Automatic"
"LASMT03","Device Setup Manager","Stopped","Manual"
"LASMT03","Extensible Authentication Protocol","Stopped","Manual"
"LASMT03","Encrypting File System (EFS)","Stopped","Manual"
"LASMT03","Windows Event Log","Running","Automatic"
"LASMT03","COM+ Event System","Running","Automatic"
"LASMT03","Function Discovery Provider Host","Stopped","Manual"
"LASMT03","Function Discovery Resource Publication","Stopped","Manual"
"LASMT03","FNBM Data Layer Service","Running","Manual"
"LASMT03","Windows Font Cache Service","Running","Automatic"
"LASMT03","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASMT03","Group Policy Client","Running","Automatic"
"LASMT03","Human Interface Device Access","Stopped","Manual"
"LASMT03","Health Key and Certificate Management","Stopped","Manual"
"LASMT03","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASMT03","IP Helper","Running","Automatic"
"LASMT03","CNG Key Isolation","Stopped","Manual"
"LASMT03","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASMT03","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASMT03","Server","Running","Automatic"
"LASMT03","Workstation","Running","Automatic"
"LASMT03","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASMT03","TCP/IP NetBIOS Helper","Running","Automatic"
"LASMT03","Local Session Manager","Running","Automatic"
"LASMT03","Multimedia Class Scheduler","Stopped","Manual"
"LASMT03","Windows Firewall","Running","Automatic"
"LASMT03","Web Deployment Agent Service","Running","Automatic"
"LASMT03","Distributed Transaction Coordinator","Running","Automatic"
"LASMT03","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASMT03","Windows Installer","Stopped","Manual"
"LASMT03","Network Access Protection Agent","Stopped","Manual"
"LASMT03","Network Connectivity Assistant","Stopped","Manual"
"LASMT03","Netlogon","Running","Automatic"
"LASMT03","Network Connections","Stopped","Manual"
"LASMT03","Network List Service","Running","Manual"
"LASMT03","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASMT03","Network Location Awareness","Running","Automatic"
"LASMT03","Network Store Interface Service","Running","Automatic"
"LASMT03","OracleMTSRecoveryService","Stopped","Automatic"
"LASMT03","OracleRemExecServiceV2","Stopped","Manual"
"LASMT03","Performance Counter DLL Host","Stopped","Manual"
"LASMT03","Performance Logs & Alerts","Stopped","Manual"
"LASMT03","Plug and Play","Running","Manual"
"LASMT03","IPsec Policy Agent","Running","Manual"
"LASMT03","Power","Running","Automatic"
"LASMT03","Printer Extensions and Notifications","Stopped","Manual"
"LASMT03","User Profile Service","Running","Automatic"
"LASMT03","Remote Access Auto Connection Manager","Stopped","Manual"
"LASMT03","Remote Access Connection Manager","Stopped","Manual"
"LASMT03","Routing and Remote Access","Stopped","Disabled"
"LASMT03","Remote Registry","Stopped","Manual"
"LASMT03","RPC Endpoint Mapper","Running","Automatic"
"LASMT03","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASMT03","Remote Procedure Call (RPC)","Running","Automatic"
"LASMT03","Resultant Set of Policy Provider","Stopped","Manual"
"LASMT03","Special Administration Console Helper","Stopped","Manual"
"LASMT03","Security Accounts Manager","Running","Automatic"
"LASMT03","Smart Card","Stopped","Disabled"
"LASMT03","Task Scheduler","Running","Automatic"
"LASMT03","Smart Card Removal Policy","Stopped","Manual"
"LASMT03","Secondary Logon","Stopped","Manual"
"LASMT03","System Event Notification Service","Running","Automatic"
"LASMT03","Symantec Endpoint Protection","Running","Automatic"
"LASMT03","Remote Desktop Configuration","Running","Manual"
"LASMT03","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASMT03","Shell Hardware Detection","Running","Automatic"
"LASMT03","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASMT03","Symantec Network Access Control","Stopped","Manual"
"LASMT03","SNMP Service","Running","Automatic"
"LASMT03","SNMP Trap","Stopped","Manual"
"LASMT03","Print Spooler","Running","Automatic"
"LASMT03","Software Protection","Stopped","Automatic"
"LASMT03","SSDP Discovery","Stopped","Disabled"
"LASMT03","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASMT03","Spot Verifier","Stopped","Manual"
"LASMT03","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASMT03","Superfetch","Stopped","Manual"
"LASMT03","Telephony","Stopped","Manual"
"LASMT03","Remote Desktop Services","Running","Manual"
"LASMT03","Themes","Running","Automatic"
"LASMT03","Thread Ordering Server","Stopped","Manual"
"LASMT03","Track-It! Workstation Manager","Running","Automatic"
"LASMT03","TP AutoConnect Service","Stopped","Manual"
"LASMT03","TP VC Gateway Service","Stopped","Manual"
"LASMT03","Distributed Link Tracking Client","Running","Automatic"
"LASMT03","Windows Modules Installer","Stopped","Manual"
"LASMT03","User Access Logging Service","Running","Automatic"
"LASMT03","Interactive Services Detection","Stopped","Manual"
"LASMT03","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASMT03","UPnP Device Host","Stopped","Disabled"
"LASMT03","Credential Manager","Stopped","Manual"
"LASMT03","Virtual Disk","Stopped","Manual"
"LASMT03","Hyper-V Heartbeat Service","Stopped","Manual"
"LASMT03","Hyper-V Data Exchange Service","Stopped","Manual"
"LASMT03","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
