"MachineName","DisplayName","Status","StartType"
"LASPRINT02","Application Experience","Stopped","Manual"
"LASPRINT02","Application Layer Gateway Service","Stopped","Manual"
"LASPRINT02","Application Host Helper Service","Running","Automatic"
"LASPRINT02","Application Identity","Stopped","Manual"
"LASPRINT02","Application Information","Running","Manual"
"LASPRINT02","Application Management","Stopped","Manual"
"LASPRINT02","App Readiness","Stopped","Manual"
"LASPRINT02","AppX Deployment Service (AppXSVC)","Stopped","Manual"
"LASPRINT02","ASP.NET State Service","Stopped","Manual"
"LASPRINT02","Windows Audio Endpoint Builder","Stopped","Manual"
"LASPRINT02","Windows Audio","Stopped","Manual"
"LASPRINT02","Base Filtering Engine","Running","Automatic"
"LASPRINT02","Background Intelligent Transfer Service","Stopped","Manual"
"LASPRINT02","Background Tasks Infrastructure Service","Running","Automatic"
"LASPRINT02","Computer Browser","Stopped","Disabled"
"LASPRINT02","Certificate Propagation","Running","Manual"
"LASPRINT02","COM+ System Application","Running","Manual"
"LASPRINT02","Cryptographic Services","Running","Automatic"
"LASPRINT02","DCOM Server Process Launcher","Running","Automatic"
"LASPRINT02","Optimize drives","Stopped","Manual"
"LASPRINT02","Device Association Service","Running","Automatic"
"LASPRINT02","Device Install Service","Stopped","Manual"
"LASPRINT02","DHCP Client","Running","Automatic"
"LASPRINT02","Diagnostics Tracking Service","Running","Automatic"
"LASPRINT02","DNS Client","Running","Automatic"
"LASPRINT02","Wired AutoConfig","Stopped","Manual"
"LASPRINT02","Diagnostic Policy Service","Running","Automatic"
"LASPRINT02","Device Setup Manager","Stopped","Manual"
"LASPRINT02","Extensible Authentication Protocol","Stopped","Manual"
"LASPRINT02","Encrypting File System (EFS)","Stopped","Manual"
"LASPRINT02","Windows Event Log","Running","Automatic"
"LASPRINT02","COM+ Event System","Running","Automatic"
"LASPRINT02","Function Discovery Provider Host","Stopped","Manual"
"LASPRINT02","Function Discovery Resource Publication","Stopped","Manual"
"LASPRINT02","FMAudit Onsite","Running","Automatic"
"LASPRINT02","Windows Font Cache Service","Running","Automatic"
"LASPRINT02","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASPRINT02","Group Policy Client","Running","Automatic"
