"MachineName","DisplayName","Status","StartType"
"LASRL01WEB","Application Experience","Stopped","Manual"
"LASRL01WEB","Application Layer Gateway Service","Stopped","Manual"
"LASRL01WEB","Windows All-User Install Agent","Stopped","Manual"
"LASRL01WEB","Application Host Helper Service","Running","Automatic"
"LASRL01WEB","Application Identity","Stopped","Manual"
"LASRL01WEB","Application Information","Stopped","Manual"
"LASRL01WEB","Application Management","Stopped","Manual"
"LASRL01WEB","ASP.NET State Service","Stopped","Manual"
"LASRL01WEB","Windows Audio Endpoint Builder","Stopped","Manual"
"LASRL01WEB","Windows Audio","Stopped","Manual"
"LASRL01WEB","Base Filtering Engine","Running","Automatic"
"LASRL01WEB","Background Intelligent Transfer Service","Stopped","Manual"
"LASRL01WEB","Background Tasks Infrastructure Service","Running","Automatic"
"LASRL01WEB","Computer Browser","Stopped","Disabled"
"LASRL01WEB","Certificate Propagation","Running","Manual"
"LASRL01WEB","COM+ System Application","Running","Manual"
"LASRL01WEB","Cryptographic Services","Running","Automatic"
"LASRL01WEB","DCOM Server Process Launcher","Running","Automatic"
"LASRL01WEB","Optimize drives","Stopped","Manual"
"LASRL01WEB","Device Association Service","Stopped","Manual"
"LASRL01WEB","Device Install Service","Stopped","Manual"
"LASRL01WEB","DHCP Client","Running","Automatic"
"LASRL01WEB","DNS Client","Running","Automatic"
"LASRL01WEB","Wired AutoConfig","Stopped","Manual"
"LASRL01WEB","Diagnostic Policy Service","Running","Automatic"
"LASRL01WEB","Device Setup Manager","Stopped","Manual"
"LASRL01WEB","Extensible Authentication Protocol","Stopped","Manual"
"LASRL01WEB","Encrypting File System (EFS)","Stopped","Manual"
"LASRL01WEB","Windows Event Log","Running","Automatic"
"LASRL01WEB","COM+ Event System","Running","Automatic"
"LASRL01WEB","Function Discovery Provider Host","Stopped","Manual"
"LASRL01WEB","Function Discovery Resource Publication","Stopped","Manual"
"LASRL01WEB","Windows Font Cache Service","Running","Automatic"
"LASRL01WEB","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASRL01WEB","Group Policy Client","Running","Automatic"
"LASRL01WEB","Human Interface Device Access","Stopped","Manual"
"LASRL01WEB","Health Key and Certificate Management","Stopped","Manual"
"LASRL01WEB","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASRL01WEB","IP Helper","Running","Automatic"
"LASRL01WEB","CNG Key Isolation","Stopped","Manual"
"LASRL01WEB","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASRL01WEB","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASRL01WEB","Server","Running","Automatic"
"LASRL01WEB","Workstation","Running","Automatic"
"LASRL01WEB","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASRL01WEB","TCP/IP NetBIOS Helper","Running","Automatic"
"LASRL01WEB","Local Session Manager","Running","Automatic"
"LASRL01WEB","Multimedia Class Scheduler","Stopped","Manual"
"LASRL01WEB","Windows Firewall","Running","Automatic"
"LASRL01WEB","Web Deployment Agent Service","Running","Automatic"
"LASRL01WEB","Distributed Transaction Coordinator","Running","Automatic"
"LASRL01WEB","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASRL01WEB","Windows Installer","Stopped","Manual"
"LASRL01WEB","Network Access Protection Agent","Stopped","Manual"
"LASRL01WEB","Network Connectivity Assistant","Stopped","Manual"
"LASRL01WEB","Netlogon","Running","Automatic"
"LASRL01WEB","Network Connections","Stopped","Manual"
"LASRL01WEB","Network List Service","Running","Manual"
"LASRL01WEB","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASRL01WEB","Network Location Awareness","Running","Automatic"
"LASRL01WEB","Network Store Interface Service","Running","Automatic"
"LASRL01WEB","Performance Counter DLL Host","Stopped","Manual"
"LASRL01WEB","Performance Logs & Alerts","Stopped","Manual"
"LASRL01WEB","Plug and Play","Running","Manual"
"LASRL01WEB","IPsec Policy Agent","Running","Manual"
"LASRL01WEB","Power","Running","Automatic"
"LASRL01WEB","Printer Extensions and Notifications","Stopped","Manual"
"LASRL01WEB","User Profile Service","Running","Automatic"
"LASRL01WEB","Remote Access Auto Connection Manager","Stopped","Manual"
"LASRL01WEB","Remote Access Connection Manager","Stopped","Manual"
"LASRL01WEB","Routing and Remote Access","Stopped","Disabled"
"LASRL01WEB","Remote Registry","Stopped","Manual"
"LASRL01WEB","RPC Endpoint Mapper","Running","Automatic"
"LASRL01WEB","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASRL01WEB","Remote Procedure Call (RPC)","Running","Automatic"
"LASRL01WEB","Resultant Set of Policy Provider","Stopped","Manual"
"LASRL01WEB","Special Administration Console Helper","Stopped","Manual"
"LASRL01WEB","Security Accounts Manager","Running","Automatic"
"LASRL01WEB","Smart Card","Stopped","Disabled"
"LASRL01WEB","Task Scheduler","Running","Automatic"
"LASRL01WEB","Smart Card Removal Policy","Stopped","Manual"
"LASRL01WEB","Secondary Logon","Stopped","Manual"
"LASRL01WEB","System Event Notification Service","Running","Automatic"
"LASRL01WEB","Remote Desktop Configuration","Running","Manual"
"LASRL01WEB","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASRL01WEB","Shell Hardware Detection","Stopped","Automatic"
"LASRL01WEB","SNMP Service","Running","Automatic"
"LASRL01WEB","SNMP Trap","Stopped","Manual"
"LASRL01WEB","Print Spooler","Running","Automatic"
"LASRL01WEB","Software Protection","Stopped","Automatic"
"LASRL01WEB","SSDP Discovery","Stopped","Disabled"
"LASRL01WEB","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASRL01WEB","Spot Verifier","Stopped","Manual"
"LASRL01WEB","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASRL01WEB","Superfetch","Stopped","Manual"
"LASRL01WEB","Telephony","Stopped","Manual"
"LASRL01WEB","Remote Desktop Services","Running","Manual"
"LASRL01WEB","Themes","Running","Automatic"
"LASRL01WEB","Thread Ordering Server","Stopped","Manual"
"LASRL01WEB","Track-It! Workstation Manager","Running","Automatic"
"LASRL01WEB","Distributed Link Tracking Client","Running","Automatic"
"LASRL01WEB","Windows Modules Installer","Stopped","Manual"
"LASRL01WEB","User Access Logging Service","Running","Automatic"
"LASRL01WEB","Interactive Services Detection","Stopped","Manual"
"LASRL01WEB","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASRL01WEB","UPnP Device Host","Stopped","Disabled"
"LASRL01WEB","Credential Manager","Stopped","Manual"
"LASRL01WEB","Virtual Disk","Stopped","Manual"
"LASRL01WEB","VMware Alias Manager and Ticket Service","Running","Automatic"
"LASRL01WEB","Hyper-V Heartbeat Service","Stopped","Manual"
"LASRL01WEB","Hyper-V Data Exchange Service","Stopped","Manual"
"LASRL01WEB","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"LASRL01WEB","Hyper-V Guest Shutdown Service","Stopped","Manual"
"LASRL01WEB","Hyper-V Time Synchronization Service","Stopped","Manual"
"LASRL01WEB","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"LASRL01WEB","VMware Tools","Running","Automatic"
"LASRL01WEB","VMware Snapshot Provider","Stopped","Manual"
"LASRL01WEB","VMware Physical Disk Helper Service","Running","Automatic"
"LASRL01WEB","VMware CAF AMQP Communication Service","Stopped","Manual"
"LASRL01WEB","VMware CAF Management Agent Service","Running","Automatic"
"LASRL01WEB","Volume Shadow Copy","Stopped","Manual"
"LASRL01WEB","Windows Time","Running","Manual"
"LASRL01WEB","World Wide Web Publishing Service","Running","Automatic"
"LASRL01WEB","Windows Process Activation Service","Running","Manual"
"LASRL01WEB","Windows Color System","Stopped","Manual"
"LASRL01WEB","Diagnostic Service Host","Stopped","Manual"
"LASRL01WEB","Diagnostic System Host","Stopped","Manual"
"LASRL01WEB","Windows Event Collector","Stopped","Manual"
"LASRL01WEB","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"LASRL01WEB","Windows Error Reporting Service","Stopped","Manual"
"LASRL01WEB","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"LASRL01WEB","Windows Management Instrumentation","Running","Automatic"
"LASRL01WEB","Windows Remote Management (WS-Management)","Running","Automatic"
"LASRL01WEB","WMI Performance Adapter","Stopped","Manual"
"LASRL01WEB","Portable Device Enumerator Service","Stopped","Manual"
"LASRL01WEB","Windows Store Service (WSService)","Stopped","Manual"
"LASRL01WEB","Windows Update","Running","Manual"
"LASRL01WEB","Windows Driver Foundation - User-mode Driver Framework","Stopped","Manual"
