"MachineName","DisplayName","Status","StartType"
"LASSQL02N02","Application Experience","Running","Manual"
"LASSQL02N02","Application Layer Gateway Service","Stopped","Manual"
"LASSQL02N02","Application Host Helper Service","Running","Automatic"
"LASSQL02N02","Application Identity","Stopped","Manual"
"LASSQL02N02","Application Information","Stopped","Manual"
"LASSQL02N02","Application Management","Stopped","Manual"
"LASSQL02N02","ASP.NET State Service","Stopped","Manual"
"LASSQL02N02","Windows Audio Endpoint Builder","Stopped","Manual"
"LASSQL02N02","Windows Audio","Stopped","Manual"
"LASSQL02N02","Base Filtering Engine","Running","Automatic"
"LASSQL02N02","Background Intelligent Transfer Service","Stopped","Manual"
"LASSQL02N02","Computer Browser","Stopped","Disabled"
"LASSQL02N02","Claims to Windows Token Service","Stopped","Disabled"
"LASSQL02N02","Certificate Propagation","Running","Manual"
"LASSQL02N02","HP Insight Event Notifier","Stopped","Disabled"
"LASSQL02N02","HP Smart Array SAS/SATA Event Notification Service","Running","Automatic"
"LASSQL02N02","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","Disabled"
"LASSQL02N02","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","Disabled"
"LASSQL02N02","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","Automatic"
"LASSQL02N02","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","Automatic"
"LASSQL02N02","Cluster Service","Running","Automatic"
"LASSQL02N02","COM+ System Application","Stopped","Manual"
"LASSQL02N02","HP Insight NIC Agents","Running","Automatic"
"LASSQL02N02","HP ProLiant Remote Monitor Service","Running","Automatic"
"LASSQL02N02","HP Version Control Agent","Running","Automatic"
"LASSQL02N02","HP Insight Foundation Agents","Running","Automatic"
"LASSQL02N02","HP Insight Server Agents","Running","Automatic"
"LASSQL02N02","HP Insight Storage Agents","Running","Automatic"
"LASSQL02N02","Cryptographic Services","Running","Automatic"
"LASSQL02N02","DCOM Server Process Launcher","Running","Automatic"
"LASSQL02N02","Disk Defragmenter","Stopped","Manual"
"LASSQL02N02","DHCP Client","Running","Automatic"
"LASSQL02N02","Diagnostics Tracking Service","Running","Automatic"
"LASSQL02N02","DNS Client","Running","Automatic"
"LASSQL02N02","Wired AutoConfig","Stopped","Manual"
"LASSQL02N02","Diagnostic Policy Service","Running","Automatic"
"LASSQL02N02","Extensible Authentication Protocol","Stopped","Manual"
"LASSQL02N02","Encrypting File System (EFS)","Running","Automatic"
"LASSQL02N02","Windows Event Log","Running","Automatic"
