"MachineName","DisplayName","Status","StartType"
"LASSQLTST03","Application Experience","Stopped","Manual"
"LASSQLTST03","Application Layer Gateway Service","Stopped","Manual"
"LASSQLTST03","Application Identity","Stopped","Manual"
"LASSQLTST03","Application Information","Stopped","Manual"
"LASSQLTST03","Application Management","Stopped","Manual"
"LASSQLTST03","ASP.NET State Service","Stopped","Manual"
"LASSQLTST03","Windows Audio Endpoint Builder","Stopped","Manual"
"LASSQLTST03","Windows Audio","Stopped","Manual"
"LASSQLTST03","Base Filtering Engine","Running","Automatic"
"LASSQLTST03","Background Intelligent Transfer Service","Stopped","Manual"
"LASSQLTST03","Computer Browser","Stopped","Disabled"
"LASSQLTST03","SMS Agent Host","Running","Automatic"
"LASSQLTST03","Certificate Propagation","Running","Manual"
"LASSQLTST03","HP Insight Event Notifier","Stopped","Disabled"
"LASSQLTST03","HP Smart Array SAS/SATA Event Notification Service","Running","Automatic"
"LASSQLTST03","Microsoft .NET Framework NGEN v2.0.50727_X86","Stopped","Disabled"
"LASSQLTST03","Microsoft .NET Framework NGEN v2.0.50727_X64","Stopped","Disabled"
"LASSQLTST03","Microsoft .NET Framework NGEN v4.0.30319_X86","Stopped","Automatic"
"LASSQLTST03","Microsoft .NET Framework NGEN v4.0.30319_X64","Stopped","Automatic"
"LASSQLTST03","COM+ System Application","Stopped","Manual"
"LASSQLTST03","HP Insight NIC Agents","Running","Automatic"
"LASSQLTST03","HP ProLiant Remote IML Service","Running","Automatic"
"LASSQLTST03","HP Version Control Agent","Running","Automatic"
"LASSQLTST03","HP Insight Foundation Agents","Running","Automatic"
"LASSQLTST03","HP Insight Server Agents","Running","Automatic"
"LASSQLTST03","HP Insight Storage Agents","Running","Automatic"
"LASSQLTST03","Cryptographic Services","Running","Automatic"
"LASSQLTST03","DCOM Server Process Launcher","Running","Automatic"
"LASSQLTST03","Disk Defragmenter","Stopped","Manual"
"LASSQLTST03","DHCP Client","Running","Automatic"
"LASSQLTST03","Diagnostics Tracking Service","Running","Automatic"
"LASSQLTST03","DNS Client","Running","Automatic"
"LASSQLTST03","Wired AutoConfig","Stopped","Manual"
"LASSQLTST03","Diagnostic Policy Service","Running","Automatic"
"LASSQLTST03","Extensible Authentication Protocol","Stopped","Manual"
"LASSQLTST03","Encrypting File System (EFS)","Stopped","Manual"
"LASSQLTST03","Windows Event Log","Running","Automatic"
"LASSQLTST03","COM+ Event System","Running","Automatic"
"LASSQLTST03","Microsoft Fibre Channel Platform Registration Service","Stopped","Manual"
"LASSQLTST03","Function Discovery Provider Host","Stopped","Manual"
