"MachineName","DisplayName","Status","StartType"
"LASTEST03GUI","Application Experience","Stopped","Manual"
"LASTEST03GUI","Application Layer Gateway Service","Stopped","Manual"
"LASTEST03GUI","Windows All-User Install Agent","Stopped","Manual"
"LASTEST03GUI","Application Host Helper Service","Running","Automatic"
"LASTEST03GUI","Application Identity","Stopped","Manual"
"LASTEST03GUI","Application Information","Stopped","Manual"
"LASTEST03GUI","Application Management","Stopped","Manual"
"LASTEST03GUI","ASP.NET State Service","Stopped","Manual"
"LASTEST03GUI","Windows Audio Endpoint Builder","Stopped","Manual"
"LASTEST03GUI","Windows Audio","Stopped","Manual"
"LASTEST03GUI","Base Filtering Engine","Running","Automatic"
"LASTEST03GUI","Background Intelligent Transfer Service","Stopped","Manual"
"LASTEST03GUI","Background Tasks Infrastructure Service","Running","Automatic"
"LASTEST03GUI","Computer Browser","Stopped","Disabled"
"LASTEST03GUI","Certificate Propagation","Running","Manual"
"LASTEST03GUI","COM+ System Application","Running","Manual"
"LASTEST03GUI","Cryptographic Services","Running","Automatic"
"LASTEST03GUI","DCOM Server Process Launcher","Running","Automatic"
"LASTEST03GUI","Optimize drives","Stopped","Manual"
"LASTEST03GUI","Device Association Service","Stopped","Manual"
"LASTEST03GUI","Device Install Service","Stopped","Manual"
"LASTEST03GUI","DHCP Client","Running","Automatic"
"LASTEST03GUI","DNS Client","Running","Automatic"
"LASTEST03GUI","Wired AutoConfig","Stopped","Manual"
"LASTEST03GUI","Diagnostic Policy Service","Running","Automatic"
"LASTEST03GUI","Device Setup Manager","Stopped","Manual"
"LASTEST03GUI","Extensible Authentication Protocol","Stopped","Manual"
"LASTEST03GUI","Encrypting File System (EFS)","Stopped","Manual"
"LASTEST03GUI","Windows Event Log","Running","Automatic"
"LASTEST03GUI","COM+ Event System","Running","Automatic"
"LASTEST03GUI","Function Discovery Provider Host","Stopped","Manual"
"LASTEST03GUI","Function Discovery Resource Publication","Stopped","Manual"
"LASTEST03GUI","Windows Font Cache Service","Running","Automatic"
"LASTEST03GUI","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASTEST03GUI","Group Policy Client","Running","Automatic"
"LASTEST03GUI","Human Interface Device Access","Stopped","Manual"
"LASTEST03GUI","Health Key and Certificate Management","Stopped","Manual"
"LASTEST03GUI","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASTEST03GUI","IP Helper","Running","Automatic"
"LASTEST03GUI","CNG Key Isolation","Stopped","Manual"
"LASTEST03GUI","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASTEST03GUI","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASTEST03GUI","Server","Running","Automatic"
"LASTEST03GUI","Workstation","Running","Automatic"
"LASTEST03GUI","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASTEST03GUI","TCP/IP NetBIOS Helper","Running","Automatic"
"LASTEST03GUI","Local Session Manager","Running","Automatic"
"LASTEST03GUI","Multimedia Class Scheduler","Stopped","Manual"
"LASTEST03GUI","Windows Firewall","Running","Automatic"
"LASTEST03GUI","Web Deployment Agent Service","Running","Automatic"
"LASTEST03GUI","Distributed Transaction Coordinator","Running","Automatic"
"LASTEST03GUI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASTEST03GUI","Windows Installer","Stopped","Manual"
"LASTEST03GUI","Message Queuing","Running","Automatic"
"LASTEST03GUI","Network Access Protection Agent","Stopped","Manual"
"LASTEST03GUI","Network Connectivity Assistant","Stopped","Manual"
"LASTEST03GUI","Netlogon","Running","Automatic"
"LASTEST03GUI","Network Connections","Stopped","Manual"
"LASTEST03GUI","Network List Service","Running","Manual"
"LASTEST03GUI","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASTEST03GUI","Network Location Awareness","Running","Automatic"
"LASTEST03GUI","Network Store Interface Service","Running","Automatic"
"LASTEST03GUI","OracleRemExecServiceV2","Stopped","Manual"
"LASTEST03GUI","Office 64 Source Engine","Stopped","Manual"
"LASTEST03GUI","Performance Counter DLL Host","Stopped","Manual"
"LASTEST03GUI","Performance Logs & Alerts","Stopped","Manual"
"LASTEST03GUI","Plug and Play","Running","Manual"
"LASTEST03GUI","IPsec Policy Agent","Running","Manual"
"LASTEST03GUI","Power","Running","Automatic"
"LASTEST03GUI","Printer Extensions and Notifications","Stopped","Manual"
"LASTEST03GUI","User Profile Service","Running","Automatic"
"LASTEST03GUI","Remote Access Auto Connection Manager","Stopped","Manual"
"LASTEST03GUI","Remote Access Connection Manager","Stopped","Manual"
"LASTEST03GUI","Routing and Remote Access","Stopped","Disabled"
"LASTEST03GUI","Remote Registry","Stopped","Manual"
"LASTEST03GUI","RPC Endpoint Mapper","Running","Automatic"
"LASTEST03GUI","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASTEST03GUI","Remote Procedure Call (RPC)","Running","Automatic"
"LASTEST03GUI","Resultant Set of Policy Provider","Stopped","Manual"
"LASTEST03GUI","Special Administration Console Helper","Stopped","Manual"
"LASTEST03GUI","Security Accounts Manager","Running","Automatic"
"LASTEST03GUI","Smart Card","Stopped","Disabled"
"LASTEST03GUI","Task Scheduler","Running","Automatic"
"LASTEST03GUI","Smart Card Removal Policy","Stopped","Manual"
"LASTEST03GUI","Secondary Logon","Stopped","Manual"
"LASTEST03GUI","System Event Notification Service","Running","Automatic"
"LASTEST03GUI","Symantec Endpoint Protection","Running","Automatic"
"LASTEST03GUI","Remote Desktop Configuration","Running","Manual"
"LASTEST03GUI","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASTEST03GUI","Shell Hardware Detection","Stopped","Automatic"
"LASTEST03GUI","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASTEST03GUI","Symantec Network Access Control","Stopped","Manual"
"LASTEST03GUI","SNMP Service","Running","Automatic"
"LASTEST03GUI","SNMP Trap","Stopped","Manual"
"LASTEST03GUI","Print Spooler","Running","Automatic"
"LASTEST03GUI","Software Protection","Stopped","Automatic"
"LASTEST03GUI","SSDP Discovery","Stopped","Disabled"
"LASTEST03GUI","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASTEST03GUI","Spot Verifier","Stopped","Manual"
"LASTEST03GUI","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASTEST03GUI","Superfetch","Stopped","Manual"
"LASTEST03GUI","Telephony","Stopped","Manual"
"LASTEST03GUI","Remote Desktop Services","Running","Manual"
"LASTEST03GUI","Themes","Running","Automatic"
"LASTEST03GUI","Thread Ordering Server","Stopped","Manual"
"LASTEST03GUI","Track-It! Workstation Manager","Running","Automatic"
"LASTEST03GUI","Distributed Link Tracking Client","Running","Automatic"
"LASTEST03GUI","Windows Modules Installer","Stopped","Manual"
"LASTEST03GUI","User Access Logging Service","Running","Automatic"
"LASTEST03GUI","Interactive Services Detection","Stopped","Manual"
"LASTEST03GUI","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASTEST03GUI","UPnP Device Host","Stopped","Disabled"
"LASTEST03GUI","Credential Manager","Stopped","Manual"
"LASTEST03GUI","Virtual Disk","Stopped","Manual"
"LASTEST03GUI","VMware Alias Manager and Ticket Service","Running","Automatic"
"LASTEST03GUI","Hyper-V Heartbeat Service","Stopped","Manual"
"LASTEST03GUI","Hyper-V Data Exchange Service","Stopped","Manual"
"LASTEST03GUI","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"LASTEST03GUI","Hyper-V Guest Shutdown Service","Stopped","Manual"
"LASTEST03GUI","Hyper-V Time Synchronization Service","Stopped","Manual"
"LASTEST03GUI","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"LASTEST03GUI","VMware Tools","Running","Automatic"
"LASTEST03GUI","VMware Snapshot Provider","Stopped","Manual"
"LASTEST03GUI","VMware CAF AMQP Communication Service","Stopped","Manual"
"LASTEST03GUI","VMware CAF Management Agent Service","Running","Automatic"
"LASTEST03GUI","Volume Shadow Copy","Stopped","Manual"
"LASTEST03GUI","Windows Time","Running","Manual"
"LASTEST03GUI","World Wide Web Publishing Service","Running","Automatic"
"LASTEST03GUI","Windows Process Activation Service","Running","Manual"
"LASTEST03GUI","Windows Color System","Stopped","Manual"
"LASTEST03GUI","Diagnostic Service Host","Stopped","Manual"
"LASTEST03GUI","Diagnostic System Host","Stopped","Manual"
"LASTEST03GUI","Windows Event Collector","Stopped","Manual"
"LASTEST03GUI","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"LASTEST03GUI","Windows Error Reporting Service","Stopped","Manual"
"LASTEST03GUI","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"LASTEST03GUI","Windows Management Instrumentation","Running","Automatic"
"LASTEST03GUI","Windows Remote Management (WS-Management)","Running","Automatic"
"LASTEST03GUI","WMI Performance Adapter","Stopped","Manual"
"LASTEST03GUI","Portable Device Enumerator Service","Stopped","Manual"
"LASTEST03GUI","Windows Store Service (WSService)","Stopped","Manual"
"LASTEST03GUI","Windows Update","Stopped","Manual"
"LASTEST03GUI","Windows Driver Foundation - User-mode Driver Framework","Stopped","Manual"
