"MachineName","DisplayName","Status","StartType"
"LASTEST03MT","Application Experience","Stopped","Manual"
"LASTEST03MT","Application Layer Gateway Service","Stopped","Manual"
"LASTEST03MT","Windows All-User Install Agent","Stopped","Manual"
"LASTEST03MT","Application Host Helper Service","Running","Automatic"
"LASTEST03MT","Application Identity","Stopped","Manual"
"LASTEST03MT","Application Information","Stopped","Manual"
"LASTEST03MT","Application Management","Stopped","Manual"
"LASTEST03MT","ASP.NET State Service","Stopped","Manual"
"LASTEST03MT","Windows Audio Endpoint Builder","Stopped","Manual"
"LASTEST03MT","Windows Audio","Stopped","Manual"
"LASTEST03MT","Base Filtering Engine","Running","Automatic"
"LASTEST03MT","Background Intelligent Transfer Service","Stopped","Manual"
"LASTEST03MT","Background Tasks Infrastructure Service","Running","Automatic"
"LASTEST03MT","Computer Browser","Stopped","Disabled"
"LASTEST03MT","FNBM Centralized Cache Service","Running","Manual"
"LASTEST03MT","Certificate Propagation","Running","Manual"
"LASTEST03MT","CreditOne Collections Agent Time Service","Running","Manual"
"LASTEST03MT","COM+ System Application","Running","Manual"
"LASTEST03MT","CreditOne.CustomerNotifications.EmailService","Running","Manual"
"LASTEST03MT","CreditOne.CustomerNotifications.SMSService","Running","Manual"
"LASTEST03MT","CreditOne.LogParser.Service","Stopped","Disabled"
"LASTEST03MT","CreditOneBatchLetterRequestService","Running","Manual"
"LASTEST03MT","CreditOne - Email Directory Watcher Service","Stopped","Manual"
"LASTEST03MT","FNBM CreditPull Service","Running","Manual"
"LASTEST03MT","Cryptographic Services","Running","Automatic"
"LASTEST03MT","DCOM Server Process Launcher","Running","Automatic"
"LASTEST03MT","Optimize drives","Stopped","Manual"
"LASTEST03MT","Device Association Service","Stopped","Manual"
"LASTEST03MT","Device Install Service","Stopped","Manual"
"LASTEST03MT","DHCP Client","Running","Automatic"
"LASTEST03MT","DNS Client","Running","Automatic"
"LASTEST03MT","Wired AutoConfig","Stopped","Manual"
