"MachineName","DisplayName","Status","StartType"
"LASTEST03WEB","Application Experience","Stopped","Manual"
"LASTEST03WEB","Application Layer Gateway Service","Stopped","Manual"
"LASTEST03WEB","Windows All-User Install Agent","Stopped","Manual"
"LASTEST03WEB","Application Host Helper Service","Running","Automatic"
"LASTEST03WEB","Application Identity","Stopped","Manual"
"LASTEST03WEB","Application Information","Stopped","Manual"
"LASTEST03WEB","Application Management","Stopped","Manual"
"LASTEST03WEB","ASP.NET State Service","Stopped","Manual"
"LASTEST03WEB","Windows Audio Endpoint Builder","Stopped","Manual"
"LASTEST03WEB","Windows Audio","Stopped","Manual"
"LASTEST03WEB","Base Filtering Engine","Running","Automatic"
"LASTEST03WEB","Background Intelligent Transfer Service","Stopped","Manual"
"LASTEST03WEB","Background Tasks Infrastructure Service","Running","Automatic"
"LASTEST03WEB","Computer Browser","Stopped","Disabled"
"LASTEST03WEB","Certificate Propagation","Running","Manual"
"LASTEST03WEB","COM+ System Application","Running","Manual"
"LASTEST03WEB","Cryptographic Services","Running","Automatic"
"LASTEST03WEB","DCOM Server Process Launcher","Running","Automatic"
"LASTEST03WEB","Optimize drives","Stopped","Manual"
"LASTEST03WEB","Device Association Service","Stopped","Manual"
"LASTEST03WEB","Device Install Service","Stopped","Manual"
"LASTEST03WEB","DHCP Client","Running","Automatic"
"LASTEST03WEB","DNS Client","Running","Automatic"
"LASTEST03WEB","Wired AutoConfig","Stopped","Manual"
"LASTEST03WEB","Diagnostic Policy Service","Running","Automatic"
"LASTEST03WEB","Device Setup Manager","Stopped","Manual"
"LASTEST03WEB","Extensible Authentication Protocol","Stopped","Manual"
"LASTEST03WEB","Encrypting File System (EFS)","Stopped","Manual"
"LASTEST03WEB","Windows Event Log","Running","Automatic"
"LASTEST03WEB","COM+ Event System","Running","Automatic"
"LASTEST03WEB","Function Discovery Provider Host","Stopped","Manual"
"LASTEST03WEB","Function Discovery Resource Publication","Stopped","Manual"
"LASTEST03WEB","Windows Font Cache Service","Running","Automatic"
"LASTEST03WEB","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASTEST03WEB","Group Policy Client","Running","Automatic"
"LASTEST03WEB","Human Interface Device Access","Stopped","Manual"
"LASTEST03WEB","Health Key and Certificate Management","Stopped","Manual"
"LASTEST03WEB","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASTEST03WEB","IP Helper","Running","Automatic"
"LASTEST03WEB","CNG Key Isolation","Stopped","Manual"
"LASTEST03WEB","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASTEST03WEB","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASTEST03WEB","Server","Running","Automatic"
"LASTEST03WEB","Workstation","Running","Automatic"
"LASTEST03WEB","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASTEST03WEB","TCP/IP NetBIOS Helper","Running","Automatic"
"LASTEST03WEB","Local Session Manager","Running","Automatic"
"LASTEST03WEB","Multimedia Class Scheduler","Stopped","Manual"
"LASTEST03WEB","Windows Firewall","Running","Automatic"
