"MachineName","DisplayName","Status","StartType"
"LASTRN01GUI","Application Experience","Stopped","Manual"
"LASTRN01GUI","Application Layer Gateway Service","Stopped","Manual"
"LASTRN01GUI","Windows All-User Install Agent","Stopped","Manual"
"LASTRN01GUI","Application Host Helper Service","Running","Automatic"
"LASTRN01GUI","Application Identity","Stopped","Manual"
"LASTRN01GUI","Application Information","Stopped","Manual"
"LASTRN01GUI","Application Management","Stopped","Manual"
"LASTRN01GUI","ASP.NET State Service","Stopped","Manual"
"LASTRN01GUI","Windows Audio Endpoint Builder","Stopped","Manual"
"LASTRN01GUI","Windows Audio","Stopped","Manual"
"LASTRN01GUI","Base Filtering Engine","Running","Automatic"
"LASTRN01GUI","Background Intelligent Transfer Service","Stopped","Manual"
"LASTRN01GUI","Background Tasks Infrastructure Service","Running","Automatic"
"LASTRN01GUI","Computer Browser","Stopped","Disabled"
"LASTRN01GUI","Certificate Propagation","Running","Manual"
"LASTRN01GUI","COM+ System Application","Running","Manual"
"LASTRN01GUI","Cryptographic Services","Running","Automatic"
"LASTRN01GUI","DCOM Server Process Launcher","Running","Automatic"
"LASTRN01GUI","Optimize drives","Stopped","Manual"
"LASTRN01GUI","Device Association Service","Stopped","Manual"
"LASTRN01GUI","Device Install Service","Stopped","Manual"
"LASTRN01GUI","DHCP Client","Running","Automatic"
"LASTRN01GUI","DNS Client","Running","Automatic"
"LASTRN01GUI","Wired AutoConfig","Stopped","Manual"
"LASTRN01GUI","Diagnostic Policy Service","Running","Automatic"
"LASTRN01GUI","Device Setup Manager","Stopped","Manual"
"LASTRN01GUI","Extensible Authentication Protocol","Stopped","Manual"
"LASTRN01GUI","Encrypting File System (EFS)","Stopped","Manual"
"LASTRN01GUI","Windows Event Log","Running","Automatic"
"LASTRN01GUI","COM+ Event System","Running","Automatic"
"LASTRN01GUI","Function Discovery Provider Host","Stopped","Manual"
"LASTRN01GUI","Function Discovery Resource Publication","Stopped","Manual"
"LASTRN01GUI","Windows Font Cache Service","Running","Automatic"
"LASTRN01GUI","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASTRN01GUI","Group Policy Client","Running","Automatic"
"LASTRN01GUI","Human Interface Device Access","Stopped","Manual"
"LASTRN01GUI","Health Key and Certificate Management","Stopped","Manual"
"LASTRN01GUI","IIS Admin Service","Running","Automatic"
