"MachineName","DisplayName","Status","StartType"
"LASTRN01MT","Application Experience","Stopped","Manual"
"LASTRN01MT","Application Layer Gateway Service","Stopped","Manual"
"LASTRN01MT","Windows All-User Install Agent","Stopped","Manual"
"LASTRN01MT","Application Host Helper Service","Running","Automatic"
"LASTRN01MT","Application Identity","Stopped","Manual"
"LASTRN01MT","Application Information","Running","Manual"
"LASTRN01MT","Application Management","Stopped","Manual"
"LASTRN01MT","ASP.NET State Service","Stopped","Manual"
"LASTRN01MT","Windows Audio Endpoint Builder","Stopped","Manual"
"LASTRN01MT","Windows Audio","Stopped","Manual"
"LASTRN01MT","Base Filtering Engine","Running","Automatic"
"LASTRN01MT","Background Intelligent Transfer Service","Stopped","Manual"
"LASTRN01MT","Background Tasks Infrastructure Service","Running","Automatic"
"LASTRN01MT","Computer Browser","Stopped","Disabled"
"LASTRN01MT","FNBM Centralized Cache Service","Running","Manual"
"LASTRN01MT","Certificate Propagation","Running","Manual"
"LASTRN01MT","CreditOne Collections Agent Time Service","Running","Manual"
"LASTRN01MT","COM+ System Application","Running","Manual"
"LASTRN01MT","CreditOne.CustomerNotifications.EmailService","Stopped","Manual"
"LASTRN01MT","CreditOne.CustomerNotifications.SMSService","Stopped","Manual"
"LASTRN01MT","CreditOne.LogParser.Service","Stopped","Disabled"
"LASTRN01MT","CreditOneBatchLetterRequestService","Running","Manual"
"LASTRN01MT","CreditOne - Email Directory Watcher Service","Stopped","Manual"
"LASTRN01MT","FNBM CreditPull Service","Running","Manual"
"LASTRN01MT","Cryptographic Services","Running","Automatic"
"LASTRN01MT","DCOM Server Process Launcher","Running","Automatic"
"LASTRN01MT","Optimize drives","Stopped","Manual"
"LASTRN01MT","Device Association Service","Stopped","Manual"
"LASTRN01MT","Device Install Service","Stopped","Manual"
"LASTRN01MT","DHCP Client","Running","Automatic"
"LASTRN01MT","DNS Client","Running","Automatic"
"LASTRN01MT","Wired AutoConfig","Stopped","Manual"
"LASTRN01MT","Diagnostic Policy Service","Running","Automatic"
"LASTRN01MT","Device Setup Manager","Stopped","Manual"
"LASTRN01MT","Extensible Authentication Protocol","Stopped","Manual"
"LASTRN01MT","Encrypting File System (EFS)","Stopped","Manual"
"LASTRN01MT","Windows Event Log","Running","Automatic"
"LASTRN01MT","COM+ Event System","Running","Automatic"
"LASTRN01MT","Function Discovery Provider Host","Stopped","Manual"
"LASTRN01MT","Function Discovery Resource Publication","Stopped","Manual"
"LASTRN01MT","FNBM Outgoing File Watcher Service","Stopped","Manual"
"LASTRN01MT","FNBM Application Import Service","Running","Manual"
"LASTRN01MT","FNBM Application Parsing Service","Running","Manual"
"LASTRN01MT","FNBM Application Processing Service","Running","Manual"
"LASTRN01MT","FNBMCheckRequestService","Running","Manual"
"LASTRN01MT","FNBM Data Layer Service","Running","Manual"
"LASTRN01MT","FNBM Debit Card Holder File Watcher Service","Stopped","Disabled"
"LASTRN01MT","FNBMFinCenService","Running","Manual"
"LASTRN01MT","FNBM Identity Check Service","Stopped","Disabled"
"LASTRN01MT","FNBM IP Fraud Check Service","Running","Manual"
"LASTRN01MT","FNBMLPSService","Running","Manual"
"LASTRN01MT","FNBMQueueProcessorService","Running","Manual"
"LASTRN01MT","Windows Font Cache Service","Running","Automatic"
"LASTRN01MT","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASTRN01MT","FromPPSExchangeFileWatcherService","Running","Manual"
"LASTRN01MT","Group Policy Client","Running","Automatic"
"LASTRN01MT","Human Interface Device Access","Stopped","Manual"
"LASTRN01MT","Health Key and Certificate Management","Stopped","Manual"
"LASTRN01MT","IIS Admin Service","Running","Automatic"
"LASTRN01MT","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASTRN01MT","IP Helper","Running","Automatic"
"LASTRN01MT","CNG Key Isolation","Stopped","Manual"
"LASTRN01MT","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASTRN01MT","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASTRN01MT","Server","Running","Automatic"
"LASTRN01MT","Workstation","Running","Automatic"
"LASTRN01MT","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASTRN01MT","TCP/IP NetBIOS Helper","Running","Automatic"
"LASTRN01MT","Local Session Manager","Running","Automatic"
"LASTRN01MT","Multimedia Class Scheduler","Stopped","Manual"
"LASTRN01MT","Windows Firewall","Running","Automatic"
"LASTRN01MT","Web Deployment Agent Service","Running","Automatic"
"LASTRN01MT","Distributed Transaction Coordinator","Running","Automatic"
"LASTRN01MT","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASTRN01MT","Windows Installer","Stopped","Manual"
"LASTRN01MT","Message Queuing","Running","Automatic"
"LASTRN01MT","Network Access Protection Agent","Stopped","Manual"
"LASTRN01MT","Network Connectivity Assistant","Stopped","Manual"
"LASTRN01MT","Netlogon","Running","Automatic"
"LASTRN01MT","Network Connections","Stopped","Manual"
"LASTRN01MT","Network List Service","Running","Manual"
"LASTRN01MT","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASTRN01MT","Network Location Awareness","Running","Automatic"
"LASTRN01MT","Network Store Interface Service","Running","Automatic"
"LASTRN01MT","OracleMTSRecoveryService","Stopped","Automatic"
"LASTRN01MT","OracleRemExecServiceV2","Stopped","Manual"
"LASTRN01MT","Performance Counter DLL Host","Stopped","Manual"
"LASTRN01MT","Performance Logs & Alerts","Stopped","Manual"
"LASTRN01MT","Plug and Play","Running","Manual"
"LASTRN01MT","IPsec Policy Agent","Running","Manual"
"LASTRN01MT","Power","Running","Automatic"
"LASTRN01MT","Printer Extensions and Notifications","Stopped","Manual"
"LASTRN01MT","User Profile Service","Running","Automatic"
"LASTRN01MT","Remote Access Auto Connection Manager","Stopped","Manual"
"LASTRN01MT","Remote Access Connection Manager","Stopped","Manual"
"LASTRN01MT","Routing and Remote Access","Stopped","Disabled"
"LASTRN01MT","Remote Registry","Stopped","Manual"
"LASTRN01MT","RPC Endpoint Mapper","Running","Automatic"
"LASTRN01MT","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASTRN01MT","Remote Procedure Call (RPC)","Running","Automatic"
"LASTRN01MT","Resultant Set of Policy Provider","Stopped","Manual"
"LASTRN01MT","Special Administration Console Helper","Stopped","Manual"
"LASTRN01MT","Security Accounts Manager","Running","Automatic"
"LASTRN01MT","Smart Card","Stopped","Disabled"
"LASTRN01MT","Task Scheduler","Running","Automatic"
"LASTRN01MT","Smart Card Removal Policy","Stopped","Manual"
"LASTRN01MT","Secondary Logon","Stopped","Manual"
"LASTRN01MT","System Event Notification Service","Running","Automatic"
"LASTRN01MT","Symantec Endpoint Protection","Running","Automatic"
"LASTRN01MT","Remote Desktop Configuration","Running","Manual"
"LASTRN01MT","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASTRN01MT","Shell Hardware Detection","Running","Automatic"
"LASTRN01MT","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASTRN01MT","Symantec Network Access Control","Stopped","Manual"
"LASTRN01MT","SNMP Service","Running","Automatic"
"LASTRN01MT","SNMP Trap","Stopped","Manual"
"LASTRN01MT","Print Spooler","Running","Automatic"
"LASTRN01MT","Software Protection","Stopped","Automatic"
"LASTRN01MT","SSDP Discovery","Stopped","Disabled"
"LASTRN01MT","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASTRN01MT","Spot Verifier","Stopped","Manual"
"LASTRN01MT","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASTRN01MT","Superfetch","Stopped","Manual"
"LASTRN01MT","Telephony","Stopped","Manual"
"LASTRN01MT","Remote Desktop Services","Running","Manual"
"LASTRN01MT","Themes","Running","Automatic"
"LASTRN01MT","Thread Ordering Server","Stopped","Manual"
"LASTRN01MT","Track-It! Workstation Manager","Running","Automatic"
"LASTRN01MT","Distributed Link Tracking Client","Running","Automatic"
"LASTRN01MT","Windows Modules Installer","Stopped","Manual"
"LASTRN01MT","User Access Logging Service","Running","Automatic"
"LASTRN01MT","Interactive Services Detection","Stopped","Manual"
"LASTRN01MT","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"LASTRN01MT","UPnP Device Host","Stopped","Disabled"
"LASTRN01MT","FNBM Validation Trigger Watcher","Stopped","Manual"
"LASTRN01MT","Credential Manager","Stopped","Manual"
"LASTRN01MT","Virtual Disk","Stopped","Manual"
"LASTRN01MT","VMware Alias Manager and Ticket Service","Running","Automatic"
"LASTRN01MT","Hyper-V Heartbeat Service","Stopped","Manual"
"LASTRN01MT","Hyper-V Data Exchange Service","Stopped","Manual"
"LASTRN01MT","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"LASTRN01MT","Hyper-V Guest Shutdown Service","Stopped","Manual"
"LASTRN01MT","Hyper-V Time Synchronization Service","Stopped","Manual"
"LASTRN01MT","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"LASTRN01MT","VMware Tools","Running","Automatic"
"LASTRN01MT","VMware Snapshot Provider","Stopped","Manual"
"LASTRN01MT","VMware Physical Disk Helper Service","Running","Automatic"
"LASTRN01MT","VMware CAF AMQP Communication Service","Stopped","Manual"
"LASTRN01MT","VMware CAF Management Agent Service","Running","Automatic"
"LASTRN01MT","Volume Shadow Copy","Stopped","Manual"
"LASTRN01MT","Windows Time","Running","Manual"
"LASTRN01MT","World Wide Web Publishing Service","Running","Automatic"
"LASTRN01MT","Windows Process Activation Service","Running","Manual"
"LASTRN01MT","Windows Color System","Stopped","Manual"
"LASTRN01MT","Diagnostic Service Host","Stopped","Manual"
"LASTRN01MT","Diagnostic System Host","Stopped","Manual"
"LASTRN01MT","Windows Event Collector","Stopped","Manual"
"LASTRN01MT","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"LASTRN01MT","Windows Error Reporting Service","Stopped","Manual"
"LASTRN01MT","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"LASTRN01MT","Windows Management Instrumentation","Running","Automatic"
"LASTRN01MT","Windows Remote Management (WS-Management)","Running","Automatic"
"LASTRN01MT","WMI Performance Adapter","Stopped","Manual"
"LASTRN01MT","Web Management Service","Running","Automatic"
"LASTRN01MT","Portable Device Enumerator Service","Stopped","Manual"
"LASTRN01MT","Windows Store Service (WSService)","Stopped","Manual"
"LASTRN01MT","Windows Update","Stopped","Manual"
"LASTRN01MT","Windows Driver Foundation - User-mode Driver Framework","Stopped","Manual"
