"MachineName","DisplayName","Status","StartType"
"LASTRN01WEB","Application Experience","Stopped","Manual"
"LASTRN01WEB","Application Layer Gateway Service","Stopped","Manual"
"LASTRN01WEB","Windows All-User Install Agent","Stopped","Manual"
"LASTRN01WEB","Application Host Helper Service","Running","Automatic"
"LASTRN01WEB","Application Identity","Stopped","Manual"
"LASTRN01WEB","Application Information","Stopped","Manual"
"LASTRN01WEB","Application Management","Stopped","Manual"
"LASTRN01WEB","ASP.NET State Service","Stopped","Manual"
"LASTRN01WEB","Windows Audio Endpoint Builder","Stopped","Manual"
"LASTRN01WEB","Windows Audio","Stopped","Manual"
"LASTRN01WEB","Base Filtering Engine","Running","Automatic"
"LASTRN01WEB","Background Intelligent Transfer Service","Stopped","Manual"
"LASTRN01WEB","Background Tasks Infrastructure Service","Running","Automatic"
"LASTRN01WEB","Computer Browser","Stopped","Disabled"
"LASTRN01WEB","Certificate Propagation","Running","Manual"
"LASTRN01WEB","COM+ System Application","Running","Manual"
"LASTRN01WEB","Cryptographic Services","Running","Automatic"
"LASTRN01WEB","DCOM Server Process Launcher","Running","Automatic"
"LASTRN01WEB","Optimize drives","Stopped","Manual"
"LASTRN01WEB","Device Association Service","Stopped","Manual"
"LASTRN01WEB","Device Install Service","Stopped","Manual"
"LASTRN01WEB","DHCP Client","Running","Automatic"
"LASTRN01WEB","DNS Client","Running","Automatic"
"LASTRN01WEB","Wired AutoConfig","Stopped","Manual"
"LASTRN01WEB","Diagnostic Policy Service","Running","Automatic"
"LASTRN01WEB","Device Setup Manager","Stopped","Manual"
"LASTRN01WEB","Extensible Authentication Protocol","Stopped","Manual"
"LASTRN01WEB","Encrypting File System (EFS)","Stopped","Manual"
"LASTRN01WEB","Windows Event Log","Running","Automatic"
"LASTRN01WEB","COM+ Event System","Running","Automatic"
"LASTRN01WEB","Function Discovery Provider Host","Stopped","Manual"
"LASTRN01WEB","Function Discovery Resource Publication","Stopped","Manual"
"LASTRN01WEB","Windows Font Cache Service","Running","Automatic"
"LASTRN01WEB","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASTRN01WEB","Group Policy Client","Running","Automatic"
"LASTRN01WEB","Human Interface Device Access","Stopped","Manual"
"LASTRN01WEB","Health Key and Certificate Management","Stopped","Manual"
"LASTRN01WEB","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASTRN01WEB","IP Helper","Running","Automatic"
"LASTRN01WEB","CNG Key Isolation","Stopped","Manual"
"LASTRN01WEB","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASTRN01WEB","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASTRN01WEB","Server","Running","Automatic"
"LASTRN01WEB","Workstation","Running","Automatic"
"LASTRN01WEB","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASTRN01WEB","TCP/IP NetBIOS Helper","Running","Automatic"
"LASTRN01WEB","Local Session Manager","Running","Automatic"
"LASTRN01WEB","Multimedia Class Scheduler","Stopped","Manual"
"LASTRN01WEB","Windows Firewall","Running","Automatic"
"LASTRN01WEB","Web Deployment Agent Service","Running","Automatic"
"LASTRN01WEB","Distributed Transaction Coordinator","Running","Automatic"
"LASTRN01WEB","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASTRN01WEB","Windows Installer","Stopped","Manual"
"LASTRN01WEB","Network Access Protection Agent","Stopped","Manual"
"LASTRN01WEB","Network Connectivity Assistant","Stopped","Manual"
"LASTRN01WEB","Netlogon","Running","Automatic"
"LASTRN01WEB","Network Connections","Stopped","Manual"
"LASTRN01WEB","Network List Service","Running","Manual"
"LASTRN01WEB","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASTRN01WEB","Network Location Awareness","Running","Automatic"
"LASTRN01WEB","Network Store Interface Service","Running","Automatic"
"LASTRN01WEB","Performance Counter DLL Host","Stopped","Manual"
"LASTRN01WEB","Performance Logs & Alerts","Stopped","Manual"
"LASTRN01WEB","Plug and Play","Running","Manual"
"LASTRN01WEB","IPsec Policy Agent","Running","Manual"
"LASTRN01WEB","Power","Running","Automatic"
"LASTRN01WEB","Printer Extensions and Notifications","Stopped","Manual"
"LASTRN01WEB","User Profile Service","Running","Automatic"
"LASTRN01WEB","Remote Access Auto Connection Manager","Stopped","Manual"
"LASTRN01WEB","Remote Access Connection Manager","Stopped","Manual"
"LASTRN01WEB","Routing and Remote Access","Stopped","Disabled"
"LASTRN01WEB","Remote Registry","Stopped","Manual"
"LASTRN01WEB","RPC Endpoint Mapper","Running","Automatic"
"LASTRN01WEB","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASTRN01WEB","Remote Procedure Call (RPC)","Running","Automatic"
"LASTRN01WEB","Resultant Set of Policy Provider","Stopped","Manual"
"LASTRN01WEB","Special Administration Console Helper","Stopped","Manual"
"LASTRN01WEB","Security Accounts Manager","Running","Automatic"
"LASTRN01WEB","Smart Card","Stopped","Disabled"
"LASTRN01WEB","Task Scheduler","Running","Automatic"
"LASTRN01WEB","Smart Card Removal Policy","Stopped","Manual"
"LASTRN01WEB","Secondary Logon","Stopped","Manual"
"LASTRN01WEB","System Event Notification Service","Running","Automatic"
"LASTRN01WEB","Remote Desktop Configuration","Running","Manual"
"LASTRN01WEB","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASTRN01WEB","Shell Hardware Detection","Stopped","Automatic"
"LASTRN01WEB","SNMP Service","Running","Automatic"
"LASTRN01WEB","SNMP Trap","Stopped","Manual"
"LASTRN01WEB","Print Spooler","Running","Automatic"
"LASTRN01WEB","Software Protection","Stopped","Automatic"
"LASTRN01WEB","SSDP Discovery","Stopped","Disabled"
"LASTRN01WEB","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASTRN01WEB","Spot Verifier","Stopped","Manual"
"LASTRN01WEB","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"LASTRN01WEB","Superfetch","Stopped","Manual"
