"MachineName","DisplayName","Status","StartType"
"LASWEB02","Emsisoft Protection Service","Stopped","Disabled"
"LASWEB02","Application Experience","Stopped","Manual"
"LASWEB02","Application Layer Gateway Service","Stopped","Manual"
"LASWEB02","Application Host Helper Service","Running","Automatic"
"LASWEB02","Application Identity","Stopped","Manual"
"LASWEB02","Application Information","Running","Manual"
"LASWEB02","Application Management","Stopped","Manual"
"LASWEB02","App Readiness","Stopped","Manual"
"LASWEB02","AppX Deployment Service (AppXSVC)","Stopped","Manual"
"LASWEB02","ASP.NET State Service","Stopped","Manual"
"LASWEB02","Windows Audio Endpoint Builder","Stopped","Manual"
"LASWEB02","Windows Audio","Stopped","Manual"
"LASWEB02","Base Filtering Engine","Running","Automatic"
"LASWEB02","Background Intelligent Transfer Service","Stopped","Manual"
"LASWEB02","Background Tasks Infrastructure Service","Running","Automatic"
"LASWEB02","Computer Browser","Stopped","Disabled"
"LASWEB02","Certificate Propagation","Running","Manual"
"LASWEB02","COM+ System Application","Running","Manual"
"LASWEB02","Cryptographic Services","Running","Automatic"
"LASWEB02","DCOM Server Process Launcher","Running","Automatic"
"LASWEB02","Optimize drives","Stopped","Manual"
"LASWEB02","Device Association Service","Stopped","Manual"
"LASWEB02","Device Install Service","Stopped","Manual"
"LASWEB02","DHCP Client","Running","Automatic"
"LASWEB02","Diagnostics Tracking Service","Running","Automatic"
"LASWEB02","DNS Client","Running","Automatic"
"LASWEB02","Wired AutoConfig","Stopped","Manual"
"LASWEB02","Diagnostic Policy Service","Running","Automatic"
"LASWEB02","Device Setup Manager","Stopped","Manual"
"LASWEB02","Extensible Authentication Protocol","Stopped","Manual"
"LASWEB02","Encrypting File System (EFS)","Stopped","Manual"
"LASWEB02","Windows Event Log","Running","Automatic"
"LASWEB02","COM+ Event System","Running","Automatic"
"LASWEB02","Function Discovery Provider Host","Stopped","Manual"
"LASWEB02","Function Discovery Resource Publication","Stopped","Manual"
"LASWEB02","Windows Font Cache Service","Running","Automatic"
"LASWEB02","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual"
"LASWEB02","Group Policy Client","Running","Automatic"
"LASWEB02","Commvault Client Manager Service (Instance001)","Running","Automatic"
"LASWEB02","Commvault Communications Service (Instance001)","Running","Automatic"
"LASWEB02","Human Interface Device Service","Stopped","Manual"
"LASWEB02","Health Key and Certificate Management","Stopped","Manual"
"LASWEB02","Internet Explorer ETW Collector Service","Stopped","Manual"
"LASWEB02","IIS Admin Service","Running","Automatic"
"LASWEB02","IKE and AuthIP IPsec Keying Modules","Running","Automatic"
"LASWEB02","IP Helper","Running","Automatic"
"LASWEB02","CNG Key Isolation","Stopped","Manual"
"LASWEB02","KDC Proxy Server service (KPS)","Stopped","Manual"
"LASWEB02","KtmRm for Distributed Transaction Coordinator","Stopped","Manual"
"LASWEB02","Server","Running","Automatic"
"LASWEB02","Workstation","Running","Automatic"
"LASWEB02","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"LASWEB02","TCP/IP NetBIOS Helper","Running","Automatic"
"LASWEB02","Local Session Manager","Running","Automatic"
"LASWEB02","Multimedia Class Scheduler","Stopped","Manual"
"LASWEB02","Windows Firewall","Running","Automatic"
"LASWEB02","Web Deployment Agent Service","Running","Automatic"
"LASWEB02","Distributed Transaction Coordinator","Running","Automatic"
"LASWEB02","Microsoft iSCSI Initiator Service","Stopped","Manual"
"LASWEB02","Windows Installer","Stopped","Manual"
"LASWEB02","Network Access Protection Agent","Stopped","Manual"
"LASWEB02","Network Connectivity Assistant","Stopped","Manual"
"LASWEB02","Netlogon","Running","Automatic"
"LASWEB02","Network Connections","Stopped","Manual"
"LASWEB02","Network List Service","Running","Manual"
"LASWEB02","Net.Tcp Port Sharing Service","Stopped","Disabled"
"LASWEB02","Network Location Awareness","Running","Automatic"
"LASWEB02","Network Store Interface Service","Running","Automatic"
"LASWEB02","Performance Counter DLL Host","Stopped","Manual"
"LASWEB02","Performance Logs & Alerts","Stopped","Manual"
"LASWEB02","Plug and Play","Running","Manual"
"LASWEB02","IPsec Policy Agent","Running","Manual"
"LASWEB02","Power","Running","Automatic"
"LASWEB02","Printer Extensions and Notifications","Stopped","Manual"
"LASWEB02","User Profile Service","Running","Automatic"
"LASWEB02","Remote Access Auto Connection Manager","Stopped","Manual"
"LASWEB02","Remote Access Connection Manager","Stopped","Manual"
"LASWEB02","Routing and Remote Access","Stopped","Disabled"
"LASWEB02","Remote Registry","Running","Manual"
"LASWEB02","RPC Endpoint Mapper","Running","Automatic"
"LASWEB02","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"LASWEB02","Remote Procedure Call (RPC)","Running","Automatic"
"LASWEB02","Resultant Set of Policy Provider","Stopped","Manual"
"LASWEB02","SA SFTP Agent","Running","Automatic"
"LASWEB02","Special Administration Console Helper","Stopped","Manual"
"LASWEB02","Security Accounts Manager","Running","Automatic"
"LASWEB02","Smart Card","Stopped","Disabled"
"LASWEB02","Smart Card Device Enumeration Service","Stopped","Manual"
"LASWEB02","Task Scheduler","Running","Automatic"
"LASWEB02","Smart Card Removal Policy","Stopped","Manual"
"LASWEB02","Secondary Logon","Stopped","Manual"
"LASWEB02","System Event Notification Service","Running","Automatic"
"LASWEB02","Symantec Endpoint Protection","Running","Automatic"
"LASWEB02","Remote Desktop Configuration","Running","Manual"
"LASWEB02","Internet Connection Sharing (ICS)","Stopped","Disabled"
"LASWEB02","Shell Hardware Detection","Running","Automatic"
"LASWEB02","Symantec Auto-upgrade Agent","Stopped","Manual"
"LASWEB02","Microsoft Storage Spaces SMP","Stopped","Manual"
"LASWEB02","Symantec Network Access Control","Stopped","Manual"
"LASWEB02","SNMP Service","Running","Automatic"
"LASWEB02","SNMP Trap","Stopped","Manual"
"LASWEB02","Print Spooler","Running","Automatic"
"LASWEB02","Software Protection","Stopped","Automatic"
"LASWEB02","SSDP Discovery","Stopped","Disabled"
"LASWEB02","Secure Socket Tunneling Protocol Service","Stopped","Manual"
"LASWEB02","Spot Verifier","Stopped","Manual"
