"Path","InstanceName","CookedValue","RawValue","SecondValue","MultipleCount","CounterType","Timestamp","Timestamp100NSec","Status","DefaultScale","TimeBase"
"\\lasmt01\\tcpv4\connections established",,"109","109","0","1","NumberOfItems32","9/27/2018 3:29:24 PM","131825357647860000","0","0","2536125"
"\\lasmt01\\web service(_total)\current connections","_total","9","9","0","1","NumberOfItems32","9/27/2018 3:29:24 PM","131825357647860000","0","0","2536125"
"\\lasmt01\\asp.net\requests queued",,"0","0","0","1","NumberOfItems32","9/27/2018 3:29:24 PM","131825357647860000","0","4294967295","2536125"
"\\lasmt01\\memory\available mbytes",,"11438","11438","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","0","2536125"
"\\lasmt01\\processor(_total)\% processor time","_total","57.4218391224808","2416184087260","131825609647864015","1","Timer100NsInverse","9/27/2018 3:29:24 PM","131825357647860000","0","0","10000000"
"\\lasmt01\\process(idle)\working set","idle","20480","20480","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(system)\working set","system","315392","315392","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(smss)\working set","smss","1007616","1007616","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(csrss#1)\working set","csrss","3375104","3375104","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wininit)\working set","wininit","3792896","3792896","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(services)\working set","services","13631488","13631488","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(lsass)\working set","lsass","19345408","19345408","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#11)\working set","svchost","5341184","5341184","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(vmacthlp)\working set","vmacthlp","4460544","4460544","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#10)\working set","svchost","19001344","19001344","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#9)\working set","svchost","10350592","10350592","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#8)\working set","svchost","13639680","13639680","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#7)\working set","svchost","8626176","8626176","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#6)\working set","svchost","12615680","12615680","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#5)\working set","svchost","27303936","27303936","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(spoolsv)\working set","spoolsv","15335424","15335424","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(appdynamics.coordinator)\working set","appdynamics.coordinator","71917568","71917568","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#4)\working set","svchost","22921216","22921216","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(msdepsvc)\working set","msdepsvc","17297408","17297408","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(ccsvchst)\working set","ccsvchst","38727680","38727680","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(snmp)\working set","snmp","8445952","8445952","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(tiremoteservice)\working set","tiremoteservice","6930432","6930432","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#3)\working set","svchost","49954816","49954816","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(vgauthservice)\working set","vgauthservice","11276288","11276288","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(vmtoolsd)\working set","vmtoolsd","23322624","23322624","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(managementagenthost)\working set","managementagenthost","10665984","10665984","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#2)\working set","svchost","48193536","48193536","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wmiprvse#5)\working set","wmiprvse","9216000","9216000","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(unsecapp)\working set","unsecapp","5263360","5263360","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wmiprvse#4)\working set","wmiprvse","14426112","14426112","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost#1)\working set","svchost","9543680","9543680","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wmiprvse#3)\working set","wmiprvse","14614528","14614528","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(svchost)\working set","svchost","11034624","11034624","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(dllhost)\working set","dllhost","11743232","11743232","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wmiprvse#2)\working set","wmiprvse","34013184","34013184","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(msdtc)\working set","msdtc","8200192","8200192","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wmiprvse#1)\working set","wmiprvse","32292864","32292864","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(csrss)\working set","csrss","4411392","4411392","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(winlogon)\working set","winlogon","5038080","5038080","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(logonui)\working set","logonui","36814848","36814848","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(dwm)\working set","dwm","54030336","54030336","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(w3wp#3)\working set","w3wp","531902464","531902464","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(datalayerservice)\working set","datalayerservice","727048192","727048192","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(alachisoft.ncache.service)\working set","alachisoft.ncache.service","177672192","177672192","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(w3wp#2)\working set","w3wp","11722752","11722752","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(w3wp#1)\working set","w3wp","312430592","312430592","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
"\\lasmt01\\process(wmiapsrv)\working set","wmiapsrv","7733248","7733248","0","1","NumberOfItems64","9/27/2018 3:29:24 PM","131825357647860000","0","4294967291","2536125"
