#TYPE System.Management.Automation.PSCustomObject
"Server","Caption","Discription","FreeSpace","Size"
"LASEXCAS01","C:","","219037413376","299965394944"
"LASEXCAS02","C:","","226236837888","299965394944"
"LASEXDB01","C:","","162582945792","299965394944"
"LASEXDB01","D:","","744600739840","2999526092800"
"LASEXDB02","C:","","221046194176","299965394944"
"LASEXDB02","D:","","533265829888","2999526092800"
"LASEXCH01","C:","","44289908736","241221758976"
"LASEXCH01","D:","","38834733056","2198956146688"
"LASEXCH01","E:","","894505582592","989520199680"
"LASEXCH01","F:","","3982465236992","4068005117952"
"LASEXCH03","C:","","38162247680","241221758976"
"LASEXCH03","D:","","231140360192","2188017401856"
"LASEXCH03","E:","","853398585344","989520199680"
"LASEXCH03","F:","","3787612618752","3972643422208"
"LASEXCH02","C:","","28717281280","241221758976"
"LASEXCH02","D:","","146528993280","2188017401856"
"LASEXCH02","E:","","888689786880","989520199680"
"LASEXCH02","F:","","4045845757952","4068005117952"
"LASEXCH04","C:","","55805702144","321753444352"
"LASEXCH04","D:","","71740424192","2188017401856"
"LASEXCH04","E:","","909984268288","989520199680"
"LASEXCH04","F:","","3887844622336","3972643422208"
