#TYPE System.Management.Automation.PSCustomObject
"ServerName","Name","MailboxCount"
"LASEXDB01","System Databases","1"
"LASEXDB01","Executive","0"
"LASEXDB01","Standard-01","0"
"LASEXDB01","Standard-02","0"
"LASEXDB02","Standard-03","1"
"LASEXDB01","Standard-05","0"
"LASEXDB01","Large-01","0"
"LASEXDB01","Large-02","0"
"LASEXDB01","Large-03","0"
"LASEXDB01","Large-04","0"
"LASEXDB01","Standard-04","1"
"LASEXDB01","Group-01","0"
"LASEXDB01","Legal","0"
"LASEXCH01","LASEXCH01DB01","0"
"LASEXCH03","LASEXCH03DB01","0"
"LASEXCH02","LASEXCH02DB01","0"
"LASEXCH01","Executive-01-16","14"
"LASEXCH01","Standard-01-16","79"
"LASEXCH04","Standard-02-16","79"
"LASEXCH02","Standard-03-16","80"
"LASEXCH01","Standard-04-16","81"
"LASEXCH04","Standard-05-16","90"
"LASEXCH03","Large-01-16","20"
"LASEXCH02","Large-02-16","24"
"LASEXCH01","Large-03-16","27"
"LASEXCH03","Large-04-16","29"
"LASEXCH02","Standard-06-16","102"
"LASEXCH01","Standard-07-16","101"
"LASEXCH03","Standard-08-16","140"
"LASEXCH01","Legal-01-16","2"
"LASEXCH02","Group-01-16","22"
"LASEXCH03","Executive-02-16","13"
"LASEXCH03","TESTDB","0"
"LASEXDB02","LASEXDB02-PFDB","1"
"LASEXDB01","LASEXDB01-PFDB","1"
"LASEXCH03","Disabled-01-16","102"
"LASEXCH02","Rooms-01-16","3"
"LASEXCH03","Rooms-02-16","3"
"LASEXCH03","Resource-01-16","93"
"LASEXCH02","Standard-Onboard","14"
"LASEXCH03","Large-Onboard","5"
"LASEXCH02","Resource-02-16","58"
"LASEXCH04","Mailbox Database 0514477962","0"
"LASEXCH04","Standard-09-16","69"
"LASEXCH01","Executive-03-16","0"
"LASEXCH04","Standard-11-16","2"
"LASEXCH04","Large-05-16","0"
"LASEXCH04","Standard-10-16","0"
"LASEXCH04","Large-06-16","0"
"LASEXCH01","Standard16-01","1"
"LASEXCH02","Standard16-02","0"
"LASEXCH03","Standard16-03","0"
"LASEXCH04","Standard16-04","0"
"LASEXCH01","Standard16-05","0"
"LASEXCH02","Standard16-06","0"
"LASEXCH03","Standard16-07","0"
"LASEXCH04","Standard16-08","0"
"LASEXCH01","Standard16-09","0"
"LASEXCH02","Standard16-10","0"
"LASEXCH03","Standard16-11","0"
"LASEXCH01","Group16-01","0"
