#TYPE System.Management.Automation.PSCustomObject
"Identity","RemoteIPRanges"
"LASEXCAS01\Default LASEXCAS01","0.0.0.0-255.255.255.255"
"LASEXCAS01\Client LASEXCAS01","0.0.0.0-255.255.255.255"
"LASEXCAS02\Default LASEXCAS02","0.0.0.0-255.255.255.255"
"LASEXCAS02\Client LASEXCAS02","0.0.0.0-255.255.255.255"
"LASEXCAS01\Outbound Relay Connector LASEXCAS01","192.168.11.141 192.168.11.142 192.168.64.86 192.168.18.51 192.168.11.225 192.168.18.62 192.168.18.69 172.31.244.0/24 192.168.30.206 192.168.11.72 192.168.11.67 192.168.11.25 192.168.11.69 192.168.11.68 192.168.11.71 192.168.30.216 192.168.30.250 192.168.30.201 192.168.30.202 192.168.30.203 192.168.30.204 192.168.30.205 192.168.30.211 192.168.30.213 192.168.30.215 192.168.30.212 147.61.233.238 147.61.233.237 147.61.233.239 147.61.233.234 147.61.233.249 147.61.233.246 147.61.233.245 147.61.233.103 147.61.233.36 192.168.40.0/24 192.168.11.44 192.168.99.0/24 147.61.233.235 192.168.11.32"
"LASEXCAS02\Outbound Relay Connector LASEXCAS02","192.168.11.141 192.168.11.142 192.168.64.86 192.168.18.51 192.168.11.225 192.168.18.62 192.168.18.69 172.31.244.0/24 192.168.30.206 192.168.11.72 192.168.11.67 192.168.11.25 192.168.11.69 192.168.11.71 192.168.11.68 192.168.30.204 192.168.30.212 192.168.30.250 192.168.30.201 192.168.30.202 192.168.30.203 192.168.30.205 192.168.30.216 192.168.30.215 192.168.30.213 192.168.30.211 147.61.233.238 147.61.233.237 147.61.233.239 147.61.233.234 147.61.233.249 147.61.233.246 147.61.233.245 147.61.233.103 147.61.233.36 192.168.40.0/24 192.168.11.44 192.168.99.0/24 147.61.233.235 192.168.11.32"
"LASEXCAS01\Inbound Relay Connector LASEXCAS01","10.100.99.248 172.31.98.142 172.31.98.141 192.168.99.21 192.168.99.22 10.100.20.130 10.100.29.20-10.100.29.25 192.168.30.181-192.168.30.185 10.100.29.51-10.100.29.55 10.100.99.245 10.100.20.4 10.100.20.6 10.100.20.1 10.100.20.2 10.100.20.3 10.100.20.5 192.168.99.202 172.31.244.3 172.31.244.6 172.31.244.7 172.31.246.3 172.31.246.6 172.31.246.2 172.31.246.7 172.31.244.2 192.168.64.92 192.168.11.61 192.168.30.174 192.168.30.160 192.168.64.156 192.168.64.157 192.168.64.158 192.168.64.159 192.168.64.160 192.168.64.161 192.168.64.155 192.168.30.172 192.168.30.173 192.168.30.175 192.168.30.171 192.168.11.60 172.31.240.202 172.31.240.201 172.31.240.10 192.168.30.121 192.168.11.66 147.61.234.0/24 147.61.233.0/24 147.61.232.0/24 192.168.11.252 192.168.11.251 192.168.11.250 192.168.11.249 192.168.11.248 192.168.11.247 192.168.11.246 192.168.11.245 192.168.11.244 192.168.11.243 192.168.11.242 192.168.11.241 192.168.11.240 192.168.11.239 192.168.11.238 192.168.11.237 192.168.11.236 192.168.11.235 192.168.11.234 192.168.11.233 192.168.11.232 192.168.11.231 192.168.11.230 192.168.11.229 192.168.11.228 192.168.11.227 192.168.11.226 192.168.11.224 192.168.11.223 192.168.11.222 192.168.11.221 192.168.11.220 192.168.11.219 192.168.11.218 192.168.11.217 192.168.11.216 192.168.11.215 192.168.11.214 192.168.11.213 192.168.11.212 192.168.11.211 192.168.11.210 192.168.11.209 192.168.11.208 192.168.11.207 192.168.11.206 192.168.11.205 192.168.11.204 192.168.11.203 192.168.11.202 192.168.11.201 192.168.11.200 192.168.11.199 192.168.11.198 192.168.11.197 192.168.11.196 192.168.11.195 192.168.11.194 192.168.11.193 192.168.11.192 192.168.11.191 192.168.11.190 192.168.11.189 192.168.11.188 192.168.11.187 192.168.11.186 192.168.11.185 192.168.11.184 192.168.11.183 192.168.11.182 192.168.11.181 192.168.11.180 192.168.11.179 192.168.11.178 192.168.11.177 192.168.11.176 192.168.11.175 192.168.11.174 192.168.11.173 192.168.11.172 192.168.11.171 192.168.11.170 192.168.11.168 192.168.11.167 192.168.11.166 192.168.11.165 192.168.11.164 192.168.11.163 192.168.11.162 192.168.11.161 192.168.11.160 192.168.11.159 192.168.11.158 192.168.11.157 192.168.11.156 192.168.11.155 192.168.11.154 192.168.11.153 192.168.11.152 192.168.11.151 192.168.11.150 192.168.11.149 192.168.11.148 192.168.11.147 192.168.11.146 192.168.11.145 192.168.11.144 192.168.11.143 192.168.11.140 192.168.11.139 192.168.11.138 192.168.11.137 192.168.11.136 192.168.11.135 192.168.11.130 192.168.11.129 192.168.11.128 192.168.11.127 192.168.11.126 192.168.11.125 192.168.11.124 192.168.11.123 192.168.11.122 192.168.11.121 192.168.11.119 192.168.11.118 192.168.11.117 192.168.11.116 192.168.11.115 192.168.11.114 192.168.11.113 192.168.11.112 192.168.11.111 192.168.11.110 192.168.11.109 192.168.11.108 192.168.11.107 192.168.11.106 192.168.11.104 192.168.11.103 192.168.11.102 192.168.11.101 192.168.11.100 192.168.11.99 192.168.11.98 192.168.11.97 192.168.11.96 192.168.11.95 192.168.11.94 192.168.11.93 192.168.11.92 192.168.11.91 192.168.11.90 192.168.11.89 192.168.11.88 192.168.11.87 192.168.11.86 192.168.11.85 192.168.11.84 192.168.11.83 192.168.11.82 192.168.11.81 192.168.11.80 192.168.11.79 192.168.11.78 192.168.11.77 192.168.11.76 192.168.11.75 192.168.11.74 192.168.11.73 192.168.11.65 192.168.11.64 192.168.11.63 192.168.11.62 192.168.11.59 192.168.11.58 192.168.11.57 192.168.11.56 192.168.11.55 192.168.11.54 192.168.11.53 192.168.11.52 192.168.11.51 192.168.11.50 192.168.11.49 192.168.11.48 192.168.11.47 192.168.11.46 192.168.11.45 192.168.11.43 192.168.11.42 192.168.11.41 192.168.11.40 192.168.11.39 192.168.11.38 192.168.11.37 192.168.11.36 192.168.11.35 192.168.11.34 192.168.11.33 192.168.11.31 192.168.11.30 192.168.11.29 192.168.11.28 192.168.11.27 192.168.11.26 192.168.11.24 192.168.11.23 192.168.11.22 192.168.11.21 192.168.11.20 192.168.11.19 192.168.11.18 192.168.11.17 192.168.11.16 192.168.11.15 192.168.11.14 192.168.11.13 192.168.11.12 192.168.11.11 192.168.11.10 192.168.11.9 192.168.11.8 192.168.11.7 192.168.11.6 192.168.11.5 192.168.11.4 192.168.11.3 192.168.11.2 192.168.11.105 192.168.11.169 192.168.11.120 192.168.51.0/24 192.168.50.0/24 10.10.9.0/24 10.10.8.0/24 10.10.7.0/24 10.10.6.0/24 10.10.5.0/24 10.10.4.0/24 10.10.3.0/24 10.10.2.0/24 10.10.1.0/24 192.168.17.9 192.168.30.0/24 192.168.20.0/24 192.168.64.0/24 192.168.76.0/24 192.168.98.0/24 192.168.98.142 192.168.45.0/24 192.168.11.254 192.168.11.253 192.168.98.141"
"LASEXCAS02\Inbound Relay Connector LASEXCAS02","172.31.98.142 10.100.99.248 172.31.98.141 192.168.99.22 192.168.99.21 10.100.29.51-10.100.29.55 192.168.30.181-192.168.30.185 10.100.29.20-10.100.29.25 10.100.99.245 10.100.20.4 10.100.20.6 10.100.20.1 10.100.20.2 10.100.20.3 10.20.100.5 192.168.99.202 172.31.244.3 172.31.244.6 172.31.244.7 172.31.246.3 172.31.246.6 172.31.246.2 172.31.246.7 172.31.244.2 192.168.64.92 192.168.11.61 192.168.30.171 192.168.30.173 192.168.30.174 192.168.30.175 192.168.30.160 192.168.64.156 192.168.64.157 192.168.64.158 192.168.64.159 192.168.64.160 192.168.64.161 192.168.64.155 192.168.30.172 192.168.11.60 172.31.240.202 172.31.240.201 172.31.240.10 192.168.30.121 192.168.11.66 147.61.234.0/24 147.61.233.0/24 147.61.232.0/24 192.168.11.252 192.168.11.251 192.168.11.250 192.168.11.249 192.168.11.248 192.168.11.247 192.168.11.246 192.168.11.245 192.168.11.244 192.168.11.243 192.168.11.242 192.168.11.241 192.168.11.240 192.168.11.239 192.168.11.238 192.168.11.237 192.168.11.236 192.168.11.235 192.168.11.234 192.168.11.233 192.168.11.232 192.168.11.231 192.168.11.230 192.168.11.229 192.168.11.228 192.168.11.227 192.168.11.226 192.168.11.224 192.168.11.223 192.168.11.222 192.168.11.221 192.168.11.220 192.168.11.219 192.168.11.218 192.168.11.217 192.168.11.216 192.168.11.215 192.168.11.214 192.168.11.213 192.168.11.212 192.168.11.211 192.168.11.210 192.168.11.209 192.168.11.208 192.168.11.207 192.168.11.206 192.168.11.205 192.168.11.204 192.168.11.203 192.168.11.202 192.168.11.201 192.168.11.200 192.168.11.199 192.168.11.198 192.168.11.197 192.168.11.196 192.168.11.195 192.168.11.194 192.168.11.193 192.168.11.192 192.168.11.191 192.168.11.190 192.168.11.189 192.168.11.188 192.168.11.187 192.168.11.186 192.168.11.185 192.168.11.184 192.168.11.183 192.168.11.182 192.168.11.181 192.168.11.180 192.168.11.179 192.168.11.178 192.168.11.177 192.168.11.176 192.168.11.175 192.168.11.174 192.168.11.173 192.168.11.172 192.168.11.171 192.168.11.170 192.168.11.168 192.168.11.167 192.168.11.166 192.168.11.165 192.168.11.164 192.168.11.163 192.168.11.162 192.168.11.161 192.168.11.160 192.168.11.159 192.168.11.158 192.168.11.157 192.168.11.156 192.168.11.155 192.168.11.154 192.168.11.153 192.168.11.152 192.168.11.151 192.168.11.150 192.168.11.149 192.168.11.148 192.168.11.147 192.168.11.146 192.168.11.145 192.168.11.144 192.168.11.143 192.168.11.140 192.168.11.139 192.168.11.138 192.168.11.137 192.168.11.136 192.168.11.135 192.168.11.130 192.168.11.129 192.168.11.128 192.168.11.127 192.168.11.126 192.168.11.125 192.168.11.124 192.168.11.123 192.168.11.122 192.168.11.121 192.168.11.119 192.168.11.118 192.168.11.117 192.168.11.116 192.168.11.115 192.168.11.114 192.168.11.113 192.168.11.112 192.168.11.111 192.168.11.110 192.168.11.109 192.168.11.108 192.168.11.107 192.168.11.106 192.168.11.104 192.168.11.103 192.168.11.102 192.168.11.101 192.168.11.100 192.168.11.99 192.168.11.98 192.168.11.97 192.168.11.96 192.168.11.95 192.168.11.94 192.168.11.93 192.168.11.92 192.168.11.91 192.168.11.90 192.168.11.89 192.168.11.88 192.168.11.87 192.168.11.86 192.168.11.85 192.168.11.84 192.168.11.83 192.168.11.82 192.168.11.81 192.168.11.80 192.168.11.79 192.168.11.78 192.168.11.77 192.168.11.76 192.168.11.75 192.168.11.74 192.168.11.73 192.168.11.65 192.168.11.64 192.168.11.63 192.168.11.62 192.168.11.59 192.168.11.58 192.168.11.57 192.168.11.56 192.168.11.55 192.168.11.54 192.168.11.53 192.168.11.52 192.168.11.51 192.168.11.50 192.168.11.49 192.168.11.48 192.168.11.47 192.168.11.46 192.168.11.45 192.168.11.43 192.168.11.42 192.168.11.41 192.168.11.40 192.168.11.39 192.168.11.38 192.168.11.37 192.168.11.36 192.168.11.35 192.168.11.34 192.168.11.33 192.168.11.31 192.168.11.30 192.168.11.29 192.168.11.28 192.168.11.27 192.168.11.26 192.168.11.24 192.168.11.23 192.168.11.22 192.168.11.21 192.168.11.20 192.168.11.19 192.168.11.18 192.168.11.17 192.168.11.16 192.168.11.15 192.168.11.14 192.168.11.13 192.168.11.12 192.168.11.11 192.168.11.10 192.168.11.9 192.168.11.8 192.168.11.7 192.168.11.6 192.168.11.5 192.168.11.4 192.168.11.3 192.168.11.2 192.168.11.105 192.168.11.169 192.168.11.120 192.168.51.0/24 192.168.50.0/24 10.10.9.0/24 10.10.8.0/24 10.10.7.0/24 10.10.6.0/24 10.10.5.0/24 10.10.4.0/24 10.10.3.0/24 10.10.2.0/24 10.10.1.0/24 192.168.17.9 192.168.30.0/24 192.168.20.0/24 192.168.64.0/24 192.168.76.0/24 192.168.98.0/24 192.168.98.142 192.168.45.0/24 192.168.11.254 192.168.11.253 192.168.98.141"
"LASEXCH01\Default LASEXCH01","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH01\Client Proxy LASEXCH01","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH01\Default Frontend LASEXCH01","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH01\Outbound Proxy Frontend LASEXCH01","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH01\Client Frontend LASEXCH01","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH03\Default LASEXCH03","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH03\Client Proxy LASEXCH03","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH02\Default LASEXCH02","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH02\Client Proxy LASEXCH02","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH03\Default Frontend LASEXCH03","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH03\Outbound Proxy Frontend LASEXCH03","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH03\Client Frontend LASEXCH03","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH02\Default Frontend LASEXCH02","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH02\Outbound Proxy Frontend LASEXCH02","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH02\Client Frontend LASEXCH02","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH04\Default LASEXCH04","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH04\Client Proxy LASEXCH04","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH04\Default Frontend LASEXCH04","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH04\Outbound Proxy Frontend LASEXCH04","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
"LASEXCH04\Client Frontend LASEXCH04","::-ffff:ffff:ffff:ffff:ffff:ffff:ffff:ffff 0.0.0.0-255.255.255.255"
