#TYPE System.Management.Automation.PSCustomObject
"Server","Manufacturer","Name","speed"
"LASEXCAS01","Hewlett-Packard Company","HP NC373i Multifunction Gigabit Server Adapter",""
"LASEXCAS01","Hewlett-Packard Company","HP Network Team #1","1000000000"
"LASEXCAS02","Hewlett-Packard Company","HP NC373i Multifunction Gigabit Server Adapter",""
"LASEXCAS02","Hewlett-Packard Company","HP NC373i Multifunction Gigabit Server Adapter",""
"LASEXCAS02","Hewlett-Packard Company","HP Network Team #1","2000000000"
"LASEXDB01","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB01","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB01","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB01","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB01","Hewlett-Packard Company","HP Network Team #1","4000000000"
"LASEXDB02","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB02","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB02","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB02","Hewlett-Packard Company","HP NC382i DP Multifunction Gigabit Server Adapter",""
"LASEXDB02","Hewlett-Packard Company","HP Network Team #1","4000000000"
"LASEXCH01","VMware, Inc.","vmxnet3 Ethernet Adapter","10000000000"
"LASEXCH01","VMware, Inc.","vmxnet3 Ethernet Adapter #2","10000000000"
"LASEXCH03","VMware, Inc.","vmxnet3 Ethernet Adapter","10000000000"
"LASEXCH03","VMware, Inc.","vmxnet3 Ethernet Adapter #2","10000000000"
"LASEXCH02","VMware, Inc.","vmxnet3 Ethernet Adapter","10000000000"
"LASEXCH02","VMware, Inc.","vmxnet3 Ethernet Adapter #2","10000000000"
"LASEXCH04","VMware, Inc.","vmxnet3 Ethernet Adapter","10000000000"
"LASEXCH04","VMware, Inc.","vmxnet3 Ethernet Adapter #2","10000000000"
