#TYPE System.Management.Automation.PSCustomObject
"Database","LASEXDB02","LASEXDB01","LASEXCH04","LASEXCH02","LASEXCH03","LASEXCH01"
"System Databases",,,,,,
"Executive",,,,,,
"Standard-03",,,,,,
"Standard-02",,,,,,
"Standard-05",,,,,,
"Large-01",,,,,,
"Large-04",,,,,,
"Large-03",,,,,,
"Large-02",,,,,,
"Standard-04",,,,,,
"Group-01",,,,,,
"Legal",,,,,,
"LASEXDB02-PFDB",,,,,,
"Standard-01",,,,,,
"LASEXDB01-PFDB",,,,,,
"Mailbox Database 0514477962",,,"1",,,
"Standard-09-16",,,"1",,"2",
"Executive-03-16",,,"2",,,"1"
"Standard-11-16",,,"1",,,
"Large-05-16",,,"1",,,
"Standard-10-16",,,"1",,,
"Large-06-16",,,"1",,,
"Standard-02-16",,,"1",,,"2"
"Standard-04-16",,,"2",,,"1"
"Standard-03-16",,,"2","1",,
"Standard-05-16",,,"1",,"2",
"Large-01-16",,,"2",,"1",
"Large-02-16",,,"2","1",,
"Large-03-16",,,"2",,,"1"
"Standard16-01",,,"2",,,"1"
"Standard16-04",,,"1",,,"2"
"Standard16-08",,,"1",,,"2"
"Standard16-05",,,"2",,,"1"
"Standard16-09",,,"2",,,"1"
"Group16-01",,,"2",,,"1"
"LASEXCH02DB01",,,,"1",,
"Standard-01-16",,,,"2",,"1"
"Large-04-16",,,,"2","1",
"Standard-06-16",,,,"1","2",
"Executive-01-16",,,,"2",,"1"
"Executive-02-16",,,,"2","1",
"Group-01-16",,,,"1","2",
"Rooms-01-16",,,,"1",,"2"
"Rooms-02-16",,,,"2","1",
"Standard-Onboard",,,,"1",,
"Resource-02-16",,,,"1","2",
"Standard16-02",,,,"1","2",
"Standard16-03",,,,"2","1",
"Standard16-06",,,,"1","2",
"Standard16-07",,,,"2","1",
"Standard16-10",,,,"1","2",
"Standard16-11",,,,"2","1",
"LASEXCH03DB01",,,,,"1",
"Standard-08-16",,,,,"1","2"
"TESTDB",,,,,"1",
"Disabled-01-16",,,,,"1",
"Resource-01-16",,,,,"1","2"
"Large-Onboard",,,,,"1",
"Legal-01-16",,,,,"2","1"
"LASEXCH01DB01",,,,,,"1"
"Standard-07-16",,,,,,"1"
