#TYPE System.Management.Automation.PSCustomObject
"Server","Capacity","Tag"
"LASEXCAS01","2147483648","Physical Memory 0"
"LASEXCAS01","2147483648","Physical Memory 1"
"LASEXCAS01","2147483648","Physical Memory 2"
"LASEXCAS01","2147483648","Physical Memory 3"
"LASEXCAS02","2147483648","Physical Memory 0"
"LASEXCAS02","2147483648","Physical Memory 2"
"LASEXCAS02","2147483648","Physical Memory 4"
"LASEXCAS02","2147483648","Physical Memory 6"
"LASEXDB01","2147483648","Physical Memory 0"
"LASEXDB01","2147483648","Physical Memory 1"
"LASEXDB01","2147483648","Physical Memory 2"
"LASEXDB01","2147483648","Physical Memory 3"
"LASEXDB01","2147483648","Physical Memory 8"
"LASEXDB01","2147483648","Physical Memory 9"
"LASEXDB01","2147483648","Physical Memory 10"
"LASEXDB01","2147483648","Physical Memory 11"
"LASEXDB02","2147483648","Physical Memory 0"
"LASEXDB02","2147483648","Physical Memory 1"
"LASEXDB02","2147483648","Physical Memory 2"
"LASEXDB02","2147483648","Physical Memory 3"
"LASEXDB02","2147483648","Physical Memory 8"
"LASEXDB02","2147483648","Physical Memory 9"
"LASEXDB02","2147483648","Physical Memory 10"
"LASEXDB02","2147483648","Physical Memory 11"
"LASEXCH01","17179869184","Physical Memory 0"
"LASEXCH01","17179869184","Physical Memory 1"
"LASEXCH01","17179869184","Physical Memory 2"
"LASEXCH03","17179869184","Physical Memory 0"
"LASEXCH03","17179869184","Physical Memory 1"
"LASEXCH03","17179869184","Physical Memory 2"
"LASEXCH02","17179869184","Physical Memory 0"
"LASEXCH02","17179869184","Physical Memory 1"
"LASEXCH02","17179869184","Physical Memory 2"
"LASEXCH04","17179869184","Physical Memory 0"
"LASEXCH04","17179869184","Physical Memory 1"
"LASEXCH04","17179869184","Physical Memory 2"
