#TYPE System.Management.Automation.PSCustomObject
"Server","Defaultipgateway","Dnshostname","Ipaddress","Ipsubnet","DomainDNSRegistrationEnabled"
"LASEXCAS01","192.168.11.254","LASEXCAS01","192.168.11.218 192.168.11.210","255.255.255.0 255.255.255.0","False"
"LASEXCAS02","192.168.11.254","LASEXCAS02","192.168.11.218 192.168.11.211","255.255.255.0 255.255.255.0","False"
"LASEXDB01","","LASEXDB01","169.254.1.246","255.255.0.0","False"
"LASEXDB01","192.168.11.254","LASEXDB01","192.168.11.209 192.168.11.212","255.255.255.0 255.255.255.0","False"
"LASEXDB02","","LASEXDB02","169.254.2.77","255.255.0.0","False"
"LASEXDB02","192.168.11.254","LASEXDB02","192.168.11.213","255.255.255.0","False"
"LASEXCH01","","LASEXCH01","169.254.1.157","255.255.0.0","False"
"LASEXCH01","192.168.11.254","LASEXCH01","192.168.11.131","255.255.255.0","False"
"LASEXCH01","","LASEXCH01","192.168.86.131","255.255.255.0","False"
"LASEXCH03","","LASEXCH03","169.254.3.35","255.255.0.0","False"
"LASEXCH03","192.168.11.254","LASEXCH03","192.168.11.133","255.255.255.0","False"
"LASEXCH03","","LASEXCH03","192.168.86.133","255.255.255.0","False"
"LASEXCH02","","LASEXCH02","169.254.2.195","255.255.0.0","False"
"LASEXCH02","192.168.11.254","LASEXCH02","192.168.11.132","255.255.255.0","False"
"LASEXCH02","","LASEXCH02","192.168.86.132","255.255.255.0","False"
"LASEXCH04","192.168.11.254","LASEXCH04","192.168.11.134","255.255.255.0","False"
"LASEXCH04","","LASEXCH04","192.168.86.134","255.255.255.0","False"
"LASEXCH04","","LASEXCH04","169.254.4.44","255.255.0.0","False"
