#TYPE System.Management.Automation.PSCustomObject
"Name","MailboxRetention","DeletedItemRetention"
"System Databases","30.00:00:00","14.00:00:00"
"Executive","30.00:00:00","90.00:00:00"
"Standard-01","30.00:00:00","7.00:00:00"
"Standard-02","30.00:00:00","7.00:00:00"
"Standard-03","30.00:00:00","7.00:00:00"
"Standard-05","30.00:00:00","7.00:00:00"
"Large-01","30.00:00:00","30.00:00:00"
"Large-02","30.00:00:00","30.00:00:00"
"Large-03","30.00:00:00","30.00:00:00"
"Large-04","30.00:00:00","30.00:00:00"
"Standard-04","30.00:00:00","7.00:00:00"
"Group-01","7.00:00:00","7.00:00:00"
"Legal","30.00:00:00","90.00:00:00"
"LASEXCH01DB01","30.00:00:00","14.00:00:00"
"LASEXCH03DB01","30.00:00:00","14.00:00:00"
"LASEXCH02DB01","30.00:00:00","14.00:00:00"
"Executive-01-16","30.00:00:00","90.00:00:00"
"Standard-01-16","30.00:00:00","7.00:00:00"
"Standard-02-16","30.00:00:00","7.00:00:00"
"Standard-03-16","30.00:00:00","7.00:00:00"
"Standard-04-16","30.00:00:00","7.00:00:00"
"Standard-05-16","30.00:00:00","7.00:00:00"
"Large-01-16","30.00:00:00","30.00:00:00"
"Large-02-16","30.00:00:00","30.00:00:00"
"Large-03-16","30.00:00:00","30.00:00:00"
"Large-04-16","30.00:00:00","30.00:00:00"
"Standard-06-16","30.00:00:00","14.00:00:00"
"Standard-07-16","30.00:00:00","14.00:00:00"
"Standard-08-16","30.00:00:00","14.00:00:00"
"Legal-01-16","30.00:00:00","14.00:00:00"
"Group-01-16","30.00:00:00","14.00:00:00"
"Executive-02-16","30.00:00:00","14.00:00:00"
"TESTDB","30.00:00:00","14.00:00:00"
"LASEXDB02-PFDB","30.00:00:00","14.00:00:00"
"LASEXDB01-PFDB","30.00:00:00","14.00:00:00"
"Disabled-01-16","30.00:00:00","14.00:00:00"
"Rooms-01-16","30.00:00:00","14.00:00:00"
"Rooms-02-16","30.00:00:00","14.00:00:00"
"Resource-01-16","30.00:00:00","14.00:00:00"
"Standard-Onboard","30.00:00:00","14.00:00:00"
"Large-Onboard","30.00:00:00","14.00:00:00"
"Resource-02-16","30.00:00:00","14.00:00:00"
"Mailbox Database 0514477962","30.00:00:00","14.00:00:00"
"Standard-09-16","30.00:00:00","14.00:00:00"
"Executive-03-16","30.00:00:00","14.00:00:00"
"Standard-11-16","30.00:00:00","14.00:00:00"
"Large-05-16","30.00:00:00","14.00:00:00"
"Standard-10-16","30.00:00:00","14.00:00:00"
"Large-06-16","30.00:00:00","14.00:00:00"
"Standard16-01","30.00:00:00","7.00:00:00"
"Standard16-02","30.00:00:00","7.00:00:00"
"Standard16-03","30.00:00:00","7.00:00:00"
"Standard16-04","30.00:00:00","7.00:00:00"
"Standard16-05","30.00:00:00","7.00:00:00"
"Standard16-06","30.00:00:00","7.00:00:00"
"Standard16-07","30.00:00:00","7.00:00:00"
"Standard16-08","30.00:00:00","7.00:00:00"
"Standard16-09","30.00:00:00","7.00:00:00"
"Standard16-10","30.00:00:00","7.00:00:00"
"Standard16-11","30.00:00:00","7.00:00:00"
"Group16-01","30.00:00:00","14.00:00:00"
