"Layer","Domain","AccountName","AccountGroup","ActiveDirectoryRights","ObjectRights","ObjectDN","ObjectOwner","ObjectClassCategory","IdentitySID","ObjectSID"
"2","USON.LOCAL","USON\molague","USON\molague","GenericAll","All","CN=Exchange Enterprise Servers,CN=Users,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-3775","S-1-5-21-2571279217-2041782082-3149958405-1113"
"2","USON.LOCAL","USON\Lshah","USON\USON AD RESET & UNLOCK PASSWORD","ExtendedRight","User-Force-Change-Password","CN=USON AD RESET & UNLOCK PASSWORD,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-5384","S-1-5-21-2571279217-2041782082-3149958405-5384"
"2","USON.LOCAL","USON\Lshah","USON\USON AD RESET & UNLOCK PASSWORD","ExtendedRight","User-Force-Change-Password","CN=USON AD ADMIN ONLY,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-5384","S-1-5-21-2571279217-2041782082-3149958405-5293"
"2","USON.LOCAL","USON\Administrator","USON\Administrator","GenericAll","All","CN=Exchange Enterprise Servers,CN=Users,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-500","S-1-5-21-2571279217-2041782082-3149958405-1113"
"1","USON.LOCAL","USON\wil.admin","USON\USON IT ADMIN","ReadProperty, WriteProperty","Self-Membership","DC=USON,DC=LOCAL","BUILTIN\Administrators","Domain","S-1-5-21-2571279217-2041782082-3149958405-4122","S-1-5-21-2571279217-2041782082-3149958405"
"1","USON.LOCAL","USON\wil.admin","USON\USON IT ADMIN","ReadProperty, WriteProperty","Self-Membership","CN=USON AD RESET & UNLOCK PASSWORD,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-4122","S-1-5-21-2571279217-2041782082-3149958405-5384"
"1","USON.LOCAL","USON\wil.admin","USON\USON IT ADMIN","ReadProperty, WriteProperty","Self-Membership","CN=USON AD ADMIN ONLY,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-4122","S-1-5-21-2571279217-2041782082-3149958405-5293"
"1","USON.LOCAL","USON\wil.admin","USON\USON IT ADMIN","ReadProperty, WriteProperty","Self-Membership","CN=Shelley Ray,OU=SPECIAL,OU=OMS,DC=USON,DC=LOCAL","USON\Domain Admins","User","S-1-5-21-2571279217-2041782082-3149958405-4122","S-1-5-21-2571279217-2041782082-3149958405-3891"
"1","USON.LOCAL","USON\wil.admin","USON\USON IT ADMIN","ReadProperty, WriteProperty","Self-Membership","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=USON,DC=LOCAL","USON\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-2571279217-2041782082-3149958405-4122","S-1-5-9"
"1","USON.LOCAL","USON\wil.admin","USON\USON IT ADMIN","ReadProperty, WriteProperty","Self-Membership","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON\Domain Admins","Group","S-1-5-21-2571279217-2041782082-3149958405-4122","S-1-5-21-2571279217-2041782082-3149958405-3776"
