"ZoneName","Name","RecordType","Data","TTL","Age","TimeStamp","UpdatedAtSerial","Created","Changed","showInAdvancedViewOnly","DistinguishedName"
"RootDNSServers","@","NS","l.root-servers.net.","0","0","[static]","0","5/18/2007 6:24:28 PM","6/12/2017 2:53:05 PM","True","DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=corp,DC=vegas,DC=com"
"RootDNSServers","j.root-servers.net","A","192.58.128.30","0","0","[static]","0","5/18/2007 6:24:28 PM","6/12/2017 2:53:05 PM","True","DC=j.root-servers.net,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","netbotz91F7E6","A","10.25.4.249","900","3642138","6/29/2016 6:00:00 PM","148752","6/29/2016 11:10:47 AM","6/12/2017 2:53:55 PM","True","DC=netbotz91F7E6,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","NPI03B7EF","A","10.25.4.250","900","3642151","6/30/2016 7:00:00 AM","148861","6/20/2016 5:00:33 PM","6/12/2017 2:53:55 PM","True","DC=NPI03B7EF,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","RNP4A3B64","A","10.25.4.141","900","3642162","6/30/2016 6:00:00 PM","148954","11/28/2012 2:25:33 PM","6/12/2017 2:53:55 PM","True","DC=RNP4A3B64,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","_ldap._tcp","SRV","[0][100][389][vvcmaddc02.corp.vegas.com.]","600","3650493","6/12/2017 9:00:00 PM","357740","5/18/2007 6:27:34 PM","6/21/2017 6:35:06 PM","True","DC=_ldap._tcp,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","Vegas4045-m","UNKNOWN","v1D1gW1o1AE=","0","0","[static]","1306889","12/14/2017 11:20:18 AM","10/20/2018 5:07:59 AM","True","DC=Vegas4045-m,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","RNP46BED1","A","10.25.4.138","900","3642173","7/1/2016 5:00:00 AM","149036","6/30/2016 10:44:25 AM","6/12/2017 2:53:55 PM","True","DC=RNP46BED1,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","_ldap._tcp.VegasCampus._sites","SRV","[0][100][389][vdcmaddc01.corp.vegas.com.]","600","3650660","6/19/2017 8:00:00 PM","357748","8/31/2007 10:10:49 AM","6/21/2017 6:35:06 PM","True","DC=_ldap._tcp.VegasCampus._sites,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
"corp.vegas.com","RNP49CFED","A","10.25.4.169","900","3642174","7/1/2016 6:00:00 AM","149040","6/30/2016 11:03:29 AM","6/12/2017 2:53:55 PM","True","DC=RNP49CFED,DC=corp.vegas.com,CN=MicrosoftDNS,DC=DomainDnsZones,DC=corp,DC=vegas,DC=com"
