"Name","AdminCount","GroupCategory","GroupScope","ManagedBy","SID","SIDHistory","Description","whenCreated","whenChanged","DistinguishedName","CanonicalName"
"Organization Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3776","","Members of this management role group have permissions to manage Exchange objects and their properties in the Exchange organization. Members can also delegate role groups and management roles in the organization. This role group shouldn't be deleted.","6/30/2014 11:28:04 AM","5/19/2021 4:19:26 PM","CN=Organization Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Organization Management"
"NEXTMD ALERTS",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3805","","NextMD IT Notifications","7/9/2014 10:47:55 AM","5/19/2021 4:19:14 PM","CN=NEXTMD ALERTS,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/NEXTMD ALERTS"
"Public Folder Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3777","","Members of this management role group can manage public folders. Members can create and delete public folders and manage public folder settings such as replicas, quotas, age limits, and permissions as well as mail-enable and mail-disable public folders.","6/30/2014 11:28:04 AM","5/19/2021 4:19:26 PM","CN=Public Folder Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Public Folder Management"
"All Clinics - All Staff NO Providers",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3759","","All Clinics - All Staff NO Providers","5/28/2014 2:03:52 PM","8/5/2021 9:03:56 AM","CN=All Staff no Providers,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/All Staff no Providers"
"iPad Survey Users",,"Distribution","Universal","IT SUPPORT","S-1-5-21-2571279217-2041782082-3149958405-5376","","","5/25/2017 10:50:17 AM","9/17/2021 9:55:15 AM","CN=iPad Survey Users,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/iPad Survey Users"
"Recipient Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3778","","Members of this management role group have rights to create, manage, and remove Exchange recipient objects in the Exchange organization.","6/30/2014 11:28:04 AM","5/19/2021 4:19:12 PM","CN=Recipient Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Recipient Management"
"OMP PROVIDERS",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5139","","","7/11/2016 2:12:19 PM","5/19/2021 4:19:03 PM","CN=OMP PROVIDERS,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/OMP PROVIDERS"
"View-Only Organization Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3779","","Members of this management role group can view recipient and configuration objects and their properties in the Exchange organization.","6/30/2014 11:28:04 AM","5/19/2021 4:19:12 PM","CN=View-Only Organization Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/View-Only Organization Management"
"NVCancerVoicemail",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3736","","","3/3/2014 10:09:31 AM","5/19/2021 4:19:06 PM","CN=NVCancerVoicemail,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/NVCancerVoicemail"
"MTS TICKETS",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5497","","","8/2/2017 2:22:09 PM","9/27/2021 2:24:12 PM","CN=MTS TICKETS,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/MTS TICKETS"
"NEXTMDDISTRO",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-3841","","","7/29/2014 10:00:07 AM","9/24/2021 10:24:12 AM","CN=NEXTMD DISTRO,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/NEXTMD DISTRO"
"UM Management",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3780","","Members of this management role group can manage Unified Messaging organization, server, and recipient configuration.","6/30/2014 11:28:04 AM","5/19/2021 4:19:03 PM","CN=UM Management,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/UM Management"
"PULMO STAFF",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-5602","","","9/22/2017 11:02:41 AM","9/23/2021 8:24:15 AM","CN=PULMO STAFF,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/PULMO STAFF"
"USON MANAGEMENT",,"Security","Universal","","S-1-5-21-2571279217-2041782082-3149958405-2073","","","7/27/2011 1:41:28 PM","5/19/2021 4:19:15 PM","CN=USON MANAGEMENT,OU=SECURITY GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/SECURITY GROUPS/USON MANAGEMENT"
"Varian Users",,"Security","Global","","S-1-5-21-2571279217-2041782082-3149958405-2615","","Varian Group (Mtn View)","9/27/2011 3:58:32 PM","5/19/2021 4:19:12 PM","CN=Varian Users,OU=Varian,OU=VENDORS,OU=IT,OU=MSO,DC=USON,DC=LOCAL","USON.LOCAL/MSO/IT/VENDORS/Varian/Varian Users"
"NBHD Management",,"Distribution","Universal","Rich Espinosa","S-1-5-21-2571279217-2041782082-3149958405-5375","","","5/25/2017 10:28:25 AM","9/27/2021 12:34:28 PM","CN=NBHD Management,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/NBHD Management"
"USON AR",,"Distribution","Universal","","S-1-5-21-2571279217-2041782082-3149958405-7754","","","11/1/2019 7:49:16 AM","9/8/2021 1:22:53 PM","CN=USON AR,OU=DISTRIBUTION GROUPS,OU=USON,DC=USON,DC=LOCAL","USON.LOCAL/USON/DISTRIBUTION GROUPS/USON AR"
"Help Desk",,"Security","Universal","Organization Management","S-1-5-21-2571279217-2041782082-3149958405-3781","","Members of this management role group can view and manage the configuration for individual recipients and view recipients in an Exchange organization. Members of this role group can only manage the configuration each user can manage on his or her own mailbox. Additional permissions can be added by assigning additional management roles to this role group.","6/30/2014 11:28:04 AM","5/19/2021 4:19:12 PM","CN=Help Desk,OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL","USON.LOCAL/Microsoft Exchange Security Groups/Help Desk"
