"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"classSchema","account","11/9/2005 3:42:37 PM","5/19/2021 4:18:33 PM","CN=account,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-MLS-Encrypted-Recovery-P12-Current","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-MLS-Encrypted-Recovery-P12-Current,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-MLS-Encrypted-Recovery-P12-Previous","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-MLS-Encrypted-Recovery-P12-Previous,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","Account-Expires","11/9/2005 3:42:30 PM","5/19/2021 4:18:35 PM","CN=Account-Expires,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-SMTP-Receive-Message-Rate-Source","6/30/2014 11:25:53 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-SMTP-Receive-Message-Rate-Source,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-MLS-Encrypted-Signing-P12-Current","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-MLS-Encrypted-Signing-P12-Current,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","Account-Name-History","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=Account-Name-History,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Fed-Token-Issuer-Metadata-EPR","6/30/2014 11:25:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Token-Issuer-Metadata-EPR,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-MLS-Encrypted-Signing-P12-Previous","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-MLS-Encrypted-Signing-P12-Previous,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-SMTP-Receive-Postmaster-Address","6/30/2014 11:24:07 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-SMTP-Receive-Postmaster-Address,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Aggregate-Token-Rate-Per-User","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Aggregate-Token-Rate-Per-User,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Access-Control","6/30/2014 11:26:40 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Access-Control,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Fed-Token-Issuer-Prev-Cert-Reference","6/30/2014 11:25:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Token-Issuer-Prev-Cert-Reference,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Protocol-Logging-Level","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Smtp-Receive-Protocol-Logging-Level,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Allocable-RSVP-Bandwidth","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Allocable-RSVP-Bandwidth,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Additional-Flags","6/30/2014 11:24:52 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Additional-Flags,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Fed-Token-Issuer-Prev-Certificate","6/30/2014 11:25:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Token-Issuer-Prev-Certificate,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Protocol-Options","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Smtp-Receive-Protocol-Options,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Cache-Timeout","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Cache-Timeout,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Admin-Recipients","6/30/2014 11:26:40 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Admin-Recipients,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Fed-Token-Issuer-Type","6/30/2014 11:25:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Token-Issuer-Type,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Protocol-Restrictions","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Smtp-Receive-Protocol-Restrictions,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Direction","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Direction,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Allow-Bluetooth","6/30/2014 11:24:52 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Allow-Bluetooth,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Fed-Token-Issuer-URI","6/30/2014 11:25:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Token-Issuer-URI,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-SMTP-Receive-Relay-Control","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-SMTP-Receive-Relay-Control,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-DSBM-DeadTime","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-DSBM-DeadTime,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Allow-SMIME-Encryption-Algorithm-Negotiation","6/30/2014 11:24:52 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Allow-SMIME-Encryption-Algorithm-Negotiation,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"classSchema","ms-Exch-Fed-Trust","6/30/2014 11:25:34 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Trust,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Remote-IP-Ranges","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Smtp-Receive-Remote-IP-Ranges,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-DSBM-Priority","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-DSBM-Priority,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Fed-Web-Requestor-Redirect-EPR","6/30/2014 11:25:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Fed-Web-Requestor-Redirect-EPR,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Allowed-Device-IDs","6/30/2014 11:23:32 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Allowed-Device-IDs,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Control-Panel-Feedback-URL","6/30/2014 11:25:15 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Control-Panel-Feedback-URL,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Role","10/23/2019 3:46:19 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-Smtp-Receive-Role,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-DSBM-Refresh","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-DSBM-Refresh,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-File-Share-Witness","6/30/2014 11:25:04 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-File-Share-Witness,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Approved-Application-List","6/30/2014 11:24:52 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Approved-Application-List,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Smtp-Receive-Security-Descriptor","6/30/2014 11:23:33 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Smtp-Receive-Security-Descriptor,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Control-Panel-Help-URL","6/30/2014 11:25:15 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Control-Panel-Help-URL,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Enable-ACS-Service","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Enable-ACS-Service,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Mobile-Blocked-Device-IDs","6/30/2014 11:26:40 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Mobile-Blocked-Device-IDs,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-File-Share-Witness-Directory","6/30/2014 11:25:04 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-File-Share-Witness-Directory,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"classSchema","ms-Exch-Control-Point-Config","6/30/2014 11:26:09 AM","5/19/2021 4:18:36 PM","CN=ms-Exch-Control-Point-Config,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-SMTP-Receive-Sender-Domain","10/23/2019 3:46:19 PM","5/19/2021 4:18:36 PM","CN=ms-Exch-SMTP-Receive-Sender-Domain,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ACS-Enable-RSVP-Accounting","11/9/2005 3:42:30 PM","5/19/2021 4:18:33 PM","CN=ACS-Enable-RSVP-Accounting,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Proxy-Gen-Server","7/11/2011 2:54:44 PM","5/19/2021 4:18:34 PM","CN=ms-Exch-Proxy-Gen-Server,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
"attributeSchema","ms-Exch-Control-Point-Flags","6/30/2014 11:26:08 AM","5/19/2021 4:18:35 PM","CN=ms-Exch-Control-Point-Flags,CN=Schema,CN=Configuration,DC=USON,DC=LOCAL"
