"Username","Name","Enabled","Service","Host","Password Last Set","Description","Primary GroupID","Memberof"
"Administrator","Administrator","False","MSSQLSvc","USONVSVRBK02.USON.LOCAL:1433","4/12/2019 4:50:33 PM","Built-in account for administering the computer/domain","513","MSODC01 $ Acronis Remote Users,MWTO365DC01 $ Acronis Remote Users,MWTO365DC02 $ Acronis Remote Users,MSODC02 $ Acronis Remote Users,USONVSVRDC03 $ Acronis Remote Users,EXCHANGE RECOVERY ADMINISTRATORS,Schema Admins,Exchange Domain Servers,Domain Admins,Administrators,Enterprise Admins,Group Policy Creator Owners"
"Administrator","Administrator","False","MSSQLSvc","USONVSVRBK02.USON.LOCAL","4/12/2019 4:50:33 PM","Built-in account for administering the computer/domain","513","MSODC01 $ Acronis Remote Users,MWTO365DC01 $ Acronis Remote Users,MWTO365DC02 $ Acronis Remote Users,MSODC02 $ Acronis Remote Users,USONVSVRDC03 $ Acronis Remote Users,EXCHANGE RECOVERY ADMINISTRATORS,Schema Admins,Exchange Domain Servers,Domain Admins,Administrators,Enterprise Admins,Group Policy Creator Owners"
"GoodAdmin","Good Admin","False","MSSQLSvc","USONVSVRGOOD02.USON.LOCAL:1433","4/2/2019 2:27:06 PM","Administrator Account for Good","513",
"GoodAdmin","Good Admin","False","MSSQLSvc","USONVSVRGOOD02.USON.LOCAL","4/2/2019 2:27:06 PM","Administrator Account for Good","513",
"GoodAdmin","Good Admin","False","MSSQLSvc","usonvsvrgood01.USON.LOCAL:1622","4/2/2019 2:27:06 PM","Administrator Account for Good","513",
"GoodAdmin","Good Admin","False","MSSQLSvc","usonvsvrgood01.USON.LOCAL:GMC","4/2/2019 2:27:06 PM","Administrator Account for Good","513",
"ldap.admin","LDAP Administrator","True","HTTP","msocmbd01","5/8/2020 11:04:03 AM","DA account for LDAP intergration","513","R-MDT-Admin,USON IT,Backup Operators,Domain Admins"
"servicesadmin","Services Administrator","True","MSSQLSvc","USONVSVRSQLRPT.USON.LOCAL","4/2/2019 2:27:08 PM","Account used to Login to System Services Network Wide","513","ServiceAccounts,Exchange Domain Servers,Domain Admins,Group Policy Creator Owners"
"servicesadmin","Services Administrator","True","MSSQLSvc","USONVSVRSQLRPT.USON.LOCAL:1433","4/2/2019 2:27:08 PM","Account used to Login to System Services Network Wide","513","ServiceAccounts,Exchange Domain Servers,Domain Admins,Group Policy Creator Owners"
"servicesadmin","Services Administrator","True","MSSQLSvc","USONVSVRNG.USON.LOCAL:1433","4/2/2019 2:27:08 PM","Account used to Login to System Services Network Wide","513","ServiceAccounts,Exchange Domain Servers,Domain Admins,Group Policy Creator Owners"
