"Name","Depth","DistinguishedName","Link Order","GPO","Enforced","Link Enabled","BlockInheritance","gPLink","gPOptions"
"Microsoft Exchange Security Groups","1","OU=Microsoft Exchange Security Groups,DC=USON,DC=LOCAL",,,,,"False","",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","8","Remote Registry","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","7","UHG Petya Decoy","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","6","UHG ETD CTI Opt-IN","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","5","Automatic Certificate Enrollment","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","4","{98104C72-8E50-478F-9D16-B9B8043EAF80}","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","3","MSO-IT-AUDIT-DomainControllers","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","2","Domain Controllers Update Policy","True","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"Domain Controllers","1","OU=Domain Controllers,DC=USON,DC=LOCAL","1","Default Domain Controllers Policy","False","True","False","[LDAP://cn={BC475391-AEB0-4982-9CF4-5C9D25C50B83},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={5FC7DF70-E90E-4AA0-A8E5-27509D3705A0},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={F87E0B1F-C7F0-4004-858B-45DF11D7985C},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={62E72F94-63D4-4AA7-8ED1-E2DF6C9BB621},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={98104C72-8E50-478F-9D16-B9B8043EAF80},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={4c74a28e-de9c-44f9-8116-458171b4ad1f},cn=policies,cn=system,DC=USON,DC=LOCAL;0][LDAP://cn={60BA8844-2034-4C79-A613-2417D71645CB},cn=policies,cn=system,DC=USON,DC=LOCAL;2][LDAP://CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=USON,DC=LOCAL;0]",
"DISABLED_OBJECTS","1","OU=DISABLED_OBJECTS,DC=USON,DC=LOCAL",,,,,"False","",
