2017-12-21 16:55:29 INFO: 	 Starting Script
2017-12-21 16:55:29 LOAD: 	 Getting System log Information
2017-12-21 16:58:07 LOAD: 	 Getting Application log Information
2017-12-21 16:58:26 INFO: 	 Getting PS Version. Works with PS version 3.0 or higher
2017-12-21 16:58:26 INFO: 	 Converting Data to JSON
2017-12-21 16:58:26 INFO: 	 You are running powershell version "5.1"
2017-12-21 16:58:26 INFO: 	 Creating graph.js file
2017-12-21 16:58:26 INFO: 	 Creating C:\LazyWinAdmin\WinSysChecklist\Frequency\Graphics20171221.htm file
2017-12-21 16:58:26 INFO: 	 Cleaning up variables
2017-12-21 16:58:26 INFO: 	 Stamping time
2017-12-21 16:58:26 INFO: 	 Total Time (in seconds was): 176.8535118 s
2017-12-21 16:58:26 INFO: 	 Finished
2017-12-21 17:00:25 INFO: 	 Starting Script
2017-12-21 17:00:25 LOAD: 	 Getting System log Information
2017-12-21 17:03:09 LOAD: 	 Getting Application log Information
2017-12-21 17:03:28 INFO: 	 Getting PS Version. Works with PS version 3.0 or higher
2017-12-21 17:03:28 INFO: 	 Converting Data to JSON
2017-12-21 17:03:28 INFO: 	 You are running powershell version "5.1"
2017-12-21 17:03:28 INFO: 	 Creating graph.js file
2017-12-21 17:03:28 INFO: 	 Creating C:\LazyWinAdmin\WinSysChecklist\Frequency\LASEXCH04.20171221.htm file
2017-12-21 17:03:28 INFO: 	 Cleaning up variables
2017-12-21 17:03:28 INFO: 	 Stamping time
2017-12-21 17:03:28 INFO: 	 Total Time (in seconds was): 182.4485701 s
2017-12-21 17:03:28 INFO: 	 Finished
