"ComputerName","AppName","AppVersion","AppVendor","InstalledDate","UninstallKey","AppGUID","Arch"
"LASINFRA05","Cisco WebEx Meetings",,"Cisco WebEx LLC",,"C:\PROGRA~3\webex\atcliun.exe","ActiveTouchMeetingClient","32"
"LASINFRA05","BMC Track-It! 11.3 Agent","11.3.0.355","BMC Software",,"C:\WINDOWS\TIREMOTE\uninstall.bat","BMC Track-It! Agent","32"
"LASINFRA05","SolarWinds Toolset v10.7","10.7.0","SolarWinds, Inc","20111117","C:\Program Files (x86)\InstallShield Installation Information\{357AFF47-7D30-4374-A075-20270DA043EC}\setup.exe -runfromtemp -l0x0409","InstallShield_{357AFF47-7D30-4374-A075-20270DA043EC}","32"
"LASINFRA05","Kiwi CatTools 3.11.2 (Service Edition)","3.11.2  (Service Edition)","SolarWinds",,"""D:\CatTools3\uninst-CatTools.exe""","Kiwi CatTools3","32"
"LASINFRA05","Kiwi Log Viewer 2.1.0 ","2.1.0 ","http://www.kiwisyslog.com",,"""C:\Program Files (x86)\Kiwi Log Viewer\Uninst_KiwiLogViewer.exe""","Kiwi Log Viewer","32"
"LASINFRA05","Microsoft Report Viewer Redistributable 2008 (KB971118)",,"Microsoft Corporation",,"C:\Windows\Microsoft.NET\Framework\v2.0.50727\Microsoft Report Viewer Redistributable 2008 (KB971118)\install.exe","Microsoft Report Viewer Redistributable 2008 (KB971118)","32"
"LASINFRA05","Infognition ScreenPressor v2.1 (Remove Only)",,,,"RunDLL32.exe advpack.dll,LaunchINFSection SCPR.INF, DefaultUnInstall","SCPR","32"
"LASINFRA05","SolarWinds Client Components - x64 (2.1.5.6002)","2.1.5.6002","SolarWinds, Inc.",,"""C:\ProgramData\{09298598-9684-4901-AFBC-9E2DCB965536}\wmiproviders_2.1.5.6002.exe"" REMOVE=TRUE MODIFY=FALSE","SolarWinds Client Components - x64 (2.1.5.6002)","32"
"LASINFRA05","SolarWinds Active Diagnostics 1.6.0.26","1.6.0.26","SolarWinds, Inc.","20170520","MsiExec.exe /X{01DCF7B4-8A56-4666-A101-7F34107A5E1D}","{01DCF7B4-8A56-4666-A101-7F34107A5E1D}","32"
"LASINFRA05","SolarWinds Administration Service","1.0.2092.2","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{0361F251-BC7C-4964-8D35-84671BB3B814}","{0361F251-BC7C-4964-8D35-84671BB3B814}","32"
"LASINFRA05","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501","12.0.30501.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{050d4fc8-5d48-4b8f-8972-47c82c46020f}\vcredist_x64.exe""  /uninstall","{050d4fc8-5d48-4b8f-8972-47c82c46020f}","32"
"LASINFRA05","Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20140313","MsiExec.exe /X{13A4EE12-23EA-3371-91EE-EFB36DDFFF3E}","{13A4EE12-23EA-3371-91EE-EFB36DDFFF3E}","32"
"LASINFRA05","SolarWinds NetFlow Realtime","10.7.0.91","SolarWinds","20111117","MsiExec.exe /I{1C9364D6-A274-4E78-85AC-EF70E5994203}","{1C9364D6-A274-4E78-85AC-EF70E5994203}","32"
"LASINFRA05","Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030","11.0.61030.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}\vcredist_x86.exe""  /uninstall","{33d1fd90-4274-48a1-9bc1-97e33d9c2d6f}","32"
"LASINFRA05","Skype for Business Web App Plug-in","15.8.20020.400","Microsoft Corporation","20161006","MsiExec.exe /X{37C8167B-B653-4955-A6E8-EBB8DE937DDD}","{37C8167B-B653-4955-A6E8-EBB8DE937DDD}","32"
"LASINFRA05","SolarWinds Toolset v10.9.1","10.9.1","SolarWinds, Inc","20140226","MsiExec.exe /X{396D7E92-13FA-492F-A297-3E8AE7672336}","{396D7E92-13FA-492F-A297-3E8AE7672336}","32"
"LASINFRA05","Microsoft SQL Server Compact 3.5 SP2 ENU","3.5.8080.0","Microsoft Corporation","20111117","MsiExec.exe /I{3A9FC03D-C685-4831-94CF-4EDFD3749497}","{3A9FC03D-C685-4831-94CF-4EDFD3749497}","32"
"LASINFRA05","SolarWinds Job Engine v2.11.0","2.11.276.0","SolarWinds, Inc.","20170624","MsiExec.exe /X{3CD8EA01-5ED9-4496-B18A-7E520391AB27}","{3CD8EA01-5ED9-4496-B18A-7E520391AB27}","32"
"LASINFRA05","SolarWinds User Device Tracker v3.2.4","3.2.5117.4","SolarWinds","20170520","MsiExec.exe /I{491ADE68-96D2-41F8-A998-37FD2C48FA78}","{491ADE68-96D2-41F8-A998-37FD2C48FA78}","32"
"LASINFRA05","SolarWinds HighAvailability","1.1.0.42","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{4E49C822-3B02-4F13-99AA-8E21ECA5D70D}","{4E49C822-3B02-4F13-99AA-8E21ECA5D70D}","32"
"LASINFRA05","SolarWinds Collector v2.13.250","2.13.250.0","SolarWinds, Inc.","20170624","MsiExec.exe /X{509C4D24-710C-422D-B9AD-A9B1ACBE9E0F}","{509C4D24-710C-422D-B9AD-A9B1ACBE9E0F}","32"
"LASINFRA05","Toolset System Prerequisites","1.00.0000","SolarWinds","20140226",,"{51DBB3AE-300E-4ACC-B6A1-87A89978695D}","32"
"LASINFRA05","Microsoft Visual C++ 2010  x86 Runtime - 10.0.40219","10.0.40219","Microsoft Corporation","20151007","MsiExec.exe /X{5D9ED403-94DE-3BA0-B1D6-71F4BDA412E6}","{5D9ED403-94DE-3BA0-B1D6-71F4BDA412E6}","32"
"LASINFRA05","Google Update Helper","1.3.33.17","Google Inc.","20180517","MsiExec.exe /I{60EC980A-BDA2-4CB6-A427-B07A5498B4CA}","{60EC980A-BDA2-4CB6-A427-B07A5498B4CA}","32"
"LASINFRA05","Microsoft Report Viewer Redistributable 2008 (KB971118)","9.0.21024","Microsoft Corporation","20151024",,"{6334203E-A2FE-36A2-809D-5C26640AEE67}","32"
"LASINFRA05","Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24215","14.0.24215","Microsoft Corporation","20170807","MsiExec.exe /X{69BCE4AC-9572-3271-A2FB-9423BDA36A43}","{69BCE4AC-9572-3271-A2FB-9423BDA36A43}","32"
"LASINFRA05","Microsoft Visual C++ 2017 Redistributable (x64) - 14.11.25325","14.11.25325.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{6c6356fe-cbfa-4944-9bed-a9e99f45cb7a}\VC_redist.x64.exe""  /uninstall","{6c6356fe-cbfa-4944-9bed-a9e99f45cb7a}","32"
"LASINFRA05","SNMPWalk 1.0.0.67","1.0.0.67","SolarWinds, Inc.","20180503","MsiExec.exe /I{6C73286B-0F9A-4919-BAF6-C5D4FF6CFCDD}","{6C73286B-0F9A-4919-BAF6-C5D4FF6CFCDD}","32"
"LASINFRA05","Microsoft Visual C++ 2005 Redistributable","8.0.61001","Microsoft Corporation","20111019","MsiExec.exe /X{710f4c1c-cc18-4c49-8cbf-51240c89a1a2}","{710f4c1c-cc18-4c49-8cbf-51240c89a1a2}","32"
"LASINFRA05","SolarWinds NetFlow Realtime","10.9.1.30","SolarWinds","20140226","MsiExec.exe /I{72E805BA-340C-4C95-A8EB-3BAC6C94DF99}","{72E805BA-340C-4C95-A8EB-3BAC6C94DF99}","32"
"LASINFRA05","Microsoft Interop Forms Redistributable Package 2.0a","2.0.0","Microsoft Corporation","20111117","MsiExec.exe /I{76D1AA2B-A434-4D63-BE2C-80286F23C223}","{76D1AA2B-A434-4D63-BE2C-80286F23C223}","32"
"LASINFRA05","SolarWinds TFTP Server","10.9.1.30","SolarWinds","20140226","MsiExec.exe /X{7EE86A3F-8107-486F-8E97-041F49578E73}","{7EE86A3F-8107-486F-8E97-041F49578E73}","32"
"LASINFRA05","Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.21005","12.0.21005.1","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{7f51bdb9-ee21-49ee-94d6-90afc321780e}\vcredist_x64.exe""  /uninstall","{7f51bdb9-ee21-49ee-94d6-90afc321780e}","32"
"LASINFRA05","Commvault ContentStore","11.80.110.0","Commvault",,"""C:\ProgramData\Package Cache\{815a5217-3c56-4200-8d05-0dba25386dc6}\Setup.exe""  /uninstall","{815a5217-3c56-4200-8d05-0dba25386dc6}","32"
"LASINFRA05","SolarWinds Orion Core Services 2017.1","117.1.1698.5300","SolarWinds, Inc.","20170624","MsiExec.exe /I{82D0D78E-23E9-46B0-B24D-8C244B3C1C6D}","{82D0D78E-23E9-46B0-B24D-8C244B3C1C6D}","32"
"LASINFRA05","Microsoft Visual C++ 2005 Redistributable","8.0.59193","Microsoft Corporation","20120721","MsiExec.exe /X{837b34e3-7c30-493c-8f6a-2b0f04e2912c}","{837b34e3-7c30-493c-8f6a-2b0f04e2912c}","32"
"LASINFRA05","Microsoft SQL Server 2008 R2 Management Objects","10.51.2500.0","Microsoft Corporation","20151007","MsiExec.exe /I{83F2B8F4-5CF3-4BE9-9772-9543EAE4AC5F}","{83F2B8F4-5CF3-4BE9-9772-9543EAE4AC5F}","32"
"LASINFRA05","MSXML 4.0 SP2 (KB954430)","4.20.9870.0","Microsoft Corporation","20111119","MsiExec.exe /I{86493ADD-824D-4B8E-BD72-8C5DCDC52A71}","{86493ADD-824D-4B8E-BD72-8C5DCDC52A71}","32"
"LASINFRA05","SolarWinds Orion QoE 2.3.61.0","2.3.61.0","SolarWinds, Inc.","20170624","MsiExec.exe /I{8B912DE0-6E8F-4D7D-8210-C3EFE5E9CD93}","{8B912DE0-6E8F-4D7D-8210-C3EFE5E9CD93}","32"
"LASINFRA05","SolarWinds HighAvailability Orion Plugin","117.1.0.130","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{90235EEA-24A1-405C-B93F-664E4EA3F363}","{90235EEA-24A1-405C-B93F-664E4EA3F363}","32"
"LASINFRA05","Google Chrome","68.0.3440.106","Google, Inc.","20171226","MsiExec.exe /X{9151F5E9-B761-3842-A988-BE242700767B}","{9151F5E9-B761-3842-A988-BE242700767B}","32"
"LASINFRA05","SolarWinds Virtual Infrastructure Monitor v7.1.0","7.1.4312.0","SolarWinds, Inc.","20170624","MsiExec.exe /X{94DF52DF-6A6D-4935-8DAC-0036A31A766C}","{94DF52DF-6A6D-4935-8DAC-0036A31A766C}","32"
"LASINFRA05","Microsoft Application Error Reporting","12.0.6012.5000","Microsoft Corporation","20151007",,"{95120000-00B9-0409-0000-0000000FF1CE}","32"
"LASINFRA05","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17","9.0.30729","Microsoft Corporation","20111019","MsiExec.exe /X{9A25302D-30C0-39D9-BD6F-21E6EC160475}","{9A25302D-30C0-39D9-BD6F-21E6EC160475}","32"
"LASINFRA05","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","20111019","MsiExec.exe /X{9BE518E6-ECC6-35A9-88E4-87755C07200F}","{9BE518E6-ECC6-35A9-88E4-87755C07200F}","32"
"LASINFRA05","Microsoft Report Viewer 2012 Runtime","11.0.2100.60","Microsoft Corporation","20151008","MsiExec.exe /I{9CCE40CE-A9E6-4916-8729-B008558EEF3F}","{9CCE40CE-A9E6-4916-8729-B008558EEF3F}","32"
"LASINFRA05","SolarWinds License Manager","4.0.0.178","SolarWinds","20180507","MsiExec.exe /I{9E95DF59-B02A-4193-99A5-A058EB6429E7}","{9E95DF59-B02A-4193-99A5-A058EB6429E7}","32"
"LASINFRA05","SolarWinds Information Service v2017.1.0.192","117.1.192.0","SolarWinds, Inc.","20170624","MsiExec.exe /I{9EF518E3-DDDE-413A-AA7A-8102249DC670}","{9EF518E3-DDDE-413A-AA7A-8102249DC670}","32"
"LASINFRA05","SolarWinds DPA Integration Module v11.0","11.0.471.0","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{A2F020AF-02F4-4F60-A3F0-EC63DCC1B4B4}","{A2F020AF-02F4-4F60-A3F0-EC63DCC1B4B4}","32"
"LASINFRA05","RabbitMQ Server (SolarWinds Distribution)","1.1.36.0","SolarWinds Worldwide, LLC.","20170624","MsiExec.exe /I{AF03F0F0-C944-4162-98D7-EB8981F3CAE3}","{AF03F0F0-C944-4162-98D7-EB8981F3CAE3}","32"
"LASINFRA05","Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20160220","MsiExec.exe /X{B175520C-86A2-35A7-8619-86DC379688B9}","{B175520C-86A2-35A7-8619-86DC379688B9}","32"
