"pwdlastset","enabled","samaccountname"
"3/27/2006 8:40:57 AM","True","symantec"
"3/6/2007 9:55:04 AM","True","SQLDebugger"
"3/20/2007 4:04:30 PM","False","lvanpelt"
"9/16/2001 2:48:41 AM","True","TsInternetUser"
"9/17/2001 7:42:14 AM","False","IUSR_LVDC01"
"9/16/2001 2:50:21 AM","False","IWAM_LVDC01"
"11/7/2001 1:16:06 AM","True","IWAM_APP01"
"11/7/2001 1:16:11 AM","True","IUSR_APP01"
"1/2/2002 11:35:09 AM","False","IWAM_LASDC02"
"1/2/2002 11:35:18 AM","False","IUSR_LASDC02"
"7/10/2003 7:03:49 PM","False","IWAM_LASDC03"
"7/10/2003 7:05:05 PM","False","IUSR_LASDC03"
"2/17/2005 12:48:46 PM","False","IUSR_LASDC01"
"1/10/2012 12:50:16 PM","True","websense"
"6/2/2008 2:30:15 PM","True","idsscan"
"8/23/2009 12:20:10 AM","True","dba"
"4/1/2017 11:49:21 AM","False","DVerts"
"10/22/2016 10:07:45 PM","False","krbtgt"
"1/8/2010 2:28:49 PM","True","WLSAdmin"
"2/17/2005 12:47:53 PM","False","IWAM_LASDC01"
"5/19/2017 9:09:49 AM","False","LCorbaley"
"6/18/2008 5:27:34 PM","True","ppsuser"
"12/1/2016 7:01:04 AM","False","IHarrison"
"10/14/2005 8:23:42 AM","True","LASMSQL2ProjectAdmin"
"10/14/2005 4:17:35 PM","True","LASMSQL2SharePoint"
"3/15/2007 10:21:58 AM","True","orafinprint"
"6/23/2007 10:18:50 PM","True","reportsvr"
"6/23/2007 10:06:43 PM","True","tfsservice"
"3/18/2004 10:25:01 AM","True","PasskeySVC"
"6/23/2007 10:13:55 PM","True","ibizflow"
"9/17/2003 1:07:54 PM","True","Trilegiant"
"12/15/2011 5:52:13 PM","True","timer"
"7/23/2002 11:12:38 AM","True","process"
"4/24/2008 11:04:47 AM","True","bamtrack"
"12/31/1600 4:00:00 PM","True","Tellafriend"
"9/2/2004 12:10:12 PM","True","stest"
"2/19/2004 1:53:51 PM","True","speedpay"
"7/25/2008 12:02:30 PM","False","rtemplate"
"9/14/2016 5:38:42 PM","False","EKnight"
"10/12/2006 4:16:34 PM","True","db_admin"
"12/13/2008 10:59:16 PM","True","ppsxfilewatch"
"11/3/2008 3:35:22 PM","True","MIS_Process"
"7/31/2017 12:57:40 PM","True","occ5"
"7/31/2017 12:59:05 PM","True","occ4"
"12/31/1600 4:00:00 PM","False","ANieman"
"10/30/2015 6:25:36 PM","True","scheduler"
"9/1/2016 4:51:27 PM","False","pjurisprudencia"
"7/13/2016 9:28:19 AM","False","atoral"
"8/1/2017 7:16:09 AM","True","sbonar"
"5/9/2016 8:17:07 AM","False","JIngino"
"12/31/1600 4:00:00 PM","True","FLast"
"10/29/2012 2:18:45 PM","True","hdesk"
"10/25/2017 6:06:03 AM","False","sugarcia"
"12/31/1600 4:00:00 PM","True","TSRepUser"
"6/5/2017 11:50:40 AM","True","JAndross"
"8/7/2017 8:14:13 AM","False","khoskins"
"10/22/2008 11:52:02 AM","True","colpgp"
"6/29/2009 11:58:10 AM","False","085B8C44-C359-4C5D-A"
"5/25/2007 9:58:25 AM","True","tsreport"
"5/2/2016 7:06:16 AM","False","ADanevicius"
"12/27/2016 7:04:59 AM","False","LRondini"
"3/8/2012 12:21:41 AM","False","MISOpsSvc"
"6/29/2009 11:43:29 AM","False","3818F387-5316-498A-9"
"6/9/2009 3:24:59 PM","False","F308EB6C-4A7F-4AF1-8"
"6/9/2009 3:24:54 PM","False","09B73360-947E-4BE8-B"
"6/29/2009 11:43:33 AM","False","BFCE91AB-09A6-4DE6-8"
"8/28/2017 10:01:53 AM","False","EFreeman"
"11/2/2016 9:55:14 AM","False","KCino"
"12/31/1600 4:00:00 PM","True","BWilliams"
"10/10/2016 4:56:05 AM","False","noprecio"
"11/14/2016 9:17:36 AM","False","rarrar"
"3/13/2017 12:21:04 PM","False","slandum"
"7/26/2017 12:10:20 PM","True","mwooten"
"7/15/2016 11:27:56 AM","False","lmanabat"
"6/10/2016 7:36:17 AM","False","pmaners"
"10/16/2017 7:22:20 AM","False","jdebaun"
"6/27/2016 6:48:08 AM","False","svoong"
"6/9/2009 4:10:41 PM","False","64AF300C-82F1-4391-B"
"5/10/2007 9:33:54 AM","True","tvpc"
"6/29/2009 11:39:27 AM","False","AE1423F2-6673-4018-A"
"6/29/2009 11:41:28 AM","False","5592D56E-D05B-4B58-B"
"6/9/2009 3:25:03 PM","False","F711D4A4-3E7B-4B8F-B"
"12/31/1600 4:00:00 PM","True","jjakubowski.advisor"
"6/16/2014 3:32:56 PM","True","auditor1"
"9/17/2016 10:35:49 AM","False","LBakalov"
"10/24/2017 3:38:05 PM","True","jvanderbeek.advisor"
"5/2/2014 10:13:39 AM","True","occ7"
"5/2/2014 10:13:03 AM","True","occ6"
"12/31/1600 4:00:00 PM","True","colcmdpost"
"6/22/2016 6:30:12 AM","False","KThomas"
"2/23/2016 9:30:55 AM","False","ymuniz"
"12/31/1600 4:00:00 PM","True","Experian"
"1/26/2010 2:56:20 PM","True","INR.AS.John.Public"
"5/7/2010 12:20:19 PM","True","LASSQLBUPSVC"
"3/11/2008 4:00:03 PM","True","Test-SSRPMS"
"5/19/2012 11:48:42 PM","True","DocImgSvc"
"12/31/1600 4:00:00 PM","False","oracle"
"7/29/2003 10:43:34 AM","True","C2CUser"
"8/9/2005 8:05:01 AM","True","MScheduler"
"8/9/2005 8:07:29 AM","False","TStation"
"12/31/1600 4:00:00 PM","True","datadrop"
"12/31/1600 4:00:00 PM","True","TreasuryFinance"
"9/22/2016 5:27:15 PM","True","Licensing"
"9/4/2008 11:06:07 AM","False","laptop2"
"4/5/2007 10:47:15 AM","False","projector3"
"12/11/2008 9:40:30 AM","True","mktvacation"
"11/10/2011 7:25:51 AM","True","QARelayHold"
"12/11/2015 11:16:21 AM","True","CCRoom"
"6/7/2013 3:44:12 PM","True","resumes"
"11/24/2015 9:06:59 AM","True","TFCRoom"
"12/31/1600 4:00:00 PM","True","TrustDist"
