"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20131004";"9.4.0.0";;;;"1"
"HP ProLiant Agentless Management Service";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"9.25.0.0";;;;"1"
"HP ProLiant Health Monitor Service (X64)";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"3.7.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"3.0.0.0";;;;"1"
"HP ProLiant iLO CHIF Driver (X64)";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"3.7.0.0";;;;"1"
"HP ProLiant iLO Core Driver (X64)";"LASARGENT04.FNBM.CORP";"Hewlett-Packard Company";"20130226";"3.7.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20180120";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20131003";"12.0.6015.5000";;;;"1"
"Microsoft Office Access MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office Access Setup Metadata MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office Excel MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office Groove MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office InfoPath MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office Office 32-bit Components 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;"1"
"Microsoft Office OneNote MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office Outlook MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20170826";"14.0.7015.1000";;;;"1"
"Microsoft Office PowerPoint MUI (English) 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20150725";"14.0.7015.1000";;;;"1"
"Microsoft Office Professional Plus 2010";"LASARGENT04.FNBM.CORP";"Microsoft Corporation";"20171021";"14.0.7015.1000";;;;"1"
