"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.7.1";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180712";"4.7.02558";;;;"1"
"Microsoft Document Explorer 2008";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180515";"9.0.21022";;;;"1"
"Microsoft Office Access MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Access Setup Metadata MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Excel MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Groove MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office InfoPath MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Office 32-bit Components 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office OneNote MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Outlook MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office PowerPoint MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Professional Plus 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Proof (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Proof (French) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Proof (Spanish) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Proofing (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Publisher MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Shared 32-bit MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
"Microsoft Office Shared MUI (English) 2007";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180515";"12.0.4518.1014";;;;"1"
"Microsoft Office Shared MUI (English) 2010";"LASARGENTTST04.FNBM.CORP";"Microsoft Corporation";"20180514";"14.0.4763.1000";;;;"1"
