"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"3.11.50727";;;;"1"
"HPE ProLiant Agentless Management Service";"LASAS02.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20180530";"10.70.0.0";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASAS02.FNBM.CORP";"Hewlett Packard Enterprise";"20180530";"3.30.0.0";;;;"1"
"MergeModule2012";"LASAS02.FNBM.CORP";"Microsoft";"20180530";"1.0.0";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"4.0.30319";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016";"LASAS02.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASAS02.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 Setup (English)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.11.25325";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"1.0.23107.00";;;;"1"
"ProLiant Monitor Service (X64)";"LASAS02.FNBM.CORP";"Hewlett Packard Enterprise";"20180530";"3.30.0.0";;;;"1"
"SolarWinds Client Components";"LASAS02.FNBM.CORP";"SolarWinds, Inc.";"20180612";"2.1.5.6002";;;;"1"
"SQL Server 2016 Analysis Services";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.1.4001.0";;;;"1"
"SQL Server 2016 Analysis Services";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.1.4001.0";;;;"1"
"SQL Server 2016 Batch Parser";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Client Tools";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.1.4001.0";;;;"1"
"SQL Server 2016 Common Files";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.1.4001.0";;;;"1"
"SQL Server 2016 Connection Info";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.14500.10";;;;"1"
"SQL Server 2016 Connection Info";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.16108.4";;;;"1"
"SQL Server 2016 DMF";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 DMF";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Management Studio";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Management Studio Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Management Studio for Analysis Services";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio for Analysis Services";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio for Analysis Services Localization";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio for Reporting Services";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Management Studio for Reporting Services Localization";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.15600.2";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.16107.4";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.14500.10";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 SQL Diagnostics";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.0.1601.5";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASAS02.FNBM.CORP";"Microsoft Corporation";"20180531";"13.1.4001.0";;;;"1"
