"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.397";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASBMCSQLTST01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"Microsoft SQL Server 2017";"LASBMCSQLTST01.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.23026";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.23026";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23026";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107.20";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23829";;;;"1"
"Roslyn Language Services - x86";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Roslyn Language Services - x86";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"SolarWinds Client Components";"LASBMCSQLTST01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2016 Batch Parser";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.14500.10";;;;"1"
"SQL Server 2016 Client Tools";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.14500.10";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Connection Info";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.14500.10";;;;"1"
"SQL Server 2016 Connection Info";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.14500.10";;;;"1"
"SQL Server 2016 Database Engine Services";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Database Engine Services";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Database Engine Shared";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Database Engine Shared";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 DMF";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 DMF";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Full text search";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.14500.10";;;;"1"
"SQL Server 2016 Shared Management Objects";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.14500.10";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 Shared Management Objects Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 SQL Diagnostics";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2016 XEvent";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server 2017 Batch Parser";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Client Tools Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Client Tools Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Common Files";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Common Files";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Connection Info";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Connection Info";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 DMF";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 DMF";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Integration Services Scale Out Management Portal";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Integration Services Scale Out Management Portal";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Management Studio Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.3006.16";;;;"1"
"SQL Server 2017 Management Studio Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.3006.16";;;;"1"
"SQL Server 2017 Shared Management Objects";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Shared Management Objects";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Shared Management Objects Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 Shared Management Objects Extensions";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"SQL Server 2017 SQL Diagnostics";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.1000.169";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180131";"13.0.1601.5";;;;"1"
"SQL Server Management Studio";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.17213.0";;;;"1"
"SQL Server Management Studio";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.17213.0";;;;"1"
"SQL Server Management Studio for Analysis Services";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.17213.0";;;;"1"
"SQL Server Management Studio for Reporting Services";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.17213.0";;;;"1"
"SSMS Post Install Tasks";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.17213.0";;;;"1"
"Visual Studio 2015 Prerequisites";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
"Visual Studio 2015 Prerequisites - ENU Language Pack";"LASBMCSQLTST01.FNBM.CORP";"Microsoft Corporation";"20180201";"14.0.23107";;;;"1"
