"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASBPTST01.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20111210";"2.8.0.0";;;;"1"
"HP ProLiant iLO 3 CHIF Driver (X64)";"LASBPTST01.FNBM.CORP";"Hewlett-Packard Company";"20111210";"3.1.0.0";;;;"1"
"HP ProLiant iLO 3 Core Driver (X64)";"LASBPTST01.FNBM.CORP";"Hewlett-Packard Company";"20111210";"3.2.0.0";;;;"1"
"HP ProLiant iLO 3 Monitor Service (X64)";"LASBPTST01.FNBM.CORP";"Hewlett-Packard Company";"20111210";"3.3.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASBPTST01.FNBM.CORP";"Hewlett-Packard Company";"20111210";"3.0.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20121203";"12.0.6015.5000";;;;"1"
"Microsoft Office Access MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170615";"14.0.7015.1000";;;;"1"
"Microsoft Office Access Setup Metadata MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170615";"14.0.7015.1000";;;;"1"
"Microsoft Office Excel MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170616";"14.0.7015.1000";;;;"1"
"Microsoft Office Groove MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170615";"14.0.7015.1000";;;;"1"
"Microsoft Office InfoPath MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170615";"14.0.7015.1000";;;;"1"
"Microsoft Office Office 64-bit Components 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170616";"14.0.7015.1000";;;;"1"
"Microsoft Office OneNote MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170616";"14.0.7015.1000";;;;"1"
"Microsoft Office Outlook MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170914";"14.0.7015.1000";;;;"1"
"Microsoft Office PowerPoint MUI (English) 2010";"LASBPTST01.FNBM.CORP";"Microsoft Corporation";"20170616";"14.0.7015.1000";;;;"1"
