"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 1.1";"LASCHAT01.FNBM.CORP";"Microsoft";"20130824";"1.1.4322";;;;"1"
"Microsoft .NET Framework 3.5 SP1";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20131019";"3.5.30729";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20180705";"4.5.51209";;;;"1"
"Microsoft SQL Server 2005";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20121215";"9.3.4035.00";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20170405";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20170405";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x86 Additional Runtime - 14.11.25325";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.11.25325";"LASCHAT01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASCHAT01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Visual C++ 8.0 SP1 Runtime DLLs (x86/release)";"LASCHAT01.FNBM.CORP";"Microsoft";"20100213";"8.0.50727.762";;;;"1"
"WhosOn Installable Version 5";"LASCHAT01.FNBM.CORP";"Parker Software";"20100213";"5.2.770";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASCHAT01.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASCHAT01.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
