"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.5.2";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Help Viewer 1.0";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"1.0.30319";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20170214";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20170214";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24210";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20170214";"14.0.24210";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24210";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20170214";"14.0.24210";;;;"1"
"Microsoft Windows SDK .NET Framework Tools (30514)";"LASCODETST01.FNBM.CORP";"Microsoft";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Visual Studio .NET 4.0 Framework Tools";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 (7.1)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Common Utilities (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Headers and Libraries (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Redistributable Components for Application Verifier (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Redistributable Components for Common Tools (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Redistributable Components for Windows Debugging Tools (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Samples (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK for Windows 7 Utilities for Win32 Development (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK Intellisense and Reference Assemblies (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK MSHelp (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"Microsoft Windows SDK Net Fx Interop Headers And Libraries (30514)";"LASCODETST01.FNBM.CORP";"Microsoft Corporation";"20140204";"7.1.30514";;;;"1"
"SolarWinds Client Components";"LASCODETST01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Windows SDK IntellisenseNFX";"LASCODETST01.FNBM.CORP";"Microsoft";"20140204";"7.1.30514";;;;"1"
