"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASDAWH3.FNBM.CORP";"Microsoft Corporation";"20180604";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASDAWH3.FNBM.CORP";"SolarWinds, Inc.";"20180424";"2.1.5.6002";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASDAWH3.FNBM.CORP";"Commvault";"20180604";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASDAWH3.FNBM.CORP";"Commvault";"20180604";"11.110.463.0";;;;"1"
