"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"HP Insight Management WBEM Providers";"LASDC02.FNBM.CORP";"Hewlett-Packard Development Company, L.P.";"20120525";"9.0.0.0";;;;"1"
"HP ProLiant Health Monitor Service (X64)";"LASDC02.FNBM.CORP";"Hewlett-Packard Company";"20120530";"3.4.0.0";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASDC02.FNBM.CORP";"Hewlett-Packard Company";"20110624";"3.0.0.0";;;;"1"
"HP ProLiant iLO CHIF Driver (X64)";"LASDC02.FNBM.CORP";"Hewlett-Packard Company";"20120530";"3.4.0.0";;;;"1"
"HP ProLiant iLO Core Driver (X64)";"LASDC02.FNBM.CORP";"Hewlett-Packard Company";"20120530";"3.4.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180519";"4.5.51209";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASDC02.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"SolarWinds Client Components";"LASDC02.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
