"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"3.11.50727";;;;"1"
" Tools for .Net 3.5 - FRA Lang Pack";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20180308";"3.11.50727";;;;"1"
".NET Core SDK 1.1.5 (x64)";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20180308";"4.17.21581";;;;"1"
"Active Directory Authentication Library for SQL Server";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20180308";"13.1.4001.0";;;;"1"
"Active Directory Authentication Library for SQL Server (x86)";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170119";"13.0.1601.5";;;;"1"
"Application Verifier x64 External Package";"LASDEVTOOLS03.FNBM.CORP";"Microsoft";"20180308";"10.1.16299.15";;;;"1"
"Application Verifier x64 External Package";"LASDEVTOOLS03.FNBM.CORP";"Microsoft";"20180308";"10.1.15063.468";;;;"1"
"Azure AD Authentication Connected Service";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"14.0.25420";;;;"1"
"AzureTools.Notifications";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"2.7.30611.1601";;;;"1"
"Blend for Visual Studio 2012";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"5.0.30709.0";;;;"1"
"Blend for Visual Studio 2012 ENU resources";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"5.0.30709.0";;;;"1"
"Blend for Visual Studio Add-in for Adobe FXG Import";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"1.0.40218.0";;;;"1"
"Blend for Visual Studio SDK for .NET 4.5";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170119";"3.0.40218.0";;;;"1"
"Blend for Visual Studio SDK for Silverlight 5";"LASDEVTOOLS03.FNBM.CORP";"Microsoft Corporation";"20170419";"3.0.40218.0";;;;"1"
