"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"4.0.30319";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"2.2.23107";;;;"1"
"Microsoft OData Source for SQL Server 2016";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4413.3";;;;"1"
"Microsoft OData Source for SQL Server 2016 (x64)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4413.3";;;;"1"
"Microsoft SQL Server 2016";"LASDSMAPP01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASDSMAPP01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.1.4001.0";;;;"1"
"Microsoft SQL Server 2016 Setup (English)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"13.0.1601.5";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23026";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23026";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASDSMAPP01.FNBM.CORP";"Microsoft Corporation";"20170404";"14.0.23107.00";;;;"1"
