"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180309";"3.11.50727";;;;"1"
".NET Core SDK 1.1.8 (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"4.18.5242";;;;"1"
"Application Verifier x64 External Package";"LASETL06.FNBM.CORP";"Microsoft";"20180411";"10.1.16299.15";;;;"1"
"ClickOnce Bootstrapper Package for Microsoft .NET Framework";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"4.7.02558";;;;"1"
"DiagnosticsHub_CollectionService";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.6.27309";;;;"1"
"Entity Framework 6.1.3 Tools  for Visual Studio 15";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"6.1.60104.0";;;;"1"
"icecap_collection_neutral";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.6.27413";;;;"1"
"icecap_collection_x64";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.6.27413";;;;"1"
"icecap_collectionresources";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.6.27406";;;;"1"
"icecap_collectionresourcesx64";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.6.27406";;;;"1"
"IIS Express Application Compatibility Database for x64";"LASETL06.FNBM.CORP";;;;;;;"1"
"IIS Express Application Compatibility Database for x86";"LASETL06.FNBM.CORP";;;;;;;"1"
"IntelliTraceProfilerProxy";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.0.17289.01";;;;"1"
"IntelliTraceProfilerProxy";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"15.0.17289.01";;;;"1"
"Kits Configuration Installer";"LASETL06.FNBM.CORP";"Microsoft";"20180411";"10.1.16299.15";;;;"1"
"Microsoft .NET Core 1.0.10 - Host (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"4.0.21407";;;;"1"
"Microsoft .NET Core 1.0.10 - Host FX Resolver (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"4.1.21407";;;;"1"
"Microsoft .NET Core 1.0.10 - Runtime (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"1.0.10";;;;"1"
"Microsoft .NET Core 1.1.7 - Host (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"4.16.1667";;;;"1"
"Microsoft .NET Core 1.1.7 - Host FX Resolver (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"4.16.34435";;;;"1"
"Microsoft .NET Core 1.1.7 - Runtime (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180418";"1.1.7";;;;"1"
"Microsoft .NET Core Host - 2.0.6 (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"16.24.26212";;;;"1"
"Microsoft .NET Core Host FX Resolver - 2.0.6 (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"16.24.26212";;;;"1"
"Microsoft .NET Core Runtime - 2.0.6 (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"16.24.26212";;;;"1"
"Microsoft .NET Core SDK - 2.1.104 (x64)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"8.26.7469";;;;"1"
"Microsoft .NET CoreRuntime For CoreCon";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"1.0.0.0";;;;"1"
"Microsoft .NET CoreRuntime SDK";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"1.1.25915.0";;;;"1"
"Microsoft .NET Framework 3.5 Targeting Pack (enu)";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180411";"3.5.27128";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180425";"4.0.30319";;;;"1"
"Microsoft .NET Framework 4.5 Multi-Targeting Pack";"LASETL06.FNBM.CORP";"Microsoft Corporation";"20180226";"4.5.50710";;;;"1"
