"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"3.11.50727";;;;"1"
"Blend for Visual Studio 2012";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"5.0.30709.0";;;;"1"
"Blend for Visual Studio 2012 ENU resources";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"5.0.30709.0";;;;"1"
"Blend for Visual Studio Add-in for Adobe FXG Import";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"1.0.40218.0";;;;"1"
"Blend for Visual Studio SDK for .NET 4.5";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"3.0.40218.0";;;;"1"
"Blend for Visual Studio SDK for Silverlight 5";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"3.0.40218.0";;;;"1"
"Dotfuscator and Analytics Community Edition";"LASETLTST01.FNBM.CORP";"PreEmptive Solutions";"20130729";"5.5.4521.29298";;;;"1"
"HP ProLiant iLO 3 WHEA Driver (X64)";"LASETLTST01.FNBM.CORP";"Hewlett-Packard Company";"20120824";"3.0.0.0";;;;"1"
"HPE Insight Management WBEM Providers";"LASETLTST01.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170727";"10.61.0.0";;;;"1"
"HPE ProLiant Agentless Management Service";"LASETLTST01.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20170727";"10.60.0.0";;;;"1"
"iLO 3/4 Channel Interface Driver (X64)";"LASETLTST01.FNBM.CORP";"Hewlett Packard Enterprise";"20170727";"3.30.0.0";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASETLTST01.FNBM.CORP";"Hewlett Packard Enterprise";"20170727";"3.30.0.0";;;;"1"
"JavaScript Tooling";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60315";;;;"1"
"JavaScript Tooling";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60315";;;;"1"
"LocalESPC";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"8.59.25584";;;;"1"
"LocalESPCui for en-us";"LASETLTST01.FNBM.CORP";"Microsoft";"20130729";"8.59.25584";;;;"1"
"MergeModule2012";"LASETLTST01.FNBM.CORP";"Microsoft";"20170727";"1.0.0";;;;"1"
"Microsoft .NET Framework 4.5.2";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"12.0.6012.5000";;;;"1"
"Microsoft ASP.NET MVC 3 - Visual Studio 2012 Tools Update";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"3.0.30710.0";;;;"1"
"Microsoft ASP.NET MVC 4 - Visual Studio 2012 Tools - ENU";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"4.1.20219.0";;;;"1"
"Microsoft ASP.NET MVC 4 Runtime";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"4.0.20710.0";;;;"1"
"Microsoft ASP.NET Web Pages - Visual Studio 2012 Tools";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"1.0.20710.0";;;;"1"
"Microsoft ASP.NET Web Pages 2 - Visual Studio 2012 Tools - ENU";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"4.1.20219.0";;;;"1"
"Microsoft ASP.NET Web Pages 2 Runtime";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"2.0.20715.0";;;;"1"
"Microsoft Expression Blend SDK for .NET 4";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"2.0.20525.0";;;;"1"
"Microsoft Expression Blend SDK for Silverlight 4";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"2.0.20525.0";;;;"1"
"Microsoft Help Viewer 1.1";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"1.1.40219";;;;"1"
"Microsoft Help Viewer 2.0";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"2.0.50727";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 Core";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.50727";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 CoreRes - ENU";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.50727";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 v3.0 Core";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60517";;;;"1"
"Microsoft LightSwitch for Visual Studio 2012 v3.0 CoreRes - ENU";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60517";;;;"1"
"Microsoft NuGet - Visual Studio 2012";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"2.0.30625.9003";;;;"1"
"Microsoft Office Access MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Access Setup Metadata MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Excel MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Groove MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office InfoPath MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Office 64-bit Components 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160915";"14.0.7015.1000";;;;"1"
"Microsoft Office OneNote MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Outlook MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20171208";"14.0.7015.1000";;;;"1"
"Microsoft Office PowerPoint MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Professional Plus 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20171208";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (French) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (Spanish) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Proofing (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Publisher MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared 64-bit MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared 64-bit Setup Metadata MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20171208";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared Setup Metadata MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Office Word MUI (English) 2010";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160310";"14.0.7015.1000";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60418.17931";;;;"1"
"Microsoft Portable Library Multi-Targeting Pack Language Pack - enu";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.50709.17929";;;;"1"
"Microsoft Report Viewer Add-On for Visual Studio 2012";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.1.2802.16";;;;"1"
"Microsoft SQL Server 2012";"LASETLTST01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2012 (64-bit)";"LASETLTST01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2012 RsFx Driver";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20160211";"11.3.6020.0";;;;"1"
"Microsoft Visual C++ 2012  x64 Designtime - 11.0.50727";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 32bit Compilers - ENU Resources";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 Compilers";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 Compilers - ENU Resources";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 Core Libraries";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.51106";;;;"1"
"Microsoft Visual C++ 2012 Core Libraries";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.51106";;;;"1"
"Microsoft Visual C++ 2012 Extended Libraries";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 Microsoft Foundation Class Libraries";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20170120";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x64 Debug Runtime - 11.0.60610";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20170120";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20170120";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.60610";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86 Debug Runtime - 11.0.60610";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.50727";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20170120";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.60610";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2012 x86-x64 Compilers";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20130729";"11.0.60610";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20170411";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASETLTST01.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
