"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"ExchangeDatabaseiDataAgent Instance001";"LASEXCH02.FNBM.CORP";"Commvault";"20180330";"11.110.463.0";;;;"1"
"Microsoft Exchange 2007 Enterprise Anti-spam Signatures";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"3.3.4604.600";;;;"1"
"Microsoft Exchange 2007 Enterprise Block List Updates";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"3.3.4604.001";;;;"1"
"Microsoft Exchange 2007 Standard Anti-spam Filter Updates";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"3.3.4604.600";;;;"1"
"Microsoft Exchange Client Language Pack - Afrikaans";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Albanian";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Amharic (Ethiopia)";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Amharic (Ethiopia)";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Arabic";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Arabic";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Armenian";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Assamese (India)";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
"Microsoft Exchange Client Language Pack - Azerbaijani (Latin, Azerbaijan)";"LASEXCH02.FNBM.CORP";"Microsoft Corporation";"20180505";"15.1.1415.2";;;;"1"
