"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Imaging And Configuration Designer";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Imaging Designer";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Imaging Tools Support";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Kits Configuration Installer";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Microsoft SQL Server 2014 (64-bit)";"LASINFRA07.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2014 RsFx Driver";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180605";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180605";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180605";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180605";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180515";"12.0.40660";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180515";"12.0.40660";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180605";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180605";"12.0.21005";;;;"1"
"SolarWinds Client Components";"LASINFRA07.FNBM.CORP";"SolarWinds, Inc.";"20180612";"2.1.5.6002";;;;"1"
"SQL Server 2014 Common Files";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"SQL Server 2014 Common Files";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Services";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Services";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Shared";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Shared";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180514";"12.2.5000.0";;;;"1"
"Toolkit Documentation";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"User State Migration Tool";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Windows Deployment Customizations";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Windows Deployment Tools";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Windows PE x86 x64";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Windows PE x86 x64 wims";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"Windows Phone Common Packaging and Test Tools (NT_x86_fre)";"LASINFRA07.FNBM.CORP";"Microsoft Corporation";"20180515";"10.1.15063.0";;;;"1"
"Windows System Image Manager on amd64";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"WPT Redistributables";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
"WPTx64";"LASINFRA07.FNBM.CORP";"Microsoft";"20180515";"10.1.15063.0";;;;"1"
