"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"3.11.50727";;;;"1"
"Java Auto Updater";"LASITS03.FNBM.CORP";"Oracle Corporation";"20170803";"2.8.144.1";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.800.90";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.800.90";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"2.2.23107";;;;"1"
"Microsoft SQL Server 2014 (64-bit)";"LASITS03.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2014 RsFx Driver";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"12.0.2000.8";;;;"1"
"Microsoft SQL Server 2017 RC1";"LASITS03.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Additional Runtime - 14.0.24123";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"14.0.24123";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x64 Minimum Runtime - 14.0.24123";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"14.0.24123";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.24123";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"14.0.24123";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170817";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.24123";"LASITS03.FNBM.CORP";"Microsoft Corporation";"20170803";"14.0.24123";;;;"1"
