"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Analytics Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"CommCellConsole Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"CommServe Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"MediaAgent Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"MediaAgentCore Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"MessageQueue Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"Microsoft Application Error Reporting";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.0.6012.5000";;;;"1"
"Microsoft Help Viewer 1.1";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"1.1.40219";;;;"1"
"Microsoft SQL Server 2014 (64-bit)";"LASMEDIA01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2014 RsFx Driver";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"14.11.25325";;;;"1"
"MongoDatabase Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"SearchAdvancedDocumentTypeSupport Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"SolarWinds Client Components";"LASMEDIA01.FNBM.CORP";"SolarWinds, Inc.";"20180629";"2.1.5.6002";;;;"1"
"SQL Server 2014 Client Tools";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Client Tools";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Common Files";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Common Files";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Services";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Services";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Shared";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Database Engine Shared";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Management Studio";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"SQL Server 2014 Management Studio";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASMEDIA01.FNBM.CORP";"Microsoft Corporation";"20180629";"12.2.5000.0";;;;"1"
"VSSProvider Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"WebConsole Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"WebServer Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
"WorkFlowEngine Instance001";"LASMEDIA01.FNBM.CORP";"Commvault";"20180802";"11.120.509.0";;;;"1"
