"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"CommCellConsole Instance001";"LASMEDIATST01.FNBM.CORP";"Commvault";"20170929";"11.80.70.0";;;;"1"
"CommServe Instance001";"LASMEDIATST01.FNBM.CORP";"Commvault";"20170929";"11.80.70.0";;;;"1"
"MessageQueue Instance001";"LASMEDIATST01.FNBM.CORP";"Commvault";"20170929";"11.80.70.0";;;;"1"
"Microsoft Application Error Reporting";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"12.0.6012.5000";;;;"1"
"Microsoft Help Viewer 1.1";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"1.1.40219";;;;"1"
"Microsoft Office Access MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Access Setup Metadata MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Excel MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Groove MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office InfoPath MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Office 32-bit Components 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;"1"
"Microsoft Office OneNote MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Outlook MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170908";"14.0.7015.1000";;;;"1"
"Microsoft Office PowerPoint MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Professional Plus 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (French) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Proof (Spanish) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Proofing (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Publisher MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared 32-bit MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20171207";"14.0.7015.1000";;;;"1"
"Microsoft Office Shared Setup Metadata MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft Office Word MUI (English) 2010";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170216";"14.0.7015.1000";;;;"1"
"Microsoft SQL Server 2012 (64-bit)";"LASMEDIATST01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2012 RsFx Driver";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170215";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170215";"12.0.21005";;;;"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"Service Pack 2 for Microsoft Office 2010 (KB2687455) 64-Bit Edition";"LASMEDIATST01.FNBM.CORP";"Microsoft";;;"1";;"Microsoft Office Professional Plus 2010";"1"
"SolarWinds Client Components";"LASMEDIATST01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2012 Analysis Services";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"SQL Server 2012 Analysis Services";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"SQL Server 2012 Client Tools";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.2.5058.0";;;;"1"
"SQL Server 2012 Client Tools";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.2.5058.0";;;;"1"
"SQL Server 2012 Common Files";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"SQL Server 2012 Common Files";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"SQL Server 2012 Data quality client";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"SQL Server 2012 Data quality client";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170913";"11.2.5058.0";;;;"1"
"SQL Server 2012 Database Engine Services";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.2.5058.0";;;;"1"
"SQL Server 2012 Database Engine Services";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.2.5058.0";;;;"1"
"SQL Server 2012 Database Engine Shared";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.2.5058.0";;;;"1"
"SQL Server 2012 Database Engine Shared";"LASMEDIATST01.FNBM.CORP";"Microsoft Corporation";"20170914";"11.2.5058.0";;;;"1"
