"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Avigilon Control Center Client";"LASNETVR04.FNBM.CORP";"Avigilon";"20180326";"6.8.2.8";;;;"1"
"Avigilon Control Center Server";"LASNETVR04.FNBM.CORP";"Avigilon";"20180326";"6.8.2.8";;;;"1"
"HPE ProLiant Agentless Management Service";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise Development LP";"20171122";"10.70.0.0";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171122";"3.30.0.0";;;;"1"
"MergeModule2012";"LASNETVR04.FNBM.CORP";"Microsoft";"20171122";"1.0.0";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20171128";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASNETVR04.FNBM.CORP";"Microsoft Corporation";"20171128";"12.0.21005";;;;"1"
"ProLiant Monitor Service (X64)";"LASNETVR04.FNBM.CORP";"Hewlett Packard Enterprise";"20171122";"3.30.0.0";;;;"1"
"SolarWinds Client Components";"LASNETVR04.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
