"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"3.11.50727";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.800.90";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.800.90";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"14.0.23107";;;;"1"
"Microsoft Help Viewer 2.2";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASPATCH01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180329";"13.0.1601.5";;;;"1"
"Microsoft SQL Server 2017 RC1";"LASPATCH01.FNBM.CORP";;;;;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASPATCH01.FNBM.CORP";"Microsoft Corporation";"20180402";"11.0.61030";;;;"1"
