"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"3.11.50727";;;;"1"
"iLO 3/4 Core Driver (X64)";"LASPEGASQL01.FNBM.CORP";"Hewlett Packard Enterprise";"20170418";"3.30.0.0";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"4.0.30319";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Help Viewer 1.1";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"1.1.40219";;;;"1"
"Microsoft Help Viewer 2.2";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"2.2.23107";;;;"1"
"Microsoft SQL Server 2016";"LASPEGASQL01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 (64-bit)";"LASPEGASQL01.FNBM.CORP";;;;;;;"1"
"Microsoft SQL Server 2016 RsFx Driver";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;"1"
"Microsoft SQL Server 2016 Setup (English)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170518";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Debug Runtime - 12.0.21005";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170518";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Debug Runtime - 12.0.21005";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2015 x64 Debug Runtime - 14.0.23026";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Additional Runtime - 14.0.23506";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2015 x86 Debug Runtime - 14.0.23026";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23026";;;;"1"
"Microsoft Visual C++ 2015 x86 Minimum Runtime - 14.0.23506";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23506";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Isolated) Resources";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum)";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Interop Assemblies";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 Shell (Minimum) Resources";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio 2015 XAML Designer - ENU";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"14.0.23107";;;;"1"
"Microsoft Visual Studio Services Hub";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"1.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Finalizer";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support - ENU Language Pack";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 Language Support Finalizer";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23107.00";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x64 Hosting Support";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23829";;;;"1"
"Microsoft Visual Studio Tools for Applications 2015 x86 Hosting Support";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23829";;;;"1"
"ProLiant Monitor Service (X64)";"LASPEGASQL01.FNBM.CORP";"Hewlett Packard Enterprise";"20170418";"3.30.0.0";;;;"1"
"Roslyn Language Services - x86";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23107";;;;"1"
"Roslyn Language Services - x86";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170524";"14.0.23107";;;;"1"
"SolarWinds Client Components";"LASPEGASQL01.FNBM.CORP";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2016 Advanced Analytics";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180405";"13.1.4001.0";;;;"1"
"SQL Server 2016 Analysis Services";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180405";"13.1.4001.0";;;;"1"
"SQL Server 2016 Analysis Services";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;"1"
"SQL Server 2016 Batch Parser";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.15600.2";;;;"1"
"SQL Server 2016 Client Tools";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.15600.2";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Client Tools Extensions";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;"1"
"SQL Server 2016 Common Files";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.1601.5";;;;"1"
"SQL Server 2016 Common Files";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180405";"13.1.4001.0";;;;"1"
"SQL Server 2016 Connection Info";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.14500.10";;;;"1"
"SQL Server 2016 Connection Info";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.0.14500.10";;;;"1"
"SQL Server 2016 Database Engine Services";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20180405";"13.1.4001.0";;;;"1"
"SQL Server 2016 Database Engine Services";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;"1"
"SQL Server 2016 Database Engine Shared";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;"1"
"SQL Server 2016 Database Engine Shared";"LASPEGASQL01.FNBM.CORP";"Microsoft Corporation";"20170607";"13.1.4001.0";;;;"1"
