"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.5.2";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180519";"4.5.51209";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.50727";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140122";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.50727";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140122";"11.0.50727";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170310";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170310";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASPROCAPP04.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASPROCAPP04.CREDITONEAPP.BIZ";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"Veritas DMP DSM Solution 6.0.1";"LASPROCAPP04.CREDITONEAPP.BIZ";"Symantec Corporation";"20140225";"6.0.10000.308";;;;"1"
"Veritas Storage Foundation 6.0.1 for Windows";"LASPROCAPP04.CREDITONEAPP.BIZ";"Symantec Corporation";"20140225";"6.0.10000.308";;;;"1"
"VRTSPerl";"LASPROCAPP04.CREDITONEAPP.BIZ";"VERITAS";"20140225";"6.0.10000";;;;"1"
"VRTSsfmh";"LASPROCAPP04.CREDITONEAPP.BIZ";"Symantec Corp";"20140225";"5.00.0196";;;;"1"
"vrtsvcs";"LASPROCAPP04.CREDITONEAPP.BIZ";"Symantec";"20140225";"6.00.10000";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASPROCAPP04.CREDITONEAPP.BIZ";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASPROCAPP04.CREDITONEAPP.BIZ";"Commvault";"20180330";"11.110.463.0";;;;"1"
