"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.5.2";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180519";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"12.0.6015.5000";;;;"1"
"Microsoft Report Viewer Redistributable 2008 (KB971119)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"9.0.30731";;;;"1"
"Microsoft SQL Server 2008 R2 (64-bit)";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";;;;;;"1"
"Microsoft SQL Server 2008 R2 RsFx Driver";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160113";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20160113";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"11.0.61030";;;;"1"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170407";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20170407";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180604";"12.0.21005";;;;"1"
"Microsoft Visual C++ 2017 x64 Additional Runtime - 14.11.25325";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"Microsoft Visual C++ 2017 x64 Minimum Runtime - 14.11.25325";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20180330";"14.11.25325";;;;"1"
"SolarWinds Client Components";"LASPROCDB02.CREDITONEAPP.BIZ";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2008 R2 Reporting Services";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.50.1600.1";;;;"1"
"SQL Server 2008 R2 SP1 Client Tools";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Client Tools";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Common Files";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Common Files";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Database Engine Services";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Database Engine Services";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Database Engine Shared";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Database Engine Shared";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Integration Services";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Integration Services";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Management Studio";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Management Studio";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"SQL Server 2008 R2 SP1 Reporting Services";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.51.2500.0";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASPROCDB02.CREDITONEAPP.BIZ";"Microsoft Corporation";"20140224";"10.50.1600.1";;;;"1"
"WindowsFileSystemiDataAgentAdvanced Instance001";"LASPROCDB02.CREDITONEAPP.BIZ";"Commvault";"20180330";"11.110.463.0";;;;"1"
"WindowsFileSystemiDataAgentCore Instance001";"LASPROCDB02.CREDITONEAPP.BIZ";"Commvault";"20180330";"11.110.463.0";;;;"1"
