"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
"Microsoft .NET Framework 4.5.2";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20180712";"4.5.51209";;;;"1"
"Microsoft Application Error Reporting";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20140407";"12.0.6015.5000";;;;"1"
"Microsoft Report Viewer Redistributable 2008 (KB971119)";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20140407";"9.0.30731";;;;"1"
"Microsoft SQL Server 2008 R2 (64-bit)";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";;;;;;"1"
"Microsoft SQL Server 2008 R2 RsFx Driver";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SolarWinds Client Components";"LASPROCDBTST02.CREDITONEAPP.TST";"SolarWinds, Inc.";"20180214";"2.1.5.6002";;;;"1"
"SQL Server 2008 R2 SP2 Client Tools";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Client Tools";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Common Files";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Common Files";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Services";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Shared";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Database Engine Shared";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Full text search";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Management Studio";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"SQL Server 2008 R2 SP2 Management Studio";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
"Sql Server Customer Experience Improvement Program";"LASPROCDBTST02.CREDITONEAPP.TST";"Microsoft Corporation";"20160714";"10.53.6000.34";;;;"1"
