"ProgramName";"ComputerName";"Publisher";"InstallDate";"DisplayVersion";"IsMinorUpgrade";"ReleaseType";"ParentDisplayName";"SystemComponent"
" Tools for .Net 3.5";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"3.11.50727";;;;"1"
"Microsoft .NET Core Host - 2.0.5 (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"16.20.26021";;;;"1"
"Microsoft .NET Core Host - 2.0.5 (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"16.20.26021";;;;"1"
"Microsoft .NET Core Host FX Resolver - 2.0.5 (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"16.20.26021";;;;"1"
"Microsoft .NET Core Host FX Resolver - 2.0.5 (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"16.20.26021";;;;"1"
"Microsoft .NET Core Runtime - 2.0.5 (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"16.20.26021";;;;"1"
"Microsoft .NET Core Runtime - 2.0.5 (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"16.20.26021";;;;"1"
"Microsoft .NET Framework 4 Multi-Targeting Pack";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"4.0.30319";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.1000.397";;;;"1"
"Microsoft Analysis Services OLE DB Provider";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.1000.397";;;;"1"
"Microsoft ASP.NET Core 2.0.5 Runtime Package Store (x64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"2.0.12421.0";;;;"1"
"Microsoft ASP.NET Core 2.0.5 Runtime Package Store (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"2.0.12421.0";;;;"1"
"Microsoft ASP.NET Core Module";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180212";"1.0.1989";;;;"1"
"Microsoft Build Tools 14.0 (amd64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Build Tools 14.0 (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (amd64)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Build Tools Language Resources 14.0 (x86)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180219";"14.0.23107";;;;"1"
"Microsoft Exchange Client Language Pack - Afrikaans";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Albanian";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Amharic (Ethiopia)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Amharic (Ethiopia)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Arabic";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Arabic";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Armenian";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Azerbaijani (Latin, Azerbaijan)";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
"Microsoft Exchange Client Language Pack - Basque";"LASPSHOST.FNBM.CORP";"Microsoft Corporation";"20180118";"15.1.544.27";;;;"1"
